"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Merit Systems Protection Board","Agency Overall","2016","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2016","0","0","0","1","0","5","0","0","4","1","0","1","0","0"
"Surface Transportation Board","Agency Overall","2016","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2016","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2016","0","2","4","14","81","30","336","0","30","2","1","0","3","0"
"United States Copyright Office","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","0","0","2","2","6","8","1","0","2","0","1","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2016","0","1","0","5","2","0","1","0","2","0","2","0","2","0"
"Denali Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","0","0","1","5","0","5","0","0","1","1","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2016","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2016","0","0","0","3","11","17","35","0","16","0","3","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2016","0","2","13","3","7","43","4","0","21","1","4","0","0","0"
"United States International Trade Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2016","1","2","0","3","15","23","0","16","0","0","3","3","0","0"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","0","0","2","4","2","1","2","0","1","0","4","0","0","0"
"Inter-American Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2016","3","0","0","0","1","4","0","0","1","0","1","0","0","0"
"Federal Trade Commission","Agency Overall","2016","0","0","10","4","8","5","7","0","1","1","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2016","0","0","0","2","2","2","0","0","2","0","0","0","0","0"
"Selective Service System","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2016","73","0","72","0","4","3","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2016","0","0","60","0","48","14","23","0","50","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2016","0","1","24","6","24","123","3","0","40","0","0","1","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","1","0","1","1","1","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2016","0","0","0","2","1","12","0","0","0","0","2","0","0","0"
"Department of Defense","Agency Overall","2016","76","0","77","8","76","134","15","2","65","6","7","8","1","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","0","0","2","2","1","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2016","0","0","0","3","4","6","1","0","2","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2016","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2016","0","0","0","0","3","4","0","0","3","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2016","0","0","237","14","30","63","3","0","22","8","8","1","0","2"
"American Battle Monuments Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2016","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2016","0","0","0","3","0","1","7","0","7","4","1","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2016","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2016","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2016","0","0","1","0","1","1","0","0","0","0","0","2","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2016","0","1","1","6","7","13","7","0","0","1","4","0","5","0"
"Institute of Museum and Library Services","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2016","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2016","0","0","0","7","5","1","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2016","33","0","108","5","113","488","130","0","596","132","454","155","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2016","2","0","3","3","10","12","1","0","1","1","1","1","0","0"
"U.S. Department of State","Agency Overall","2016","26","3","21","2","20","26","17","0","20","16","18","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2016","0","0","13","11","9","3","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2016","0","2","4","1","7","167","1","1","3","3","5","2","0","0"
"National Council on Disability","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2016","0","1","1","2","3","13","1","0","6","1","2","2","0","0"
"Administrative Conference of the United States","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2016","7","0","6","0","0","3","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2016","0","1","0","1","3","1","0","0","1","0","1","1","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2016","0","0","2","3","2","0","1","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2016","0","0","0","1","2","1","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2016","0","0","0","5","2","4","0","0","0","0","1","0","7","0"
"United States Institute of Peace","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2016","0","0","0","0","4","11","1","0","11","2","0","0","0","0"
"Department of the Treasury","Agency Overall","2016","1","2","96","5","45","48","42","2","59","10","55","2","5","0"
"Peace Corps","Agency Overall","2016","0","0","0","2","8","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","0","0","0","1","0","2","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2016","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2016","1","0","13","6","25","18","3","0","12","1","1","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2016","0","0","1","2","4","2","1","0","1","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2016","0","0","0","0","6","2","0","0","6","0","1","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2016","3","35","111","18","523","2299","12","17","2610","4","2470","9","0","0"
"Department of Transportation","Agency Overall","2016","0","1","3","6","11","20","3","0","2","0","1","0","0","0"
"Council on Environmental Quality","Agency Overall","2016","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2016","0","0","12","23","13","91","0","2","39","2","2","0","0","0"
"All agencies","Agency Overall","2016","227","54","899","198","1163","3741","659","40","3637","197","3053","189","23","2"
