"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Merit Systems Protection Board","Agency Overall","2016","4","11","5","7"
"Department of the Interior","Agency Overall","2016","191","188","221","91"
"Surface Transportation Board","Agency Overall","2016","2","1","2","1"
"Armed Forces Retirement Home","Agency Overall","2016","2","1","2","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","1","2","3","2"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2016","495","653","505","667"
"United States Copyright Office","Agency Overall","2016","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","222","193","228","250"
"Federal Housing Finance Agency","Agency Overall","2016","8","15","8","16"
"Denali Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","17","17","29","17"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","9","6","15","6"
"National Mediation Board","Agency Overall","2016","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2016","0","0","0","0"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2016","1","4","2","3"
"Department of Education","Agency Overall","2016","50","96","63","128"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","9","7","7","5"
"United States Postal Service","Agency Overall","2016","222","213","229","230"
"United States International Trade Commission","Agency Overall","2016","4","0","4","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2016","73","176","70","166"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","16","31","9","29"
"Inter-American Foundation","Agency Overall","2016","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2016","104","98","27","45"
"Federal Trade Commission","Agency Overall","2016","36","26","37","27"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2016","1","4","1","4"
"Selective Service System","Agency Overall","2016","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2016","195","146","187","156"
"Equal Employment Opportunity Commission","Agency Overall","2016","272","272","275","270"
"Department of Veterans Affairs","Agency Overall","2016","378","423","377","462"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","0","5","1","6"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2016","0","0","0","0"
"Office of Personnel Management","Agency Overall","2016","35","74","20","37"
"Department of Defense","Agency Overall","2016","952","1074","872","790"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","2","1","2"
"Postal Regulatory Commission","Agency Overall","2016","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2016","0","1","0","1"
"National Credit Union Administration","Agency Overall","2016","3","0","4","0"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","0","0","0"
"United States Access Board","Agency Overall","2016","1","1","1","1"
"National Endowment for the Humanities","Agency Overall","2016","1","0","1","0"
"Department of Housing and Urban Development","Agency Overall","2016","38","83","38","78"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2016","3","2","3","2"
"National Science Foundation","Agency Overall","2016","3","4","4","4"
"Department of Agriculture","Agency Overall","2016","304","325","171","192"
"American Battle Monuments Commission","Agency Overall","2016","0","0","0","0"
"Legal Services Corporation","Agency Overall","2016","1","1","1","1"
"Presidio Trust","Agency Overall","2016","0","0","0","0"
"Department of Labor","Agency Overall","2016","404","332","297","337"
"Federal Labor Relations Authority","Agency Overall","2016","4","2","4","2"
"Federal Open Market Committee","Agency Overall","2016","1","0","1","0"
"Office of Management and Budget","Agency Overall","2016","5","3","3","4"
"National Aeronautics and Space Administration","Agency Overall","2016","31","20","27","21"
"Consumer Financial Protection Bureau","Agency Overall","2016","28","56","29","58"
"Institute of Museum and Library Services","Agency Overall","2016","1","1","1","1"
"Office of Science and Technology Policy","Agency Overall","2016","6","3","6","3"
