"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Merit Systems Protection Board","Agency Overall","2016","5","0","1","1","7"
"Department of the Interior","Agency Overall","2016","6","3","45","37","91"
"Surface Transportation Board","Agency Overall","2016","0","1","0","0","1"
"Armed Forces Retirement Home","Agency Overall","2016","1","0","0","0","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","1","1","0","0","2"
"Court Services and Offender Supervision Agency","Agency Overall","2016","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2016","495","38","79","55","667"
"United States Copyright Office","Agency Overall","2016","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2016","65","47","37","101","250"
"Federal Housing Finance Agency","Agency Overall","2016","10","1","3","2","16"
"Denali Commission","Agency Overall","2016","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","4","6","3","4","17"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2016","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2016","6","0","0","0","6"
"National Mediation Board","Agency Overall","2016","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2016","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2016","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2016","3","0","0","0","3"
"Department of Education","Agency Overall","2016","64","22","6","36","128"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2016","0","1","2","2","5"
"United States Postal Service","Agency Overall","2016","67","52","55","56","230"
"United States International Trade Commission","Agency Overall","2016","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2016","113","6","3","44","166"
"United States Trade and Development Agency","Agency Overall","2016","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2016","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2016","5","3","0","21","29"
"Inter-American Foundation","Agency Overall","2016","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2016","23","5","7","10","45"
"Federal Trade Commission","Agency Overall","2016","19","7","1","0","27"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2016","1","2","1","0","4"
"Selective Service System","Agency Overall","2016","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2016","83","8","2","63","156"
"Equal Employment Opportunity Commission","Agency Overall","2016","85","41","48","96","270"
"Department of Veterans Affairs","Agency Overall","2016","141","155","155","11","462"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2016","2","2","1","1","6"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2016","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2016","17","3","1","16","37"
"Department of Defense","Agency Overall","2016","265","132","134","259","790"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","2","0","0","2"
"Postal Regulatory Commission","Agency Overall","2016","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2016","1","0","0","0","1"
"National Credit Union Administration","Agency Overall","2016","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","0","0","0","0"
"United States Access Board","Agency Overall","2016","0","0","0","1","1"
