"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Merit Systems Protection Board","Agency Overall","2016","N/A","N/A","N/A","0"
"Department of the Interior","Agency Overall","2016","16 U.S.C. § 470hh (Archaeological Resources Protection Act of 1979)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Information pertaining to the nature and location of certain archaeological resources","27"
"Department of the Interior","Agency Overall","2016","54 U.S.C. § 307103 (National Historic Preservation Act Amendments)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 32-33 (D.D.C. 2003) (dictum), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)","Information about the location, character or ownership of a historic resource","5"
"Department of the Interior","Agency Overall","2016","16 U.S.C. § 4304(a) (Federal Cave Protection Act of 1988)","N/A","Specific location of significant caves.","3"
"Department of the Interior","Agency Overall","2016","Fed. R. Crim. P. 6(e),  enacted by Act of July 30,  1977, Pub. L. No. 95-78,  91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings.","1"
"Department of the Interior","Agency Overall","2016","54 U.S.C. § 100707 (National Parks Omnibus Management Act)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 170 F. Supp. 2d 931, 945 (D. Ariz. 2000), aff'd, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).","Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources","8"
"Department of the Interior","Agency Overall","2016","41 U.S.C. § 2102 (amending 41 U.S.C. 423(a)(1)) (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information","3"
"Department of the Interior","Agency Overall","2016","25 U.S.C. § 2103(c) (Indian Mineral Development Act of 1982)","Jicarilla Apache v. U.S., 60 Fed. Cl. 611, 613-14 (2004) (dictum) (overturned on other grounds by U.S. v. Jicarilla Apache Nation, 131 S. Ct. 2313 (2011)).","Information related to decisions to grant/disapprove minerals agreements for Indian tribes.","3"
"Department of the Interior","Agency Overall","2016","16 U.S.C. § 470aaa-8 (Paleontological Resources Preservation Act)","N/A","Information concerning the nature and specific location of a paleontological resource.","3"
"Department of the Interior","Agency Overall","2016","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702) (contractor proposals)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","17"
