"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Merit Systems Protection Board","Agency Overall","2016","2015-05-19","345","2015-04-24","362","2015-04-16","368","2015-03-31","380","2015-02-11","413","2015-02-02","420","2015-01-27","424","2014-11-21","466","2014-10-30","481","2014-09-22","508"
"Department of the Interior","Agency Overall","2016","2013-11-07","726","2013-09-13","764","2013-09-12","765","2013-08-02","793","2013-07-17","805","2013-07-16","806","2013-04-05","876","2013-02-26","904","2012-12-17","950","2011-12-16","1201"
"Surface Transportation Board","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-09-20","9"
"Court Services and Offender Supervision Agency","Agency Overall","2016","2016-01-29","52","2016-01-21","54","2016-03-23","54","2016-06-30","55","2016-02-09","56","2016-03-24","59","2015-12-21","62","2016-01-12","67","2015-11-13","70","2016-06-15","103"
"Securities and Exchange Commission","Agency Overall","2016","2016-02-17","159","2015-10-08","246","2015-10-08","246","2015-08-19","281","2015-07-27","298","2015-02-13","411","2014-03-18","639","2013-08-09","788","2013-08-08","789","2013-06-11","830"
"United States Copyright Office","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-09-23","5"
"Environmental Protection Agency","Agency Overall","2016","2011-07-28","1299","2011-05-12","1352","2011-03-09","1398","2011-01-10","1438","2010-12-20","1451","2010-12-20","1451","2010-12-20","1451","2010-11-16","1474","2010-10-08","1499","2008-08-21","2034"
"Federal Housing Finance Agency","Agency Overall","2016","2016-05-09","101","2015-11-12","223","2015-09-29","253","2015-07-07","312","2015-03-26","383","2015-03-16","391","2015-01-20","429","2015-01-20","429","2015-01-16","430","2013-03-28","883"
"Denali Commission","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2016","2013-01-23","928","2013-01-15","933","2012-12-14","953","2012-11-16","972","2012-11-07","978","2012-09-30","1004","2012-09-30","1004","2012-06-15","1078","2012-06-13","1080","2012-04-26","1113"
"Occupational Safety and Health Review Commission","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-09-23","4","2016-09-13","13"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-05-17","96","2015-01-29","423"
"Social Security Advisory Board","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2016","2016-03-08","145","2016-02-22","156","2015-12-02","210","2015-11-09","225","2015-08-21","279","2015-08-21","279","2015-06-08","332","2014-09-04","521","2013-11-04","730","2013-10-17","742"
"National Mediation Board","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-09-26","4","2016-06-14","47","2016-04-13","119"
"United States African Development Foundation","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","2014-10-17","504","2014-06-03","628","2014-05-07","656","2014-02-04","697","2014-01-07","719","2014-01-07","719","2013-12-05","752","2013-11-14","774","2013-11-14","774","2013-08-26","783"
"National Indian Gaming Commission","Agency Overall","2016","2015-08-24","278","2015-08-11","287","2015-06-17","325","2015-06-08","332","2015-06-03","335","2015-06-03","335","2015-04-14","370","2015-01-15","431","2014-03-14","642","2014-03-05","650"
"Department of Education","Agency Overall","2016","2013-03-28","882","2013-03-01","901","2013-02-04","919","2012-12-28","943","2012-06-14","1078","2012-06-08","1082","2012-06-06","1084","2011-12-09","1207","2011-01-03","1443","2010-07-26","1552"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2016","2012-12-03","951","2012-11-26","956","2012-10-18","981","2012-10-15","984","2012-10-12","985","2012-08-23","1019","2012-08-08","1030","2012-07-16","1047","2012-06-26","1060","2012-06-19","1065"
"United States Postal Service","Agency Overall","2016","2013-08-05","793","2013-07-25","800","2013-07-16","807","2013-04-08","876","2013-02-22","907","2013-02-19","910","2012-10-05","1000","2012-02-01","1173","2011-12-14","1205","2010-02-22","1661"
"United States International Trade Commission","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-07-26","48","2015-09-03","281"
"Nuclear Regulatory Commission","Agency Overall","2016","2016-06-21","71","2016-06-20","72","2016-06-09","79","2016-05-26","88","2016-05-26","88","2016-05-23","91","2016-05-11","99","2016-05-03","105","2016-03-28","131","2016-03-17","138"
"United States Trade and Development Agency","Agency Overall","2016","2016-07-13","79","2016-02-26","217","2015-05-08","511","2015-02-17","591","2015-02-09","599","2015-01-19","620","2014-12-18","652","2014-09-22","739","2014-04-10","904","2010-06-05","2309"
"Appraisal Subcommittee","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2016","2016-08-16","32","2016-08-03","41","2016-07-07","60","2016-06-28","66","2016-06-09","79","2016-06-07","81","2016-05-31","86","2016-05-23","91","2016-04-06","124","2016-02-24","154"
"Inter-American Foundation","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2016","1998-12-23","4466","1998-10-21","4509","1997-12-11","4725","1997-10-01","4773","1997-10-01","4773","1997-03-14","4913","1996-10-25","5007","1996-08-31","5044","1994-03-14","5702","1993-11-29","5739"
"Federal Trade Commission","Agency Overall","2016","2016-07-20","51","2016-07-06","61","2016-06-21","71","2016-02-25","153","2016-02-22","156","2016-02-09","164","2016-02-05","166","2016-01-21","177","2015-11-13","222","2015-07-20","303"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2016-09-28","2","2016-09-12","14","2016-09-01","20","2016-08-09","38","2016-08-02","42"
