"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Merit Systems Protection Board","Agency Overall","2016","87","85","140.01","4","51","43.75","2","329.5","329.5"
"Department of the Interior","Agency Overall","2016","5","27","115","936","65","130","13","33","95"
"Surface Transportation Board","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","1","9","9","0","N/A","N/A","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2016","39","11","9","2","42.5","42","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2016","547","8","24","3","788","752","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2016","1","5","5","0","N/A","N/A","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2016","1015","22","57.8","891","309","344.62","51","252","281.82"
"Federal Housing Finance Agency","Agency Overall","2016","4","12","11.25","15","253","269.4","0","N/A","N/A"
"Denali Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2016","36","29","34","291","261","337","11","399","435"
"Occupational Safety and Health Review Commission","Agency Overall","2016","2","8.5","8.5","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","0","N/A","N/A","2","260","260","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2016","6","72","142","11","225","284","0","N/A","N/A"
"National Mediation Board","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2016","0","N/A","N/A","3","117","79.6","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2016","11","697","620.5","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2016","23","131","135.43","20","155","228.75","0","N/A","N/A"
"Department of Education","Agency Overall","2016","112","37","68","389","95","189","1","96","96"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2016","35","179","253","812","319.5","341","0","N/A","N/A"
"United States Postal Service","Agency Overall","2016","114","7","35","66","70","321","1","12","12"
"United States International Trade Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2016","2","165","165","0","N/A","N/A","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2016","37","10","17","26","41","45","1","105","105"
"United States Trade and Development Agency","Agency Overall","2016","0","N/A","N/A","16","591","472","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2016","47","9","21.09","0","N/A","N/A","2","5.5","5.5"
"Inter-American Foundation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2016","1779","352","470.73","2317","639","1140.39","1","271","271"
"Federal Trade Commission","Agency Overall","2016","3","2","2","25","15","65","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","N/A","N/A","5","2","23.2","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2016","9","85","164.89","0","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2016","297","73","185.96","1072","307","432.25","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2016","2071","19","31","7","38","54","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2016","3774","77","99","519","112","226","11","144","192"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2016","6","6","14","22","39","100","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2016","47","47","47.4","103","243","249","0","N/A","N/A"
"Department of Defense","Agency Overall","2016","2560","75","85.13","8581","214.13","277.66","62","21.77","25.66"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2016","6","7","37","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2016","0","N/A","N/A","3","18","16.33","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","N/A","N/A","1","30","30","0","N/A","N/A"
"United States Access Board","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2016","4","3","3","0","N/A","N/A","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2016","225","51","112.18","238","87","117.55","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2016","3","7","7.6","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2016","0","N/A","N/A","15","68","106","0","N/A","N/A"
"National Science Foundation","Agency Overall","2016","6","100","107","224","268","381","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2016","1473","117","197","341","113","221","1","237","237"
"American Battle Monuments Commission","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2016","3","3","3","0","N/A","N/A","0","N/A","N/A"
"Presidio Trust","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Labor","Agency Overall","2016","59","17","153.6","1233","43","97.7","1","532","532"
"Federal Labor Relations Authority","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2016","0","N/A","N/A","1","42","42","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2016","66","171","275","0","N/A","N/A","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2016","6","8","20","23","20","23","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2016","24","8","10","2","38.5","38","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2016","2","4","4","1","157","157","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2016","4","70","64.25","13","271","226.69","4","70","86.5"
"Office of Government Ethics","Agency Overall","2016","1","2","2","0","N/A","N/A","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2016","4","100.5","141","35","106","178","1","14","14"
"Department of Justice","Agency Overall","2016","7622","29","89.15","7429","214","291.75","133","79","220.81"
"Federal Financial Institutions Examination Council","Agency Overall","2016","1","2","2","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2016","169","15","92.81","204","126.5","309.64","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2016","1544","378.94","583.91","22462","505.02","653.33","186","385.35","351.74"
"Consumer Product Safety Commission","Agency Overall","2016","12","12","67","198","24","96","0","N/A","N/A"
"Social Security Administration","Agency Overall","2016","513","5","5","69","58","66","0","N/A","N/A"
"National Council on Disability","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2016","41","7","21.85","74","32.5","62.31","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2016","1","3","3","0","N/A","N/A","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","2","66","66","6","83","120","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2016","3","120","129.7","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","0","N/A","N/A","21","171","215","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2016","200","311","355","120","663","543","2","385","486"
"National Endowment for the Arts","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2016","5","5","8","13","44","60","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","2","8","8","1","23","23","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2016","17","65","110","5","258","428","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2016","1","7","7","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2016","90","8","26.41","1","9","9","1","3","3"
"Federal Reserve System","Agency Overall","2016","0","N/A","N/A","67","40","63","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2016","294","19","25","0","N/A","N/A","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2016","147","46","105.3","1401","44","160.3","1","50","50"
"Peace Corps","Agency Overall","2016","65","113","131","22","154","274","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2016","6","152","179","93","237","235","15","354","349"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","30","2","2.9","48","6","7.23","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2016","10","583","438.2","46","291.5","329.9","0","N/A","N/A"
"Department of Commerce","Agency Overall","2016","143","98","226.58","201","112","238.38","3","372","543.67"
"Federal Deposit Insurance Corporation","Agency Overall","2016","13","7","15","8","24.5","21","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2016","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2016","18","64.5","108","141","472","497","30","335.5","354"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","2","21.5","21.5","0","N/A","N/A","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","N/A","N/A","15","118","144.27","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2016","13874","17","36.1","49195","56","87.01","36","12","61.19"
"Department of Transportation","Agency Overall","2016","3069","127","182.033","1840","233","279.378","11","578","534.181"
"Council on Environmental Quality","Agency Overall","2016","17","330","284","49","319","430","1","60","60"
"Department of Health and Human Services","Agency Overall","2016","770","109","118.24","4826","143","209","96","490","445.34"
"All agencies","Agency Overall","2016","43237","N/A","N/A","106823","N/A","N/A","678","N/A","N/A"
