"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","1","1","1","1"
"Federal Reserve System","Agency Overall","2014","3","6","3","3","9"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","1","5","5","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","12","1","1","1","13"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2014","2","0","4","4","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","11","1","1.45","11"
"Department of the Treasury","Agency Overall","2014","58","127","1","2.3","174"
"Peace Corps","Agency Overall","2014","0","0","0","0","0"
"Department of Energy","Agency Overall","2014","15","87","7","15.52","70"
"United States International Boundary and Water Commission","Agency Overall","2014","0","1","6","6","1"
"Department of Commerce","Agency Overall","2014","64","93","2","17","132"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","61","23","1","1","84"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","6","1","17","18","2"
"Department of Education","Agency Overall","2014","0","3","18","13.67","1"
"Export-Import Bank of the U.S.","Agency Overall","2014","0","1","26","26","0"
"National Credit Union Administration","Agency Overall","2014","2","0","2","2","2"
"Small Business Administration","Agency Overall","2014","2","1","2","24","2"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","4","2","8","8.5","5"
"Department of Labor","Agency Overall","2014","122","313","14","51.1","192"
"Farm Credit System Insurance Corporation","Agency Overall","2014","4","0","8","7.75","4"
"U.S. Agency for Global Media","Agency Overall","2014","0","93","8","8","91"
"Office of Management and Budget","Agency Overall","2014","0","0","0","0","0"
"United States Postal Service","Agency Overall","2014","6","15","1","3.67","18"
"Federal Maritime Commission","Agency Overall","2014","4","3","2","3.5","7"
"Farm Credit Administration","Agency Overall","2014","7","0","8","6.29","7"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","16","8","7","15"
"National Endowment for the Arts","Agency Overall","2014","0","1","3","3","1"
"Department of Housing and Urban Development","Agency Overall","2014","8","230","1","3.17","221"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","1","0","4","4","1"
"Postal Regulatory Commission","Agency Overall","2014","1","0","19","19","0"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","91","3404","5","12","2805"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2014","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","9","3","8","72.5","7"
"United States International Trade Commission","Agency Overall","2014","0","2","2","2","2"
"Environmental Protection Agency","Agency Overall","2014","22","274","5","6.68","235"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","3","253","2","2.99","245"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","3","0","12","15.7","0"
"Federal Communications Commission","Agency Overall","2014","12","13","9","19.28","18"
"Federal Trade Commission","Agency Overall","2014","0","15","5","4.4","15"
"Department of the Interior","Agency Overall","2014","22","59","2","7","69"
"National Science Foundation","Agency Overall","2014","0","1","10","10","1"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","1","0","1","1","1"
"Equal Employment Opportunity Commission","Agency Overall","2014","9","41","1","2.34","30"
"Department of Agriculture","Agency Overall","2014","53","319","1","4.9","362"
"National Railroad Passenger Corporation","Agency Overall","2014","2","4","2","3.67","6"
"Consumer Product Safety Commission","Agency Overall","2014","0","3","1","1","3"
"Commodity Futures Trading Commission","Agency Overall","2014","0","11","9","7.73","11"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","0","0","0","0"
"Department of Justice","Agency Overall","2014","147","948","1","13.85","866"
"Office of the United States Trade Representative","Agency Overall","2014","0","3","81","107","0"
"U.S. Agency for International Development","Agency Overall","2014","10","10","1","3.3","19"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","1","0","10","10","1"
"U.S. Department of State","Agency Overall","2014","14","392","6","9.15","322"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","0","0","0","0"
"National Mediation Board","Agency Overall","2014","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","1","0","1","1","1"
"United States Trade and Development Agency","Agency Overall","2014","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2014","43","76","1","10.86","94"
"National Aeronautics and Space Administration","Agency Overall","2014","0","10","1","1.8","10"
"Federal Election Commission","Agency Overall","2014","3","2","3","4.6","5"
"Federal Housing Finance Agency","Agency Overall","2014","0","20","0","1.8","19"
"Office of Science and Technology Policy","Agency Overall","2014","1","0","2","2","1"
"Merit Systems Protection Board","Agency Overall","2014","1","21","1","4.35","20"
"Federal Deposit Insurance Corporation","Agency Overall","2014","26","64","1","3.47","86"
"Selective Service System","Agency Overall","2014","0","0","0","0","0"
"Social Security Administration","Agency Overall","2014","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2014","1","2","5","4","3"
"General Services Administration","Agency Overall","2014","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2014","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2014","6","0","7","7","6"
"Department of Defense","Agency Overall","2014","131","995","0","5","987"
"Office of the Director of National Intelligence","Agency Overall","2014","0","4","73.9","63.25","1"
"National Indian Gaming Commission","Agency Overall","2014","0","2","10","10","1"
"Consumer Financial Protection Bureau","Agency Overall","2014","1","8","1","3.11","8"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","1","8","8","1"
"Department of Transportation","Agency Overall","2014","72","178","1","2.10267","238"
"Central Intelligence Agency","Agency Overall","2014","0","21","2.57","7.84","16"
"Council on Environmental Quality","Agency Overall","2014","1","4","4","6.8","5"
"National Archives and Records Administration","Agency Overall","2014","21","13","1","3.26","32"
"National Transportation Safety Board","Agency Overall","2014","9","0","413","409.78","0"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2014","188","488","10","12","376"
"All agencies","Agency Overall","2014","1286","8694","N/A","N/A","7995"
