"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Surface Transportation Board","Agency Overall","2014","",""
"Office of National Drug Control Policy","Agency Overall","2014","",""
"National Endowment for the Humanities","Agency Overall","2014","",""
"Federal Reserve System","Agency Overall","2014","",""
"Armed Forces Retirement Home","Agency Overall","2014","",""
"Recovery Accountability and Transparency Board","Agency Overall","2014","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","",""
"Federal Retirement Thrift Investment Board","Agency Overall","2014","",""
"National Capital Planning Commission","Agency Overall","2014","",""
"National Labor Relations Board","Agency Overall","2014","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2014","",""
"Department of the Treasury","Agency Overall","2014","",""
"Peace Corps","Agency Overall","2014","",""
"Department of Energy","Agency Overall","2014","",""
"United States International Boundary and Water Commission","Agency Overall","2014","",""
"Department of Commerce","Agency Overall","2014","",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","",""
"United States African Development Foundation","Agency Overall","2014","",""
"Office of Personnel Management","Agency Overall","2014","",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","",""
"Institute of Museum and Library Services","Agency Overall","2014","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","",""
"Department of Education","Agency Overall","2014","",""
"Export-Import Bank of the U.S.","Agency Overall","2014","",""
"National Credit Union Administration","Agency Overall","2014","",""
"Small Business Administration","Agency Overall","2014","",""
"U.S. Railroad Retirement Board","Agency Overall","2014","",""
"Federal Labor Relations Authority","Agency Overall","2014","",""
"Department of Labor","Agency Overall","2014","",""
"Farm Credit System Insurance Corporation","Agency Overall","2014","",""
"U.S. Agency for Global Media","Agency Overall","2014","0","0"
"Office of Management and Budget","Agency Overall","2014","",""
"United States Postal Service","Agency Overall","2014","",""
"Federal Maritime Commission","Agency Overall","2014","",""
"Farm Credit Administration","Agency Overall","2014","",""
"Federal Energy Regulatory Commission","Agency Overall","2014","",""
"National Endowment for the Arts","Agency Overall","2014","",""
"Department of Housing and Urban Development","Agency Overall","2014","",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","",""
"Postal Regulatory Commission","Agency Overall","2014","",""
"Inter-American Foundation","Agency Overall","2014","",""
"Department of Homeland Security","Agency Overall","2014","",""
"Federal Mediation and Conciliation Service","Agency Overall","2014","",""
"United States Copyright Office","Agency Overall","2014","",""
"Office of Special Counsel","Agency Overall","2014","",""
"United States International Trade Commission","Agency Overall","2014","",""
"Environmental Protection Agency","Agency Overall","2014","",""
"Federal Open Market Committee","Agency Overall","2014","",""
"Securities and Exchange Commission","Agency Overall","2014","",""
"Millennium Challenge Corporation","Agency Overall","2014","",""
"Legal Services Corporation","Agency Overall","2014","",""
"Federal Communications Commission","Agency Overall","2014","",""
"Federal Trade Commission","Agency Overall","2014","",""
"Department of the Interior","Agency Overall","2014","",""
"National Science Foundation","Agency Overall","2014","",""
"Court Services and Offender Supervision Agency","Agency Overall","2014","",""
"Overseas Private Investment Corporation","Agency Overall","2014","",""
"Equal Employment Opportunity Commission","Agency Overall","2014","",""
"Department of Agriculture","Agency Overall","2014","",""
"National Railroad Passenger Corporation","Agency Overall","2014","",""
"Consumer Product Safety Commission","Agency Overall","2014","",""
"Commodity Futures Trading Commission","Agency Overall","2014","",""
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","",""
"Department of Justice","Agency Overall","2014","",""
"Office of the United States Trade Representative","Agency Overall","2014","",""
"U.S. Agency for International Development","Agency Overall","2014","",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","",""
"U.S. Department of State","Agency Overall","2014","",""
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","",""
"National Mediation Board","Agency Overall","2014","",""
"Nuclear Regulatory Commission","Agency Overall","2014","",""
"United States Trade and Development Agency","Agency Overall","2014","",""
"Department of Veterans Affairs","Agency Overall","2014","",""
"National Aeronautics and Space Administration","Agency Overall","2014","",""
"Federal Election Commission","Agency Overall","2014","",""
"Federal Housing Finance Agency","Agency Overall","2014","",""
"Office of Science and Technology Policy","Agency Overall","2014","",""
"Merit Systems Protection Board","Agency Overall","2014","",""
"Federal Deposit Insurance Corporation","Agency Overall","2014","",""
"Selective Service System","Agency Overall","2014","",""
"Social Security Administration","Agency Overall","2014","",""
"U.S. Commission on Civil Rights","Agency Overall","2014","",""
"General Services Administration","Agency Overall","2014","",""
"Office of Government Ethics","Agency Overall","2014","",""
"Tennessee Valley Authority","Agency Overall","2014","",""
"Department of Defense","Agency Overall","2014","",""
"Office of the Director of National Intelligence","Agency Overall","2014","",""
"National Indian Gaming Commission","Agency Overall","2014","",""
"Consumer Financial Protection Bureau","Agency Overall","2014","",""
"Administrative Conference of the United States","Agency Overall","2014","",""
"American Battle Monuments Commission","Agency Overall","2014","",""
"Occupational Safety and Health Review Commission","Agency Overall","2014","",""
"Department of Transportation","Agency Overall","2014","",""
"Central Intelligence Agency","Agency Overall","2014","",""
"Council on Environmental Quality","Agency Overall","2014","",""
"National Archives and Records Administration","Agency Overall","2014","",""
"National Transportation Safety Board","Agency Overall","2014","",""
"Federal Financial Institutions Examination Council","Agency Overall","2014","",""
"Department of Health and Human Services","Agency Overall","2014","",""
"All agencies","Agency Overall","2014","0","0"
