"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Surface Transportation Board","Agency Overall","2014","15","4","0","12","1","1","3","0","0","0","0","0","36"
"Office of National Drug Control Policy","Agency Overall","2014","12","14","1","34","0","0","0","0","0","0","0","0","61"
"National Endowment for the Humanities","Agency Overall","2014","11","23","0","9","0","3","0","0","0","0","0","1","47"
"Federal Reserve System","Agency Overall","2014","465","76","21","101","11","36","9","17","38","1","8","32","815"
"Armed Forces Retirement Home","Agency Overall","2014","7","1","0","4","0","0","0","1","0","0","0","0","13"
"Recovery Accountability and Transparency Board","Agency Overall","2014","6","5","3","5","0","1","0","1","0","0","0","0","21"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","25","6","7","13","0","3","0","0","0","0","0","0","54"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","11","10","1","9","0","1","0","0","1","0","0","0","33"
"National Capital Planning Commission","Agency Overall","2014","6","0","0","8","0","0","0","0","0","0","0","0","14"
"National Labor Relations Board","Agency Overall","2014","3446","399","251","18","140","151","21","","","","","","4426"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","1323","383","87","104","0","29","2","8","32","7","107","1","2083"
"Department of the Treasury","Agency Overall","2014","5277","3502","380","951","143","369","152","562","1937","216","475","26","13990"
"Peace Corps","Agency Overall","2014","72","33","5","37","0","0","0","9","10","10","18","0","194"
"Department of Energy","Agency Overall","2014","687","518","28","336","322","251","30","13","24","35","30","0","2274"
"United States International Boundary and Water Commission","Agency Overall","2014","17","4","0","10","0","2","0","0","0","0","0","0","33"
"Department of Commerce","Agency Overall","2014","487","290","138","188","16","101","105","97","165","72","60","57","1776"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","136","0","0","17","0","3","0","0","0","0","0","0","156"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","126","37","0","0","0","0","0","0","0","0","0","0","163"
"United States African Development Foundation","Agency Overall","2014","4","9","0","1","0","0","0","0","0","0","0","0","14"
