"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2014","5","0","0","1","0","1","0","0","0","2","0"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2014","1","0","0","2","0","0","1","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2014","50","1","0","5","2","39","0","1","0","1","2"
"Peace Corps","Agency Overall","2014","0","0","0","0","1","0","1","0","0","0","1"
"Department of Energy","Agency Overall","2014","11","0","12","0","0","15","4","1","0","1","10"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2014","4","0","13","6","0","0","1","0","6","3","16"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","4","0","0","0","0","0","0","0","0","0","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2014","1","0","3","0","0","0","0","0","2","0","3"
"Export-Import Bank of the U.S.","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2014","4","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2014","16","0","23","0","0","47","0","10","0","0","92"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","94","0","0","0","1","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2014","0","0","0","0","0","0","0","0","1","0","0"
"United States Postal Service","Agency Overall","2014","0","0","0","0","0","2","1","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","0","2","0","0","0","0","0","0","0","2"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","2","0","2","0","0","0","0","0","2","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","128","3","30","5","6","469","5","74","7","8","80"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","1"
"United States Copyright Office","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","1","0","1","0","0","0","1","0","0","0","0"
"United States International Trade Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2014","1","0","10","0","0","3","0","8","4","0","0"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","43","0","2","6","0","0","0","6","0","0","9"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2014","6","0","4","6","0","1","0","0","0","0","13"
"Federal Trade Commission","Agency Overall","2014","2","0","0","2","0","0","1","0","0","0","1"
"Department of the Interior","Agency Overall","2014","2","0","0","2","0","0","0","2","19","1","19"
"National Science Foundation","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","0","0","0","0","2","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","13","10","4","0","0","20","0","33","0","0","0"
"Department of Agriculture","Agency Overall","2014","1","0","0","0","0","1","0","0","1","0","0"
"National Railroad Passenger Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","2","0","0","0","0","2","0","0","0","0","0"
"Department of Justice","Agency Overall","2014","777","35","25","80","22","93","19","103","35","27","795"
"Office of the United States Trade Representative","Agency Overall","2014","0","0","0","0","0","0","0","0","1","0","0"
"U.S. Agency for International Development","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2014","12","0","4","17","0","0","1","0","4","38","16"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2014","2","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","0","0","6","0","0","0","0","0","0","0","8"
"United States Trade and Development Agency","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2014","37","0","3","8","0","8","0","2","2","2","27"
"National Aeronautics and Space Administration","Agency Overall","2014","0","0","0","3","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2014","2","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2014","1","0","0","0","0","1","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2014","2","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2014","0","0","3","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2014","1","0","0","0","0","0","0","1","0","0","0"
"Selective Service System","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2014","16","0","0","4","1","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2014","0","0","2","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2014","0","0","0","1","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2014","88","14","45","17","2","42","5","18","10","13","66"
"Office of the Director of National Intelligence","Agency Overall","2014","2","0","4","0","0","0","1","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0"
