"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Surface Transportation Board","Agency Overall","2014","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","7","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0"
"Federal Reserve System","Agency Overall","2014","10","0"
"Armed Forces Retirement Home","Agency Overall","2014","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","11","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","1","0"
"National Capital Planning Commission","Agency Overall","2014","0","0"
"National Labor Relations Board","Agency Overall","2014","5","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","0"
"Department of the Treasury","Agency Overall","2014","601","72"
"Peace Corps","Agency Overall","2014","132","1"
"Department of Energy","Agency Overall","2014","341","5"
"United States International Boundary and Water Commission","Agency Overall","2014","3","0"
"Department of Commerce","Agency Overall","2014","362","35"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0"
"Office of Personnel Management","Agency Overall","2014","66","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","2","1"
"Department of Education","Agency Overall","2014","283","78"
"Export-Import Bank of the U.S.","Agency Overall","2014","31","1"
"National Credit Union Administration","Agency Overall","2014","0","0"
"Small Business Administration","Agency Overall","2014","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","9","0"
"Federal Labor Relations Authority","Agency Overall","2014","0","0"
"Department of Labor","Agency Overall","2014","561","316"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","7","0"
"Office of Management and Budget","Agency Overall","2014","27","0"
"United States Postal Service","Agency Overall","2014","158","22"
"Federal Maritime Commission","Agency Overall","2014","14","0"
"Farm Credit Administration","Agency Overall","2014","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","7","0"
"National Endowment for the Arts","Agency Overall","2014","3","0"
"Department of Housing and Urban Development","Agency Overall","2014","237","11"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","7","0"
"Postal Regulatory Commission","Agency Overall","2014","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0"
"Department of Homeland Security","Agency Overall","2014","103480","160"
"Federal Mediation and Conciliation Service","Agency Overall","2014","2","0"
"United States Copyright Office","Agency Overall","2014","3","0"
"Office of Special Counsel","Agency Overall","2014","195","10"
"United States International Trade Commission","Agency Overall","2014","0","0"
"Environmental Protection Agency","Agency Overall","2014","1688","188"
"Federal Open Market Committee","Agency Overall","2014","8","0"
"Securities and Exchange Commission","Agency Overall","2014","149","23"
"Millennium Challenge Corporation","Agency Overall","2014","23","0"
"Legal Services Corporation","Agency Overall","2014","0","0"
"Federal Communications Commission","Agency Overall","2014","28","5"
"Federal Trade Commission","Agency Overall","2014","7","2"
"Department of the Interior","Agency Overall","2014","578","268"
"National Science Foundation","Agency Overall","2014","150","1"
"Court Services and Offender Supervision Agency","Agency Overall","2014","58","0"
"Overseas Private Investment Corporation","Agency Overall","2014","2","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","195","3"
"Department of Agriculture","Agency Overall","2014","1314","268"
"National Railroad Passenger Corporation","Agency Overall","2014","10","5"
"Consumer Product Safety Commission","Agency Overall","2014","214","0"
"Commodity Futures Trading Commission","Agency Overall","2014","27","4"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","6","0"
"Department of Justice","Agency Overall","2014","8938","292"
"Office of the United States Trade Representative","Agency Overall","2014","23","0"
"U.S. Agency for International Development","Agency Overall","2014","265","18"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","2","0"
"U.S. Department of State","Agency Overall","2014","10045","235"
