"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Surface Transportation Board","Agency Overall","2014","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","6","7"
"National Endowment for the Humanities","Agency Overall","2014","1","0"
"Federal Reserve System","Agency Overall","2014","19","10"
"Armed Forces Retirement Home","Agency Overall","2014","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","1","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","2","1"
"National Capital Planning Commission","Agency Overall","2014","0","0"
"National Labor Relations Board","Agency Overall","2014","5","5"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","8","0"
"Department of the Treasury","Agency Overall","2014","657","601"
"Peace Corps","Agency Overall","2014","25","132"
"Department of Energy","Agency Overall","2014","438","341"
"United States International Boundary and Water Commission","Agency Overall","2014","2","3"
"Department of Commerce","Agency Overall","2014","238","362"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0"
"Office of Personnel Management","Agency Overall","2014","78","66"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","3","2"
"Department of Education","Agency Overall","2014","191","283"
"Export-Import Bank of the U.S.","Agency Overall","2014","32","31"
"National Credit Union Administration","Agency Overall","2014","0","0"
"Small Business Administration","Agency Overall","2014","1","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","3","9"
"Federal Labor Relations Authority","Agency Overall","2014","0","0"
"Department of Labor","Agency Overall","2014","620","561"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","11","7"
"Office of Management and Budget","Agency Overall","2014","41","27"
"United States Postal Service","Agency Overall","2014","93","158"
"Federal Maritime Commission","Agency Overall","2014","18","14"
"Farm Credit Administration","Agency Overall","2014","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","3","7"
"National Endowment for the Arts","Agency Overall","2014","6","3"
"Department of Housing and Urban Development","Agency Overall","2014","266","237"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","4","7"
"Postal Regulatory Commission","Agency Overall","2014","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0"
"Department of Homeland Security","Agency Overall","2014","51575","103480"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","2"
"United States Copyright Office","Agency Overall","2014","3","3"
"Office of Special Counsel","Agency Overall","2014","122","195"
"United States International Trade Commission","Agency Overall","2014","0","0"
"Environmental Protection Agency","Agency Overall","2014","1265","1688"
"Federal Open Market Committee","Agency Overall","2014","8","8"
"Securities and Exchange Commission","Agency Overall","2014","151","149"
"Millennium Challenge Corporation","Agency Overall","2014","0","23"
"Legal Services Corporation","Agency Overall","2014","0","0"
"Federal Communications Commission","Agency Overall","2014","28","28"
"Federal Trade Commission","Agency Overall","2014","3","7"
"Department of the Interior","Agency Overall","2014","402","578"
"National Science Foundation","Agency Overall","2014","125","150"
"Court Services and Offender Supervision Agency","Agency Overall","2014","56","58"
"Overseas Private Investment Corporation","Agency Overall","2014","2","2"
"Equal Employment Opportunity Commission","Agency Overall","2014","190","195"
"Department of Agriculture","Agency Overall","2014","1137","1314"
"National Railroad Passenger Corporation","Agency Overall","2014","25","10"
"Consumer Product Safety Commission","Agency Overall","2014","230","214"
"Commodity Futures Trading Commission","Agency Overall","2014","15","27"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","7","6"
"Department of Justice","Agency Overall","2014","6990","8938"
"Office of the United States Trade Representative","Agency Overall","2014","28","23"
"U.S. Agency for International Development","Agency Overall","2014","233","265"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","1","2"
"U.S. Department of State","Agency Overall","2014","8669","10045"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","1"
"National Mediation Board","Agency Overall","2014","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","77","21"
"United States Trade and Development Agency","Agency Overall","2014","1","6"
"Department of Veterans Affairs","Agency Overall","2014","1407","1343"
"National Aeronautics and Space Administration","Agency Overall","2014","11","11"
"Federal Election Commission","Agency Overall","2014","12","30"
"Federal Housing Finance Agency","Agency Overall","2014","13","7"
"Office of Science and Technology Policy","Agency Overall","2014","1","2"
"Merit Systems Protection Board","Agency Overall","2014","0","10"
"Federal Deposit Insurance Corporation","Agency Overall","2014","0","0"
"Selective Service System","Agency Overall","2014","0","0"
"Social Security Administration","Agency Overall","2014","67","84"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0"
"General Services Administration","Agency Overall","2014","160","84"
"Office of Government Ethics","Agency Overall","2014","1","1"
"Tennessee Valley Authority","Agency Overall","2014","10","9"
"Department of Defense","Agency Overall","2014","6593","8444"
"Office of the Director of National Intelligence","Agency Overall","2014","155","210"
"National Indian Gaming Commission","Agency Overall","2014","28","8"
"Consumer Financial Protection Bureau","Agency Overall","2014","2","0"
"Administrative Conference of the United States","Agency Overall","2014","0","0"
"American Battle Monuments Commission","Agency Overall","2014","1","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0"
"Department of Transportation","Agency Overall","2014","938","1624"
"Central Intelligence Agency","Agency Overall","2014","692","672"
"Council on Environmental Quality","Agency Overall","2014","39","35"
"National Archives and Records Administration","Agency Overall","2014","6600","9361"
"National Transportation Safety Board","Agency Overall","2014","158","288"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0"
"Department of Health and Human Services","Agency Overall","2014","5085","7195"
"All agencies","Agency Overall","2014","96088","159741"
