"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Surface Transportation Board","Agency Overall","2014","3","6.33","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2014","53","46","5","152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2014","16","14.6","<1","30","42","57.1","16","176","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2014","5","10","1","213","30","48","1","480","523","523","523","523"
"Armed Forces Retirement Home","Agency Overall","2014","7","6","3","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2014","19","19.2","14","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","1","2","1","6","11","16","11","24","1","3","1","9"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","20","31","10","183","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2014","4","3.75","1","5","9","9","9","9","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2014","5","7","N/A","N/A","N/A","N/A","N/A","N/A","4","4","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","6","7.52","<1","37","14","17.56","<1","230","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2014","7","15.69","<1","771","18","28.41","<1","2720","21","44.46","1","322"
"Peace Corps","Agency Overall","2014","44","55","3","409","51","123","5","552","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2014","15","44.52","<1","950","88","223.89","1","1520","27.5","29.5","9","51"
"United States International Boundary and Water Commission","Agency Overall","2014","20","27.2","4","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2014","9","10","1","148","48","101","1","1058","3","37","1","313"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","1","2.9","1","25","6","9.3","1","36","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","1","2.39","1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2014","14","11","2","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2014","2","7","N/A","N/A","30","32","N/A","N/A","15","25","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","5.5","5.3","1","8","15","15.33","12","19","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2014","7","8","1","19","23.5","24.4","22","28","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","16","22.33","1","75","N/A","N/A","N/A","N/A","16","13","3","20"
"Department of Education","Agency Overall","2014","13","14.09","<1","163","26","50.81","<1","1081","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2014","60","86.54","2","339","96","185.33","24","661","N/A","N/A","N/A","N/A"
