"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2014","0","0","0","3","1","2","0","0","1","1","0","0","6","0"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","0","0","3","0","0","2","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2014","0","0","0","0","2","8","5","0","5","1","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","0","1","1","2","3","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2014","2","2","90","10","50","50","40","0","60","6","46","0","12","0"
"Peace Corps","Agency Overall","2014","0","1","0","0","2","0","0","0","1","0","0","0","0","0"
"Department of Energy","Agency Overall","2014","0","0","2","6","12","8","0","0","2","0","0","2","0","0"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2014","0","1","4","3","13","6","2","0","4","1","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","0","0","0","0","1","4","0","0","2","2","2","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2014","0","0","0","0","10","2","1","0","4","1","3","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2014","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","0","1","1","0"
"Small Business Administration","Agency Overall","2014","0","0","0","4","1","4","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2014","0","0","0","0","3","0","3","0","8","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"Office of Management and Budget","Agency Overall","2014","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2014","0","0","9","1","6","15","3","0","35","2","5","0","0","0"
"Federal Maritime Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","1","1","7","10","5","1","0","0","0","3","1","0","0"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","0","0","0","10","4","9","7","0","5","0","4","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2014","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","0","19","49","16","590","1162","16","0","1362","0","1319","3","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2014","0","0","2","2","1","2","0","0","0","0","1","0","0","0"
"Environmental Protection Agency","Agency Overall","2014","0","0","2","3","11","3","2","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","0","0","2","8","47","16","180","1","18","0","6","0","5","0"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","0","0","0","0","1","1","2","0","2","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2014","2","0","0","3","3","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2014","0","0","4","2","1","3","0","0","3","2","1","0","0","0"
"Department of the Interior","Agency Overall","2014","0","0","0","1","6","3","0","0","3","0","0","1","0","0"
"National Science Foundation","Agency Overall","2014","0","0","0","0","0","5","0","0","4","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","0","0","286","0","11","0","26","0","48","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2014","0","0","6","6","12","34","7","0","17","2","4","1","0","0"
"National Railroad Passenger Corporation","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
