"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Surface Transportation Board","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2014","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2014","17","17","17","17"
"Federal Reserve System","Agency Overall","2014","35","36","13","77"
"Armed Forces Retirement Home","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","69","61","36","77"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","9.5","9.5","9","10"
"National Capital Planning Commission","Agency Overall","2014","2","2","2","2"
"National Labor Relations Board","Agency Overall","2014","22","23","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","18","17.6","12","21"
"Department of the Treasury","Agency Overall","2014","18","24.72","<1","269"
"Peace Corps","Agency Overall","2014","22","23","22","74"
"Department of Energy","Agency Overall","2014","10","13.3","<1","127"
"United States International Boundary and Water Commission","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2014","64","128","8","539"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2014","69","94","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2014","135","301.03","<1","1123"
"Export-Import Bank of the U.S.","Agency Overall","2014","519.5","519.5","143","896"
"National Credit Union Administration","Agency Overall","2014","20.5","20.5","20","21"
"Small Business Administration","Agency Overall","2014","14.5","16","10","29"
"U.S. Railroad Retirement Board","Agency Overall","2014","109","109","109","109"
"Federal Labor Relations Authority","Agency Overall","2014","14","14.33","8","21"
"Department of Labor","Agency Overall","2014","41","131.2","1","871"
"Farm Credit System Insurance Corporation","Agency Overall","2014","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2014","18","23","18","56"
"Office of Management and Budget","Agency Overall","2014","183","183","25","290"
"United States Postal Service","Agency Overall","2014","19","22.74","1","153"
"Federal Maritime Commission","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2014","11","11","11","11"
"Federal Energy Regulatory Commission","Agency Overall","2014","25","23","3","31"
"National Endowment for the Arts","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2014","33.75","53.76","1","339"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","26","26","26","26"
"Postal Regulatory Commission","Agency Overall","2014","17","17","17","17"
"Inter-American Foundation","Agency Overall","2014","18","18","18","18"
"Department of Homeland Security","Agency Overall","2014","41.34","111.54","1","1071"
"Federal Mediation and Conciliation Service","Agency Overall","2014","24","24","24","24"
"United States Copyright Office","Agency Overall","2014","57","57","57","57"
"Office of Special Counsel","Agency Overall","2014","59","88.17","3","317"
"United States International Trade Commission","Agency Overall","2014","22","24","19","30"
"Environmental Protection Agency","Agency Overall","2014","34","66.81","<1","601"
"Federal Open Market Committee","Agency Overall","2014","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2014","18.5","29.23","<1","273"
"Millennium Challenge Corporation","Agency Overall","2014","8","8","2","14"
"Legal Services Corporation","Agency Overall","2014","8","11.8","3","21"
"Federal Communications Commission","Agency Overall","2014","193","176.43","35","324"
"Federal Trade Commission","Agency Overall","2014","19","19.38","14","26"
"Department of the Interior","Agency Overall","2014","180","201","10","1617"
"National Science Foundation","Agency Overall","2014","20","48","4","400"
"Court Services and Offender Supervision Agency","Agency Overall","2014","22","11","11","22"
"Overseas Private Investment Corporation","Agency Overall","2014","13","13.25","6","21"
"Equal Employment Opportunity Commission","Agency Overall","2014","18","18.27","1","87"
"Department of Agriculture","Agency Overall","2014","84","242.02","1","2100"
"National Railroad Passenger Corporation","Agency Overall","2014","99","122","45","222"
"Consumer Product Safety Commission","Agency Overall","2014","14","14","5","23"
"Commodity Futures Trading Commission","Agency Overall","2014","24","37.67","18","107"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","71","95","19","314"
"Department of Justice","Agency Overall","2014","54","67.88","<1","456"
"Office of the United States Trade Representative","Agency Overall","2014","121","121","121","121"
"U.S. Agency for International Development","Agency Overall","2014","764","537","3","1008"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","98","98","98","98"
"U.S. Department of State","Agency Overall","2014","140","270","<1","1809.95"
