"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2014","0","0","1","0","0","0","0","0","0","0","0","0","1","2"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2014","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2014","28","22","1","3","0","2","0","0","0","0","3","1","0","60"
"Peace Corps","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2014","7","2","4","0","1","0","0","0","0","0","0","0","0","14"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2014","54","1","0","1","0","1","0","2","0","0","0","2","0","61"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","43","9","3","4","1","0","0","0","0","0","0","0","1","61"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","4","2","0","0","0","0","0","0","0","0","0","0","0","6"
"Department of Education","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Export-Import Bank of the U.S.","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2014","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"Small Business Administration","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Department of Labor","Agency Overall","2014","128","14","5","2","2","0","0","0","0","1","2","0","3","157"
"Farm Credit System Insurance Corporation","Agency Overall","2014","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"U.S. Agency for Global Media","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2014","4","1","0","0","0","0","0","0","0","0","0","0","0","5"
"Federal Maritime Commission","Agency Overall","2014","3","1","0","0","0","0","0","0","0","0","0","0","0","4"
"Farm Credit Administration","Agency Overall","2014","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","6","2","0","0","0","0","0","0","0","0","0","0","0","8"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","58","27","8","11","8","11","8","17","4","8","9","4","4","177"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","2","0","0","0","0","0","0","0","0","0","0","1","0","3"
"United States International Trade Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2014","4","4","0","1","0","0","1","0","0","0","0","1","3","14"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","0","0","3","0","0","0","0","0","0","0","0","0","0","3"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Communications Commission","Agency Overall","2014","15","3","0","0","0","0","2","0","0","0","0","0","0","20"
"Federal Trade Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2014","9","1","5","0","1","0","0","0","0","0","0","2","4","22"
"National Science Foundation","Agency Overall","2014","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2014","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Department of Agriculture","Agency Overall","2014","102","32","7","1","1","1","3","1","2","2","4","0","0","156"
"National Railroad Passenger Corporation","Agency Overall","2014","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
