"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","1","2","3","0","0","0","0","0","1","0","0","0","0","7"
"Federal Reserve System","Agency Overall","2014","166","108","58","36","20","14","7","2","6","3","3","2","1","426"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","7","6","0","0","0","0","0","0","0","0","0","0","0","13"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"National Labor Relations Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","779","244","40","9","5","3","0","1","0","1","1","0","0","1083"
"Department of the Treasury","Agency Overall","2014","7835","1894","601","212","99","61","42","39","22","22","58","46","124","11055"
"Peace Corps","Agency Overall","2014","2","1","3","0","1","1","1","1","0","0","0","0","1","11"
"Department of Energy","Agency Overall","2014","153","116","85","34","35","29","14","20","18","8","41","25","115","693"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2014","106","196","102","46","36","32","21","20","11","4","36","25","19","654"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","35","2","0","0","0","0","0","0","0","0","0","0","0","37"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","1442","921","119","101","52","36","25","12","8","10","25","9","8","2768"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Institute of Museum and Library Services","Agency Overall","2014","0","6","2","0","0","0","0","0","0","0","0","0","0","8"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2014","764","341","157","91","60","28","31","17","19","8","27","6","6","1555"
"Export-Import Bank of the U.S.","Agency Overall","2014","3","7","4","0","2","1","0","1","0","0","5","0","4","27"
"National Credit Union Administration","Agency Overall","2014","22","12","5","0","5","1","2","0","0","0","0","0","0","47"
"Small Business Administration","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2014","6721","1491","609","278","173","125","88","81","48","54","140","40","81","9929"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","95","15","11","10","3","1","0","3","1","0","5","1","0","145"
"Office of Management and Budget","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2014","157","66","41","13","8","8","5","3","1","1","4","3","2","312"
"Federal Maritime Commission","Agency Overall","2014","14","3","5","1","0","0","1","1","0","0","0","0","1","26"
"Farm Credit Administration","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","17","15","5","0","0","0","1","1","0","0","1","0","1","41"
"National Endowment for the Arts","Agency Overall","2014","1","5","1","0","0","0","0","0","0","0","0","0","1","8"
"Department of Housing and Urban Development","Agency Overall","2014","101","71","34","34","18","11","13","10","8","15","26","11","6","358"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","13","5","4","1","0","1","0","0","0","0","0","0","2","26"
"Postal Regulatory Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","33136","56746","19832","2529","1509","1448","1315","1515","1813","2240","7580","8963","7590","146216"
"Federal Mediation and Conciliation Service","Agency Overall","2014","10","5","3","2","3","1","1","0","0","0","0","0","0","25"
"United States Copyright Office","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","0","1","2","0","0","0","1","0","0","0","6","4","7","21"
"United States International Trade Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2014","335","3099","745","349","223","162","123","73","52","58","188","85","191","5683"
"Federal Open Market Committee","Agency Overall","2014","0","2","2","2","1","0","0","0","0","0","0","1","1","9"
"Securities and Exchange Commission","Agency Overall","2014","0","1","0","0","0","0","0","0","0","0","0","1","5","7"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2014","2","0","0","1","0","2","1","0","0","1","0","0","10","17"
"Federal Trade Commission","Agency Overall","2014","0","310","20","16","2","5","1","0","3","1","3","0","1","362"
"Department of the Interior","Agency Overall","2014","2569","800","316","170","99","72","49","42","28","17","71","30","46","4309"
"National Science Foundation","Agency Overall","2014","45","38","9","9","10","11","4","3","3","4","19","2","11","168"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2014","705","247","112","60","45","38","19","24","16","12","27","24","95","1424"
"National Railroad Passenger Corporation","Agency Overall","2014","83","26","23","11","4","6","0","1","0","0","4","3","1","162"
