"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Surface Transportation Board","Agency Overall","2014","34","34","32","36"
"Office of National Drug Control Policy","Agency Overall","2014","63","62","60","61"
"National Endowment for the Humanities","Agency Overall","2014","35","49","34","47"
"Federal Reserve System","Agency Overall","2014","838","812","854","815"
"Armed Forces Retirement Home","Agency Overall","2014","18","13","18","13"
"Recovery Accountability and Transparency Board","Agency Overall","2014","13","22","14","21"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","40","64","57","54"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","25","32","26","33"
"National Capital Planning Commission","Agency Overall","2014","9","14","9","14"
"National Labor Relations Board","Agency Overall","2014","5536","4470","5554","4426"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","5721","2094","5786","2083"
"Department of the Treasury","Agency Overall","2014","15040","14107","14915","13990"
"Peace Corps","Agency Overall","2014","173","291","154","194"
"Department of Energy","Agency Overall","2014","2077","2219","2048","2274"
"United States International Boundary and Water Commission","Agency Overall","2014","18","34","19","33"
"Department of Commerce","Agency Overall","2014","1823","1896","1793","1776"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","176","152","174","156"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","248","163","248","163"
"United States African Development Foundation","Agency Overall","2014","4","14","4","14"
"Office of Personnel Management","Agency Overall","2014","11188","8302","12184","8463"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","4","16","4","16"
"Institute of Museum and Library Services","Agency Overall","2014","42","51","41","51"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","17","30","14","31"
"Department of Education","Agency Overall","2014","2322","2234","2335","2147"
"Export-Import Bank of the U.S.","Agency Overall","2014","45","60","51","60"
"National Credit Union Administration","Agency Overall","2014","127","108","134","108"
"Small Business Administration","Agency Overall","2014","4933","1306","4946","1312"
"U.S. Railroad Retirement Board","Agency Overall","2014","122","155","119","149"
"Federal Labor Relations Authority","Agency Overall","2014","105","105","102","106"
"Department of Labor","Agency Overall","2014","19438","16106","19427","16715"
"Farm Credit System Insurance Corporation","Agency Overall","2014","8","11","8","11"
"U.S. Agency for Global Media","Agency Overall","2014","58","138","45","145"
"Office of Management and Budget","Agency Overall","2014","222","152","181","180"
"United States Postal Service","Agency Overall","2014","2344","2547","2304","2489"
"Federal Maritime Commission","Agency Overall","2014","26","41","24","43"
"Farm Credit Administration","Agency Overall","2014","29","43","29","44"
"Federal Energy Regulatory Commission","Agency Overall","2014","100","117","99","109"
"National Endowment for the Arts","Agency Overall","2014","72","71","82","73"
"Department of Housing and Urban Development","Agency Overall","2014","2388","2367","2400","2224"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","46","68","59","66"
"Postal Regulatory Commission","Agency Overall","2014","24","31","24","31"
"Inter-American Foundation","Agency Overall","2014","11","8","11","8"
"Department of Homeland Security","Agency Overall","2014","231534","291242","204526","238031"
"Federal Mediation and Conciliation Service","Agency Overall","2014","112","141","112","137"
"United States Copyright Office","Agency Overall","2014","35","43","36","43"
"Office of Special Counsel","Agency Overall","2014","149","168","129","91"
"United States International Trade Commission","Agency Overall","2014","35","39","35","39"
"Environmental Protection Agency","Agency Overall","2014","9951","10470","9131","10130"
"Federal Open Market Committee","Agency Overall","2014","21","29","21","29"
"Securities and Exchange Commission","Agency Overall","2014","12275","14862","12167","14757"
"Millennium Challenge Corporation","Agency Overall","2014","25","33","21","14"
"Legal Services Corporation","Agency Overall","2014","37","54","37","54"
"Federal Communications Commission","Agency Overall","2014","571","679","574","673"
"Federal Trade Commission","Agency Overall","2014","1447","1440","1443","1425"
"Department of the Interior","Agency Overall","2014","6359","5764","6371","5647"
"National Science Foundation","Agency Overall","2014","378","338","305","306"
"Court Services and Offender Supervision Agency","Agency Overall","2014","793","724","723","770"
"Overseas Private Investment Corporation","Agency Overall","2014","29","49","30","46"
"Equal Employment Opportunity Commission","Agency Overall","2014","18946","17213","19055","17314"
"Department of Agriculture","Agency Overall","2014","22580","19864","21556","19243"
"National Railroad Passenger Corporation","Agency Overall","2014","179","200","187","200"
"Consumer Product Safety Commission","Agency Overall","2014","1935","1240","1946","1249"
"Commodity Futures Trading Commission","Agency Overall","2014","122","164","148","151"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","37","38","31","42"
"Department of Justice","Agency Overall","2014","70081","64488","68241","63026"
"Office of the United States Trade Representative","Agency Overall","2014","97","66","82","71"
"U.S. Agency for International Development","Agency Overall","2014","372","373","345","315"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","30","33","30","32"
"U.S. Department of State","Agency Overall","2014","18753","19696","21097","18094"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","7","0","6"
"National Mediation Board","Agency Overall","2014","31","38","32","38"
"Nuclear Regulatory Commission","Agency Overall","2014","359","508","370","485"
"United States Trade and Development Agency","Agency Overall","2014","13","32","12","24"
"Department of Veterans Affairs","Agency Overall","2014","26583","28009","26685","27982"
"National Aeronautics and Space Administration","Agency Overall","2014","873","792","883","790"
"Federal Election Commission","Agency Overall","2014","87","98","73","87"
"Federal Housing Finance Agency","Agency Overall","2014","165","160","151","171"
"Office of Science and Technology Policy","Agency Overall","2014","128","93","130","89"
"Merit Systems Protection Board","Agency Overall","2014","207","221","202","212"
"Federal Deposit Insurance Corporation","Agency Overall","2014","732","647","744","656"
"Selective Service System","Agency Overall","2014","18","49","18","49"
"Social Security Administration","Agency Overall","2014","39159","26899","39455","24689"
"U.S. Commission on Civil Rights","Agency Overall","2014","23","44","23","43"
"General Services Administration","Agency Overall","2014","1352","1522","1318","1508"
"Office of Government Ethics","Agency Overall","2014","47","28","43","30"
"Tennessee Valley Authority","Agency Overall","2014","162","165","161","175"
"Department of Defense","Agency Overall","2014","68014","61055","67679","59321"
"Office of the Director of National Intelligence","Agency Overall","2014","388","467","374","394"
"National Indian Gaming Commission","Agency Overall","2014","50","52","45","75"
"Consumer Financial Protection Bureau","Agency Overall","2014","204","288","209","282"
"Administrative Conference of the United States","Agency Overall","2014","19","17","19","17"
"American Battle Monuments Commission","Agency Overall","2014","3","9","3","10"
"Occupational Safety and Health Review Commission","Agency Overall","2014","50","61","47","62"
"Department of Transportation","Agency Overall","2014","10552","12012","10235","11213"
"Central Intelligence Agency","Agency Overall","2014","4573","3737","4625","3795"
"Council on Environmental Quality","Agency Overall","2014","64","35","34","30"
"National Archives and Records Administration","Agency Overall","2014","12243","22237","13253","19476"
"National Transportation Safety Board","Agency Overall","2014","463","589","311","409"
"Federal Financial Institutions Examination Council","Agency Overall","2014","22","18","22","18"
"Department of Health and Human Services","Agency Overall","2014","66916","44283","67883","42293"
"All agencies","Agency Overall","2014","705945","714231","679840","647142"
