"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Surface Transportation Board","Agency Overall","2014","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Office of National Drug Control Policy","Agency Overall","2014","22","11","21","2","1","2","0","1","0","1","0","0","0","61"
"National Endowment for the Humanities","Agency Overall","2014","35","5","0","0","0","0","0","0","0","0","0","0","0","40"
"Federal Reserve System","Agency Overall","2014","345","29","7","1","1","0","0","2","1","0","1","0","0","387"
"Armed Forces Retirement Home","Agency Overall","2014","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Recovery Accountability and Transparency Board","Agency Overall","2014","13","7","0","0","0","0","0","0","0","0","0","0","0","20"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","28","1","0","0","0","0","0","0","0","0","0","0","0","29"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","19","9","0","0","0","1","0","0","0","1","0","0","0","30"
"National Capital Planning Commission","Agency Overall","2014","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"National Labor Relations Board","Agency Overall","2014","4111","266","22","14","3","3","4","1","0","0","0","0","0","4424"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","954","29","0","0","0","0","0","0","0","0","0","0","0","983"
"Department of the Treasury","Agency Overall","2014","2330","262","81","36","29","19","24","12","14","9","29","11","14","2870"
"Peace Corps","Agency Overall","2014","43","22","23","15","8","7","4","4","4","4","8","0","1","143"
"Department of Energy","Agency Overall","2014","1098","202","108","45","26","17","3","5","6","7","15","9","26","1567"
"United States International Boundary and Water Commission","Agency Overall","2014","19","6","8","0","0","0","0","0","0","0","0","0","0","33"
"Department of Commerce","Agency Overall","2014","967","13","3","2","2","0","0","0","0","0","0","0","0","987"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","118","1","0","0","0","0","0","0","0","0","0","0","0","119"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","163","0","0","0","0","0","0","0","0","0","0","0","0","163"
"United States African Development Foundation","Agency Overall","2014","14","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Office of Personnel Management","Agency Overall","2014","5237","213","68","22","15","18","11","8","7","1","28","5","1","5634"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Institute of Museum and Library Services","Agency Overall","2014","43","0","0","0","0","0","0","0","0","0","0","0","0","43"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","18","2","2","2","0","0","0","0","0","0","1","0","0","25"
"Department of Education","Agency Overall","2014","499","89","0","0","0","0","1","0","2","0","0","0","0","591"
"Export-Import Bank of the U.S.","Agency Overall","2014","4","10","5","5","1","2","0","1","0","0","3","2","0","33"
"National Credit Union Administration","Agency Overall","2014","52","5","0","0","0","0","0","0","0","0","0","0","0","57"
"Small Business Administration","Agency Overall","2014","1112","189","6","5","0","0","0","0","0","0","0","0","0","1312"
"U.S. Railroad Retirement Board","Agency Overall","2014","119","18","10","0","1","0","1","0","0","0","0","0","0","149"
"Federal Labor Relations Authority","Agency Overall","2014","90","5","0","0","0","0","0","0","0","0","0","0","0","95"
"Department of Labor","Agency Overall","2014","4993","877","312","123","75","62","39","27","20","14","40","7","34","6623"
"Farm Credit System Insurance Corporation","Agency Overall","2014","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"U.S. Agency for Global Media","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2014","54","34","14","11","9","6","6","3","5","5","16","7","10","180"
"United States Postal Service","Agency Overall","2014","1786","234","59","25","19","12","11","5","3","5","10","1","2","2172"
"Federal Maritime Commission","Agency Overall","2014","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Farm Credit Administration","Agency Overall","2014","37","0","0","0","0","0","0","0","0","0","0","0","0","37"
"Federal Energy Regulatory Commission","Agency Overall","2014","28","34","4","2","0","0","0","0","0","0","0","0","0","68"
"National Endowment for the Arts","Agency Overall","2014","50","11","1","0","0","0","0","0","0","0","0","0","0","62"
"Department of Housing and Urban Development","Agency Overall","2014","1326","291","105","42","26","10","16","11","9","7","11","2","2","1858"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","37","1","1","0","0","0","0","0","0","0","0","0","0","39"
"Postal Regulatory Commission","Agency Overall","2014","29","1","0","0","0","0","0","0","0","0","0","0","0","30"
"Inter-American Foundation","Agency Overall","2014","2","4","1","1","0","0","0","0","0","0","0","0","0","8"
"Department of Homeland Security","Agency Overall","2014","44843","11920","4290","1367","1379","2807","3448","2291","697","579","1603","437","26","75687"
"Federal Mediation and Conciliation Service","Agency Overall","2014","84","4","1","0","0","0","0","0","0","0","0","0","0","89"
