"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Surface Transportation Board","Agency Overall","2014","0","4","0","0","0","4","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","1","0","0","0","0","13","1","1","1","0","1","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0","0","6","4","22","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2014","0","0","0","31","32","38","1","0","6","1","1","0","30","0"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","2","0","3","7","3","0","2","0","3","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","0","0","3","1","1","4","0","1","0","1","1","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","1","4","10","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2014","","12","","13","104","275","193","","274","139","5","3","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","0","6","34","22","346","3","0","1","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2014","19","19","3103","206","810","888","492","2","1156","52","1256","8","67","0"
"Peace Corps","Agency Overall","2014","0","0","0","0","10","30","0","0","8","1","5","0","0","0"
"Department of Energy","Agency Overall","2014","6","16","46","229","155","322","5","0","26","4","6","9","0","0"
"United States International Boundary and Water Commission","Agency Overall","2014","0","1","0","2","0","2","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2014","0","9","118","83","98","151","20","0","63","3","20","1","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","23","14","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","","6","1051","14","23","2162","1","","2095","140","277","7","",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","6","0","1","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0","0","0","4","14","1","0","0","0","1","0","0","0"
"Department of Education","Agency Overall","2014","0","4","23","177","112","464","215","3","390","4","27","1","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2014","0","0","0","15","9","7","3","0","6","0","3","0","0","0"
"National Credit Union Administration","Agency Overall","2014","0","0","0","17","13","30","1","0","1","0","0","0","21","0"
"Small Business Administration","Agency Overall","2014","0","0","0","94","6","79","1","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2014","0","93","11","3781","3158","1777","1754","85","5981","2162","1410","5","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","0","0","0","1","8","16","0","0","0","0","2","1","0","0"
"Office of Management and Budget","Agency Overall","2014","0","3","0","4","31","12","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2014","0","14","460","84","87","592","30","1","384","86","78","3","0","0"
"Federal Maritime Commission","Agency Overall","2014","0","0","2","6","4","14","1","0","0","0","1","0","0","0"
"Farm Credit Administration","Agency Overall","2014","0","0","0","0","1","3","0","0","1","0","0","0","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","1","5","19","21","38","2","0","0","0","3","4","0","1"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","27","4","21","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","0","34","30","104","93","214","77","0","84","1","31","0","2","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","0","0","2","5","12","0","0","2","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2014","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","59","325","5131","396","46293","89953","341","978","108259","248","108398","125","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","0","4","7","5","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","0","1","0","0","9","3","0","0","23","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2014","0","0","5","5","5","4","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2014","1","2","32","94","199","180","66","2","46","26","10","0","0","3"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","3","4","2","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","0","5","40","155","178","414","869","5","282","32","45","1","54","0"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0","3","3","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","0","0","2","3","4","8","5","0","7","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2014","1","149","2","49","52","229","22","0","24","5","12","0","0","0"
"Federal Trade Commission","Agency Overall","2014","0","0","150","35","70","513","25","0","17","9","11","0","0","0"
"Department of the Interior","Agency Overall","2014","1","24","76","203","340","973","126","1","329","14","64","25","0","18"
"National Science Foundation","Agency Overall","2014","0","0","4","162","9","182","3","0","9","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","55","0","1","28","546","0","0","546","31","33","34","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","6","0","12","10","17","0","0","5","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","0","1","5009","20","11723","2549","1515","0","5633","45","8","0","0","0"
"Department of Agriculture","Agency Overall","2014","6","33","382","413","441","1604","120","3","678","43","135","64","0","5"
"National Railroad Passenger Corporation","Agency Overall","2014","0","1","0","11","17","32","6","0","16","0","3","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2014","0","0","220","120","235","164","25","3","4","20","0","0","0","0"
