"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Surface Transportation Board","Agency Overall","2014","N/A","N/A","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2014","N/A","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2014","N/A","N/A","N/A","0"
"Federal Reserve System","Agency Overall","2014","N/A","N/A","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2014","N/A","N/A","N/A","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","31 U.S.C. § 5319","Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Council on Am.-Islamic Relations, Cal. v. FBI, 749 F. Supp. 2d 1104, 1117 (S.D. Cal. 2010); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","N/A","N/A","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","N/A","N/A","N/A","0"
"National Capital Planning Commission","Agency Overall","2014","N/A","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","41 U.S.C. § 2313","N","Database relating to suspension and debarment","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","41 U.S.C. § 4702","N","Prohibition on release of contractor proposals","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","29 U.S.C. § 1343 (ERISA 4043)","N","Information pertaining to reportable events","3"
"Department of the Treasury","Agency Overall","2014","26 U.S.C. § 6103","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition).","Certain tax return information and certain tax convention information","2859"
"Department of the Treasury","Agency Overall","2014","31 U.S.C. § 5319","Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","323"
"Department of the Treasury","Agency Overall","2014","26 U.S.C. § 6105","Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002).","Certain tax return information and certain tax convention information","65"
"Department of the Treasury","Agency Overall","2014","18 U.S.C. § 701","Jones v. IRS, No. 06-CV-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Establishes penalties for:  manufacturing, selling, or possessing ""any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation thereof""; and photographing, printing, making, or executing ""any engraving, photograph, print, or impression in the likeness of any such badge, identification card, or other insignia, or any colorable imitation thereof""","15"
"Department of the Treasury","Agency Overall","2014","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","15"
"Department of the Treasury","Agency Overall","2014","5 U.S.C. 7114(b)(4), 7132","Dubin v. Dep't of Treasury, 555 F. Supp. 408, 412 (N.D. Ga. 1981) (5 U.S.C. 7114(b)(4)), aff'd, 697 F. 2d 1093 (11th Cir. 1983) (unpublished table decision); NTEU v. OPM, No. 76-695, slip op. at 3-4 (D.D.C. July 9, 1979) (5 U.S.C. 7114(b)(4) and 5 U.S.C. 7132).","Defining agencies' and representatives' duty to negotiate in good faith to include disclosure of certain labor relations training and guidance materials and  limiting the issuance of certain subpoenas.","1"
"Department of the Treasury","Agency Overall","2014","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","11"
"Department of the Treasury","Agency Overall","2014","21 U.S.C. § 1904(e)(3)","","Records or information obtained or created in implementing U.S.C. Title 21, Chapter 24, blocking assets of foreign narcotics traffickers.","10"
"Department of the Treasury","Agency Overall","2014","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency.","2"
"Department of the Treasury","Agency Overall","2014","50 App. U.S.C. § 2170(c)","","Information or documentary material filed with the President or the President's designee pursuant to this section.","3"
"Department of Energy","Agency Overall","2014","16 U.S.C. § 470w-3","N/A","Information about the location, character, or ownership of a historic resource","1"
"Department of Energy","Agency Overall","2014","41 U.S.C. § 2102 (amending 41 U.S.C. § 423(a)(1))* (Procurement Integrity Act)","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","5"
"Department of Energy","Agency Overall","2014","42 U.S.C. § 2162 (Atomic Energy Act)","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C. Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986)","""Restricted Data"" pertaining to atomic weapons and special nuclear material","9"
"Department of Energy","Agency Overall","2014","26 U.S.C. §§ 6103, 6105 (Internal Revenue Code)","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Leonard v. U.S. Dep't of Treasury, No. 10-6625, 2013 WL 4517912, at *2 (D.N.J. Aug. 26, 2013) (26 U.S.C. § 6103); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information, to include Taxpayer Identification Numbers of third parties, and certain tax convention information","10"
"Department of Energy","Agency Overall","2014","35 U.S.C. 181","N/A","Patent Information","2"
"Department of Energy","Agency Overall","2014","50 U.S.C. § 403-1(i)(1) (National Security Act of 1947)","CIA v. Sims, 471 U.S. 159, 167 (1985); ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. May 21, 2012); ACLU v. DOD, 628 F.3d 612, 619, 626 (D.C. Cir. 2011); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007).","Intelligence sources and methods","5"
"Department of Energy","Agency Overall","2014","41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Margolin v. NASA, No. 09-CV-00421, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","10"
"Department of Energy","Agency Overall","2014","22 U.S.C. § 2778(e) (Arms Export Control Act)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","4"
"United States International Boundary and Water Commission","Agency Overall","2014","N/A","N/A","N/A","0"
"Department of Commerce","Agency Overall","2014","50 U.S.C. app. § 2411(c) (Export Administration Act of 1979)","Wis. Project on Nuclear Arms Control v. U.S. Dep't of Commerce, 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ'g Co. v. U.S. Dep't of Commerce, 236 F.3d 1286, 1292 (11th Cir. 2001); Lessner v. U.S. Dep't of Commerce, 827 F.2d 1333, 1336-37 (9th Cir. 1987).","Information pertaining to license applications under the Export Administration Act","2"
"Department of Commerce","Agency Overall","2014","35 U.S.C. § 122 (Patent Act)","Irons & Sears v Dann, 606 F.2d 1215, 1219-21 (D.C. Cir 1979)","Applications for patents; certain information pertaining to applications for patents","9"
