"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Surface Transportation Board","Agency Overall","2014","0","2","4","4"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2014","13","0","1","1.8"
"Federal Reserve System","Agency Overall","2014","1","2","26","41"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","1","5","5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","17","0","1","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2014","1","0","2","2"
"National Labor Relations Board","Agency Overall","2014","1","5","20","16"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","1","8","9","8.22"
"Department of the Treasury","Agency Overall","2014","64","198","1","3.29"
"Peace Corps","Agency Overall","2014","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2014","148","44","N/A","3.67"
"United States International Boundary and Water Commission","Agency Overall","2014","19","4","14","24.9"
"Department of Commerce","Agency Overall","2014","113","89","5","17"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2014","0","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2014","3","1","1","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","1","0","1","1"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","7","0","15","24"
"Department of Education","Agency Overall","2014","133","119","6","20.3"
"Export-Import Bank of the U.S.","Agency Overall","2014","8","0","59","152.25"
"National Credit Union Administration","Agency Overall","2014","3","0","2","2"
"Small Business Administration","Agency Overall","2014","7","0","11","12"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2014","9","3","4.5","9.83"
"Department of Labor","Agency Overall","2014","380","697","16","68.5"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","N/A","N/A"
