"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Surface Transportation Board","Agency Overall","2014","49089.80","0.00","49089.80","1281.98","2.6100"
"Office of National Drug Control Policy","Agency Overall","2014","50000.00","0.00","50000.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2014","118500.00","0.00","118500.00","0.00","0.0000"
"Federal Reserve System","Agency Overall","2014","1945768.00","12500.00","1958268.00","11000.00","0.5700"
"Armed Forces Retirement Home","Agency Overall","2014","31030.00","0.00","31030.00","0.00","0.0000"
"Recovery Accountability and Transparency Board","Agency Overall","2014","33000.00","0.00","33000.00","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","12000.00","0.00","12000.00","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","69807.40","0.00","69807.40","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2014","750.00","0.00","750.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2014","1693434.27","160230.60","1853664.87","34645.95","2.0500"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","402370.65","0.00","402370.65","3573.00","0.8900"
"Department of the Treasury","Agency Overall","2014","19497392.28","512149.21","20009541.49","289506.27","1.4800"
"Peace Corps","Agency Overall","2014","96675.00","0.00","96675.00","0.00","0.0000"
"Department of Energy","Agency Overall","2014","10167289.60","331709.00","10498998.60","11888.86","0.1200"
"United States International Boundary and Water Commission","Agency Overall","2014","58607.43","0.00","58607.43","2005.16","3.4200"
"Department of Commerce","Agency Overall","2014","10318616.36","187032.85","10505649.21","88041.83","0.8500"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","115000.00","0.00","115000.00","993.00","0.8600"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","77036.00","0.00","77036.00","0.00","0.0000"
"United States African Development Foundation","Agency Overall","2014","5961.00","0.00","5961.00","0.00","0.0000"
"Office of Personnel Management","Agency Overall","2014","1349440.36","11670.00","1361110.36","3137.00","0.2300"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","20750.00","0.00","20750.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2014","17533.05","0.00","17533.05","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","51946.33","0.00","51946.33","2410.88","4.6400"
"Department of Education","Agency Overall","2014","4293118.64","57580.00","4350698.64","20130.38","0.4700"
"Export-Import Bank of the U.S.","Agency Overall","2014","384591.48","0.00","384591.48","1024.00","0.2700"
"National Credit Union Administration","Agency Overall","2014","188831.00","0.00","188831.00","995.00","0.5300"
"Small Business Administration","Agency Overall","2014","1636885.00","0.00","1636885.00","40748.25","2.4900"
"U.S. Railroad Retirement Board","Agency Overall","2014","57461.00","66251.90","123712.90","27.00","0.0500"
"Federal Labor Relations Authority","Agency Overall","2014","29719.00","0.00","29719.00","0.00","0.0000"
"Department of Labor","Agency Overall","2014","17909585.91","438354.00","18347939.91","184754.78","1.0300"
"Farm Credit System Insurance Corporation","Agency Overall","2014","1000.00","0.00","1000.00","100.00","10.0000"
"U.S. Agency for Global Media","Agency Overall","2014","131570.00","0.00","131570.00","1437.05","1.0900"
"Office of Management and Budget","Agency Overall","2014","215000.00","52000.00","267000.00","336.30","0.1600"
"United States Postal Service","Agency Overall","2014","2606089.00","5000.00","2611089.00","23087.00","0.8900"
"Federal Maritime Commission","Agency Overall","2014","312876.00","0.00","312876.00","767.35","0.2500"
"Farm Credit Administration","Agency Overall","2014","33014.00","0.00","33014.00","100.00","0.3000"
"Federal Energy Regulatory Commission","Agency Overall","2014","651920.00","0.00","651920.00","0.00","0.0000"
"National Endowment for the Arts","Agency Overall","2014","60000.00","0.00","60000.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2014","3571693.88","60000.00","3631693.88","15691.54","0.4400"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","71154.75","0.00","71154.75","2078.75","2.9200"
"Postal Regulatory Commission","Agency Overall","2014","10000.00","0.00","10000.00","0.00","0.0000"
"Inter-American Foundation","Agency Overall","2014","10000.00","0.00","10000.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2014","49364996.01","2332884.06","51697880.07","349206.14","0.7100"
"Federal Mediation and Conciliation Service","Agency Overall","2014","80000.00","0.00","80000.00","1696.00","2.1200"
"United States Copyright Office","Agency Overall","2014","9792.23","0.00","9792.23","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2014","340000.00","145500.00","485500.00","0.00","0.0000"
"United States International Trade Commission","Agency Overall","2014","6035.47","12087.34","18122.81","34.90","0.5800"
"Environmental Protection Agency","Agency Overall","2014","10750513.40","650707.20","11401220.60","820237.92","7.6300"
"Federal Open Market Committee","Agency Overall","2014","135102.00","0.00","135102.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2014","4731004.76","231785.00","4962789.76","22670.81","0.4800"
"Millennium Challenge Corporation","Agency Overall","2014","15000.00","0.00","15000.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2014","46048.00","0.00","46048.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2014","2540472.22","18516.26","2558988.48","12251.51","0.4800"
"Federal Trade Commission","Agency Overall","2014","535743.86","50269.20","586013.06","35061.85","6.5400"
"Department of the Interior","Agency Overall","2014","11262694.55","451974.00","11714668.55","120090.23","1.0700"
"National Science Foundation","Agency Overall","2014","240920.00","0.00","240920.00","400.64","0.1700"
"Court Services and Offender Supervision Agency","Agency Overall","2014","16633.00","0.00","16633.00","4294.75","25.8200"
"Overseas Private Investment Corporation","Agency Overall","2014","98586.00","0.00","98586.00","636.34","0.6500"
"Equal Employment Opportunity Commission","Agency Overall","2014","3042093.00","1460.00","3043553.00","37906.62","1.2500"
"Department of Agriculture","Agency Overall","2014","7402563.88","873154.49","8275718.37","53390.39","0.7200"
"National Railroad Passenger Corporation","Agency Overall","2014","138680.00","0.00","138680.00","895.25","0.6500"
"Consumer Product Safety Commission","Agency Overall","2014","948000.00","0.00","948000.00","5436.00","0.5700"
"Commodity Futures Trading Commission","Agency Overall","2014","260808.40","0.00","260808.40","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","27563.00","0.00","27563.00","0.00","0.0000"
"Department of Justice","Agency Overall","2014","58517725.74","9574416.17","68092141.91","119923.63","0.2000"
"Office of the United States Trade Representative","Agency Overall","2014","195000.00","35000.00","230000.00","71.25","0.0400"
"U.S. Agency for International Development","Agency Overall","2014","2088721.82","26800.00","2115521.82","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","57982.00","0.00","57982.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2014","16259386.28","2074925.00","18334311.28","6816.35","0.0400"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0.00","0.00","0.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2014","52500.00","0.00","52500.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2014","3026648.00","0.00","3026648.00","25892.00","0.8600"
"United States Trade and Development Agency","Agency Overall","2014","12000.00","0.00","12000.00","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2014","14133462.56","164951.90","14298414.46","8105.34","0.0600"
"National Aeronautics and Space Administration","Agency Overall","2014","1232941.71","0.00","1232941.71","11379.92","0.9200"
"Federal Election Commission","Agency Overall","2014","159767.63","153963.29","313730.92","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2014","416308.09","0.00","416308.09","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2014","94642.00","1610.16","96252.16","2683.00","2.8300"
"Merit Systems Protection Board","Agency Overall","2014","238958.00","0.00","238958.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2014","3143492.00","28930.00","3172422.00","19844.93","0.6300"
"Selective Service System","Agency Overall","2014","2325.00","0.00","2325.00","0.00","0.0000"
"Social Security Administration","Agency Overall","2014","3118759.00","52694.00","3171453.00","448158.00","14.3700"
"U.S. Commission on Civil Rights","Agency Overall","2014","35000.00","0.00","35000.00","0.00","0.0000"
"General Services Administration","Agency Overall","2014","3149800.00","11000.00","3160800.00","35837.33","1.1400"
"Office of Government Ethics","Agency Overall","2014","120760.75","0.00","120760.75","0.00","0.0000"
"Tennessee Valley Authority","Agency Overall","2014","219514.00","0.00","219514.00","4445.65","2.0300"
"Department of Defense","Agency Overall","2014","77760005.08","5321030.29","83081035.37","545414.75","0.7000"
"Office of the Director of National Intelligence","Agency Overall","2014","550000.00","169636.33","719636.33","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2014","204300.00","0.00","204300.00","4.80","0.0000"
"Consumer Financial Protection Bureau","Agency Overall","2014","579122.00","25000.00","604122.00","18199.00","3.1400"
