"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0","2","0","2"
"Federal Reserve System","Agency Overall","2014","15","1","0","0","16"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","3","0","0","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","1","1","0","0","2"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","1","1"
"National Labor Relations Board","Agency Overall","2014","12","5","2","2","21"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","6","3","0","1","10"
"Department of the Treasury","Agency Overall","2014","238","33","9","7","287"
"Peace Corps","Agency Overall","2014","2","2","1","1","6"
"Department of Energy","Agency Overall","2014","40","7","3","27","77"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0","0"
"Department of Commerce","Agency Overall","2014","37","13","7","12","69"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","9","3","3","6","21"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0","0","0","0"
"Department of Education","Agency Overall","2014","8","6","4","9","27"
"Export-Import Bank of the U.S.","Agency Overall","2014","2","0","0","0","2"
"National Credit Union Administration","Agency Overall","2014","2","0","0","0","2"
"Small Business Administration","Agency Overall","2014","9","9","4","0","22"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","1","0","1"
"Federal Labor Relations Authority","Agency Overall","2014","3","0","0","0","3"
"Department of Labor","Agency Overall","2014","9","7","73","188","277"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","96","1","0","0","97"
"Office of Management and Budget","Agency Overall","2014","6","4","1","1","12"
"United States Postal Service","Agency Overall","2014","83","10","80","17","190"
"Federal Maritime Commission","Agency Overall","2014","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2014","1","0","0","0","1"
"Federal Energy Regulatory Commission","Agency Overall","2014","13","5","0","5","23"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","33","10","9","7","59"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","1","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2014","1","0","0","0","1"
"Inter-American Foundation","Agency Overall","2014","0","1","0","0","1"
"Department of Homeland Security","Agency Overall","2014","880","853","1033","724","3490"
"Federal Mediation and Conciliation Service","Agency Overall","2014","1","0","0","0","1"
"United States Copyright Office","Agency Overall","2014","1","0","0","0","1"
"Office of Special Counsel","Agency Overall","2014","2","1","0","3","6"
"United States International Trade Commission","Agency Overall","2014","0","3","0","0","3"
"Environmental Protection Agency","Agency Overall","2014","158","1","0","26","185"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","288","21","57","66","432"
"Millennium Challenge Corporation","Agency Overall","2014","2","0","0","0","2"
"Legal Services Corporation","Agency Overall","2014","4","1","0","0","5"
"Federal Communications Commission","Agency Overall","2014","20","2","0","26","48"
"Federal Trade Commission","Agency Overall","2014","6","3","1","6","16"
"Department of the Interior","Agency Overall","2014","10","4","31","45","90"
"National Science Foundation","Agency Overall","2014","7","7","0","0","14"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","1","0","0","1"
"Overseas Private Investment Corporation","Agency Overall","2014","1","0","1","2","4"
"Equal Employment Opportunity Commission","Agency Overall","2014","183","57","55","0","295"
"Department of Agriculture","Agency Overall","2014","37","36","31","65","169"
"National Railroad Passenger Corporation","Agency Overall","2014","1","0","1","2","4"
"Consumer Product Safety Commission","Agency Overall","2014","12","2","0","0","14"
"Commodity Futures Trading Commission","Agency Overall","2014","3","2","1","0","6"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","1","4","1","4","10"
"Department of Justice","Agency Overall","2014","1910","137","320","733","3100"
"Office of the United States Trade Representative","Agency Overall","2014","0","0","0","1","1"
"U.S. Agency for International Development","Agency Overall","2014","6","10","1","1","18"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","1","0","0","1"
"U.S. Department of State","Agency Overall","2014","236","60","61","25","382"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","1","0","0","1","2"
"National Mediation Board","Agency Overall","2014","2","0","0","0","2"
"Nuclear Regulatory Commission","Agency Overall","2014","15","8","5","14","42"
"United States Trade and Development Agency","Agency Overall","2014","1","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2014","79","24","7","142","252"
"National Aeronautics and Space Administration","Agency Overall","2014","8","10","1","3","22"
"Federal Election Commission","Agency Overall","2014","2","1","0","0","3"
"Federal Housing Finance Agency","Agency Overall","2014","9","3","0","2","14"
"Office of Science and Technology Policy","Agency Overall","2014","3","1","0","0","4"
"Merit Systems Protection Board","Agency Overall","2014","2","2","2","3","9"
"Federal Deposit Insurance Corporation","Agency Overall","2014","21","2","0","2","25"
"Selective Service System","Agency Overall","2014","0","0","2","0","2"
"Social Security Administration","Agency Overall","2014","105","36","114","0","255"
"U.S. Commission on Civil Rights","Agency Overall","2014","1","0","0","0","1"
"General Services Administration","Agency Overall","2014","12","2","0","2","16"
"Office of Government Ethics","Agency Overall","2014","1","0","0","0","1"
"Tennessee Valley Authority","Agency Overall","2014","3","3","0","0","6"
"Department of Defense","Agency Overall","2014","360","132","152","317","961"
"Office of the Director of National Intelligence","Agency Overall","2014","0","1","1","8","10"
"National Indian Gaming Commission","Agency Overall","2014","1","0","0","0","1"
"Consumer Financial Protection Bureau","Agency Overall","2014","9","6","2","8","25"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","1","0","0","0","1"
"Department of Transportation","Agency Overall","2014","26","37","41","16","120"
"Central Intelligence Agency","Agency Overall","2014","167","55","8","94","324"
"Council on Environmental Quality","Agency Overall","2014","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2014","44","12","7","4","67"
"National Transportation Safety Board","Agency Overall","2014","1","3","1","7","12"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","1","0","0","1"
"Department of Health and Human Services","Agency Overall","2014","86","34","7","119","246"
"All agencies","Agency Overall","2014","5359","1700","2143","2755","11957"
