"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2014","0","2","0","2"
"Federal Reserve System","Agency Overall","2014","31","14","37","16"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","1","0","1","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","3","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","1","2","1","2"
"National Capital Planning Commission","Agency Overall","2014","0","1","0","1"
"National Labor Relations Board","Agency Overall","2014","27","21","26","21"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","5","10","3","10"
"Department of the Treasury","Agency Overall","2014","359","294","346","287"
"Peace Corps","Agency Overall","2014","9","4","6","6"
"Department of Energy","Agency Overall","2014","77","79","80","77"
"United States International Boundary and Water Commission","Agency Overall","2014","0","0","0","0"
"Department of Commerce","Agency Overall","2014","76","69","76","69"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","1","0","1","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","41","17","39","21"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","1","0","1","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","1","0","0"
"Department of Education","Agency Overall","2014","43","58","20","27"
"Export-Import Bank of the U.S.","Agency Overall","2014","3","2","2","2"
"National Credit Union Administration","Agency Overall","2014","5","3","5","2"
"Small Business Administration","Agency Overall","2014","13","21","12","22"
"U.S. Railroad Retirement Board","Agency Overall","2014","2","1","2","1"
"Federal Labor Relations Authority","Agency Overall","2014","4","2","3","3"
"Department of Labor","Agency Overall","2014","464","400","393","277"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","3","96","2","97"
"Office of Management and Budget","Agency Overall","2014","9","10","4","12"
"United States Postal Service","Agency Overall","2014","131","209","132","190"
"Federal Maritime Commission","Agency Overall","2014","","","",""
"Farm Credit Administration","Agency Overall","2014","1","1","1","1"
"Federal Energy Regulatory Commission","Agency Overall","2014","13","21","11","23"
"National Endowment for the Arts","Agency Overall","2014","1","0","1","0"
"Department of Housing and Urban Development","Agency Overall","2014","46","67","47","59"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","1","1","1"
"Postal Regulatory Commission","Agency Overall","2014","0","1","0","1"
"Inter-American Foundation","Agency Overall","2014","0","1","0","1"
"Department of Homeland Security","Agency Overall","2014","2905","3634","3046","3490"
"Federal Mediation and Conciliation Service","Agency Overall","2014","2","0","1","1"
"United States Copyright Office","Agency Overall","2014","1","0","1","1"
"Office of Special Counsel","Agency Overall","2014","9","5","8","6"
"United States International Trade Commission","Agency Overall","2014","0","3","0","3"
"Environmental Protection Agency","Agency Overall","2014","283","226","184","185"
