"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Surface Transportation Board","Agency Overall","2014","2","34","36","0"
"Office of National Drug Control Policy","Agency Overall","2014","6","62","61","7"
"National Endowment for the Humanities","Agency Overall","2014","1","49","47","3"
"Federal Reserve System","Agency Overall","2014","37","812","815","34"
"Armed Forces Retirement Home","Agency Overall","2014","0","13","13","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","22","21","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","1","64","54","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","3","32","33","2"
"National Capital Planning Commission","Agency Overall","2014","0","14","14","0"
"National Labor Relations Board","Agency Overall","2014","101","4470","4426","145"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","75","2094","2083","86"
"Department of the Treasury","Agency Overall","2014","1402","14107","13990","1519"
"Peace Corps","Agency Overall","2014","36","291","194","133"
"Department of Energy","Agency Overall","2014","577","2219","2274","522"
"United States International Boundary and Water Commission","Agency Overall","2014","2","34","33","3"
"Department of Commerce","Agency Overall","2014","366","1896","1776","486"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","5","152","156","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","163","163","0"
"United States African Development Foundation","Agency Overall","2014","0","14","14","0"
"Office of Personnel Management","Agency Overall","2014","838","8302","8463","677"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","16","16","0"
"Institute of Museum and Library Services","Agency Overall","2014","2","51","51","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","3","30","31","2"
"Department of Education","Agency Overall","2014","304","2234","2147","391"
"Export-Import Bank of the U.S.","Agency Overall","2014","38","60","60","38"
"National Credit Union Administration","Agency Overall","2014","2","108","108","2"
"Small Business Administration","Agency Overall","2014","30","1306","1312","24"
"U.S. Railroad Retirement Board","Agency Overall","2014","3","155","149","9"
"Federal Labor Relations Authority","Agency Overall","2014","3","105","106","2"
"Department of Labor","Agency Overall","2014","1796","16106","16715","1187"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","11","11","0"
"U.S. Agency for Global Media","Agency Overall","2014","17","138","145","10"
"Office of Management and Budget","Agency Overall","2014","61","152","180","33"
"United States Postal Service","Agency Overall","2014","196","2547","2489","254"
"Federal Maritime Commission","Agency Overall","2014","18","41","43","16"
"Farm Credit Administration","Agency Overall","2014","1","43","44","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","15","117","109","23"
"National Endowment for the Arts","Agency Overall","2014","6","71","73","4"
"Department of Housing and Urban Development","Agency Overall","2014","266","2367","2224","409"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","6","68","66","8"
"Postal Regulatory Commission","Agency Overall","2014","0","31","31","0"
"Inter-American Foundation","Agency Overall","2014","0","8","8","0"
"Department of Homeland Security","Agency Overall","2014","67097","291242","238031","120308"
"Federal Mediation and Conciliation Service","Agency Overall","2014","2","141","137","6"
"United States Copyright Office","Agency Overall","2014","3","43","43","3"
"Office of Special Counsel","Agency Overall","2014","132","168","91","209"
"United States International Trade Commission","Agency Overall","2014","1","39","39","1"
"Environmental Protection Agency","Agency Overall","2014","2168","10470","10130","2508"
"Federal Open Market Committee","Agency Overall","2014","8","29","29","8"
"Securities and Exchange Commission","Agency Overall","2014","490","14862","14757","595"
"Millennium Challenge Corporation","Agency Overall","2014","4","33","14","23"
"Legal Services Corporation","Agency Overall","2014","0","54","54","0"
"Federal Communications Commission","Agency Overall","2014","61","679","673","67"
"Federal Trade Commission","Agency Overall","2014","11","1440","1425","26"
"Department of the Interior","Agency Overall","2014","897","5764","5647","1014"
"National Science Foundation","Agency Overall","2014","148","338","306","180"
"Court Services and Offender Supervision Agency","Agency Overall","2014","104","724","770","58"
"Overseas Private Investment Corporation","Agency Overall","2014","2","49","46","5"
"Equal Employment Opportunity Commission","Agency Overall","2014","1261","17213","17314","1160"
"Department of Agriculture","Agency Overall","2014","2849","19864","19243","3470"
"National Railroad Passenger Corporation","Agency Overall","2014","25","200","200","25"
"Consumer Product Safety Commission","Agency Overall","2014","247","1240","1249","238"
"Commodity Futures Trading Commission","Agency Overall","2014","20","164","151","33"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","10","38","42","6"
"Department of Justice","Agency Overall","2014","11448","64488","63026","12910"
"Office of the United States Trade Representative","Agency Overall","2014","28","66","71","23"
"U.S. Agency for International Development","Agency Overall","2014","237","373","315","295"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","1","33","32","2"
"U.S. Department of State","Agency Overall","2014","9372","19696","18094","10974"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","7","6","1"
"National Mediation Board","Agency Overall","2014","0","38","38","0"
"Nuclear Regulatory Commission","Agency Overall","2014","97","508","485","120"
"United States Trade and Development Agency","Agency Overall","2014","2","32","24","10"
"Department of Veterans Affairs","Agency Overall","2014","2416","28009","27982","2443"
"National Aeronautics and Space Administration","Agency Overall","2014","54","792","790","56"
"Federal Election Commission","Agency Overall","2014","22","98","87","33"
"Federal Housing Finance Agency","Agency Overall","2014","25","160","171","14"
"Office of Science and Technology Policy","Agency Overall","2014","1","93","89","5"
"Merit Systems Protection Board","Agency Overall","2014","12","221","212","21"
"Federal Deposit Insurance Corporation","Agency Overall","2014","24","647","656","15"
"Selective Service System","Agency Overall","2014","0","49","49","0"
"Social Security Administration","Agency Overall","2014","294","26899","24689","2504"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","44","43","1"
"General Services Administration","Agency Overall","2014","160","1522","1508","174"
"Office of Government Ethics","Agency Overall","2014","5","28","30","3"
"Tennessee Valley Authority","Agency Overall","2014","26","165","175","16"
"Department of Defense","Agency Overall","2014","9938","61055","59321","11672"
"Office of the Director of National Intelligence","Agency Overall","2014","155","467","394","228"
"National Indian Gaming Commission","Agency Overall","2014","33","52","75","10"
"Consumer Financial Protection Bureau","Agency Overall","2014","11","288","282","17"
"Administrative Conference of the United States","Agency Overall","2014","0","17","17","0"
"American Battle Monuments Commission","Agency Overall","2014","1","9","10","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","3","61","62","2"
"Department of Transportation","Agency Overall","2014","1737","12012","11213","2536"
