"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Securities and Exchange Commission","Agency Overall","2017","551","4","21","8","199","199","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2017","1","2","2","6","112","163.57","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2017","14","44","90","0","N/A","N/A","3","13","30"
"Federal Mediation and Conciliation Service","Agency Overall","2017","22","21","21","0","N/A","N/A","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2017","400","64","184.81","1496","299","444.57","1","165","165"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","1","40","40","4","167","166","1","117","117"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2017","14","7.5","14","47","17","32","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2017","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2017","104","38","44.32","154","48","61.64","31","55","61.29"
"Inter-American Foundation","Agency Overall","2017","0","N/A","N/A","1","89","89","0","N/A","N/A"
"National Science Foundation","Agency Overall","2017","29","55","106","249","245","340","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","5","15","43","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2017","126","47","74","699","72","114","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2017","2","11","11","0","N/A","N/A","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","N/A","N/A","28","321","270.18","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2017","1907","409","492.51","11384","546","652.37","156","262","346.21"
"Department of the Treasury","Agency Overall","2017","284","28","85","1401","70","208","23","11","37"
"Consumer Financial Protection Bureau","Agency Overall","2017","11","5","8","3","59","81","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","N/A","N/A","2","43","43","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2017","50","9","9","0","N/A","N/A","0","N/A","N/A"
"Department of Labor","Agency Overall","2017","25","48","204","1288","28","73.3","9","195","99"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","7","1","2","59","7","7.1","0","N/A","N/A"
