"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Securities and Exchange Commission","Agency Overall","2017","489","38","57","21","605"
"Institute of Museum and Library Services","Agency Overall","2017","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2017","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","0","0","0","2"
"Central Intelligence Agency","Agency Overall","2017","72","20","3","123","218"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","0","0","2","2","4"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","9","2","7","7","25"
"Legal Services Corporation","Agency Overall","2017","0","0","0","0","0"
"Selective Service System","Agency Overall","2017","1","0","0","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","14","4","8","5","31"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","2","0","0","0","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","1","0","0","0","1"
"Department of Education","Agency Overall","2017","17","13","7","13","50"
"Millennium Challenge Corporation","Agency Overall","2017","1","0","0","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","243","99","11","23","376"
"Department of the Treasury","Agency Overall","2017","139","13","4","15","171"
"Consumer Financial Protection Bureau","Agency Overall","2017","22","11","18","8","59"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","1","0","0","1","2"
"Office of Management and Budget","Agency Overall","2017","2","2","0","0","4"
"Department of Labor","Agency Overall","2017","20","12","88","186","306"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","7","3","0","8","18"
"National Mediation Board","Agency Overall","2017","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","9","1","2","3","15"
"National Archives and Records Administration","Agency Overall","2017","32","6","14","8","60"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","2","1","0","0","3"
"Federal Trade Commission","Agency Overall","2017","17","2","5","1","25"
"Office of Personnel Management","Agency Overall","2017","4","8","9","10","31"
"National Endowment for the Arts","Agency Overall","2017","0","0","0","0","0"
"United States Postal Service","Agency Overall","2017","30","20","41","23","114"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","2","5","2","0","9"
"National Credit Union Administration","Agency Overall","2017","2","3","0","0","5"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","1","1","1","0","3"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","14","1","4","2","21"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","1","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2017","97","38","47","139","321"
"Department of Transportation","Agency Overall","2017","32","20","24","24","100"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","7","0","0","19","26"
"Tennessee Valley Authority","Agency Overall","2017","0","1","9","0","10"
"U.S. Agency for Global Media","Agency Overall","2017","3","0","0","0","3"
"Environmental Protection Agency","Agency Overall","2017","54","35","34","81","204"
"Nuclear Regulatory Commission","Agency Overall","2017","158","5","3","39","205"
"Administrative Conference of the United States","Agency Overall","2017","0","0","0","0","0"
"Department of the Interior","Agency Overall","2017","7","2","60","52","121"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","4","1","0","0","5"
"Office of Special Counsel","Agency Overall","2017","8","1","4","2","15"
"United States Copyright Office","Agency Overall","2017","1","0","0","0","1"
"National Labor Relations Board","Agency Overall","2017","4","3","3","2","12"
"Department of Health and Human Services","Agency Overall","2017","16","11","8","206","241"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","33","4","3","21","61"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","4","0","0","1","5"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","0","1","0","0","1"
"United States International Trade Commission","Agency Overall","2017","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","2","0","0","2"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2017","3","3","8","6","20"
"Department of Defense","Agency Overall","2017","470","144","158","495","1267"
"Federal Energy Regulatory Commission","Agency Overall","2017","2","4","1","2","9"
"Department of Agriculture","Agency Overall","2017","36","85","19","143","283"
"Social Security Administration","Agency Overall","2017","103","36","91","8","238"
"Federal Reserve System","Agency Overall","2017","13","0","1","0","14"
"Commission of Fine Arts","Agency Overall","2017","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","1","0","0","0","1"
"Council on Environmental Quality","Agency Overall","2017","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2017","1","1","0","0","2"
"Surface Transportation Board","Agency Overall","2017","0","0","0","1","1"
"Department of Veterans Affairs","Agency Overall","2017","125","32","52","280","489"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","0","0","0","36","36"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","0","0","1","1"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","6","1","2","0","9"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","1","0","1"
"Department of Commerce","Agency Overall","2017","55","14","20","16","105"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0","1","0","1"
"Department of Justice","Agency Overall","2017","1877","208","417","768","3270"
"National Indian Gaming Commission","Agency Overall","2017","2","0","0","0","2"
"Office of the United States Trade Representative","Agency Overall","2017","3","0","0","0","3"
"National Council on Disability","Agency Overall","2017","0","0","0","0","0"
