"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Office of Management and Budget","Agency Overall","2017","39","122","1","888","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2017","13","25","1","2535","14","26.9","1","2489","10","25.8","1","616"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","4","5.72","<1","26","15","19.08","<1","249","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2017","2","2.4","<1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2017","6","9.3","3","20","140","140.3","137","144","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2017","9","11.96","<1","69","31","36.84","9","139","23","23.93","5","65"
"National Archives and Records Administration","Agency Overall","2017","21","233.62","<1","1215","789","1086.65","<1","5820","22.5","22.5","<1","44"
"Farm Credit System Insurance Corporation","Agency Overall","2017","19","13.8","1","20","N/A","N/A","N/A","N/A","3","3","3","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","2","11","<1","57","40","40","29","49","10","10","2","18"
"Federal Trade Commission","Agency Overall","2017","2","6.2","<1","88","21","46.2","<1","402","20","21","16","27"
"Office of Personnel Management","Agency Overall","2017","1","2.3","1","848","20","27.5","1","810","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2017","12","13","2","22","20","20","18","26","<1","<1","<1","<1"
"United States Postal Service","Agency Overall","2017","14","16.08","1","181","23","57.56","1","1182","7","7.75","1","16"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","10","10","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2017","20","14.9","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2017","12","14.67","12","20","167","334.53","3","1314","466","539.29","381","744"
"National Credit Union Administration","Agency Overall","2017","2","4.23","<1","20","30","38.16","2","131","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","58","59","11","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","8","6","1","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2017","5","13.42","<1","335","70","70","70","70","1","1.4","<1","2"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","28","28","28","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2017","36.11","37.47","<1","246","24","46.64","<1","170","21","18.33","3","31"
"Department of Transportation","Agency Overall","2017","16","45.16","<1","973","35","107.64","<1","1131","18","147","1","997"
"United States Trade and Development Agency","Agency Overall","2017","N/A","N/A","N/A","N/A","74","208","5","875","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2017","19","20.37","1","268","54","77","18","283","19","24.28","1","91"
"Tennessee Valley Authority","Agency Overall","2017","6","7.1","1","20","35","62.3","21","322","18","32","6","91"
"U.S. Agency for Global Media","Agency Overall","2017","N/A","N/A","N/A","N/A","73","81.74","8","277","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2017","11","18.13","<1","510","60","160.55","<1","2217","26","99.36","<1","801"
"Nuclear Regulatory Commission","Agency Overall","2017","11","20.99","<1","179","52","80.42","4","245","297","297","297","297"
"Administrative Conference of the United States","Agency Overall","2017","1","1.2","<1","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2017","3","7","<1","91","20","52","<1","1339","39","51","<1","428"
"U.S. Election Assistance Commission","Agency Overall","2017","45.5","50.3","2","112","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2017","15","5","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2017","5","5","2","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","12.5","18.5","3","71","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2017","109","90.71","<1","262","588","647.61","6","1476","337.5","341.43","<1","1021"
"United States Copyright Office","Agency Overall","2017","11","14.4","4","37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2017","22","34.37","<1","361","N/A","N/A","0","0","2.5","7.64","<1","53"
"Department of Health and Human Services","Agency Overall","2017","16","24.08","<1","1064","40","104.46","<1","1674","50","90.41","2","1214"
"United States Institute of Peace","Agency Overall","2017","13","13","13","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2017","18.5","32.14","<1","669","35","81.074","<1","863","5","16.5","<1","63"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","2","2","2","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2017","15","33.16","1","658","315","327.5","82","779","60","60","60","60"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","26","19.75","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2017","10.5","15.7","<1","79","146","201.3","30","519","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2017","18","15","4","27","27","27","27","27","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2017","16","13.63","1","21","20","39.17","17","113","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","17","15","1","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","17","16","1","39","98","108","49","216","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2017","14","74.85","<1","619","146","259.16","9","705","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2017","14.22","19.63","<1","1486","111.56","166.81","<1","3678","19.63","31.53","<1","1169"
"Federal Energy Regulatory Commission","Agency Overall","2017","30","41","13","198","30","48","17","120","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2017","1","8.4","<1","1285","29","92.01","<1","1894","18.5","23","1","149"
"Social Security Administration","Agency Overall","2017","6","8","1","120","82","106","8","632","54","54","54","54"
"Federal Reserve System","Agency Overall","2017","4","8","1","140","47","80","1","461","38","38","38","38"
"Commission of Fine Arts","Agency Overall","2017","8","8","6","10","30","30","30","30","1","1","1","1"
"Export-Import Bank of the U.S.","Agency Overall","2017","5.5","11.38","<1","96","141.5","171.03","25","480","34","34","34","34"
"Council on Environmental Quality","Agency Overall","2017","42","88","8","551","92","167","5","619","70","70","70","70"
"American Battle Monuments Commission","Agency Overall","2017","7","7","7","7","32","26.1","8","46","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2017","8","8.47","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2017","9","36","<1","1265","43","77","<1","633","13","57","<1","347"
"Federal Financial Institutions Examination Council","Agency Overall","2017","7","7","3","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2017","4","17.48","<1","732","166","323.55","5","1279","644","644","260","1028"
"Court Services and Offender Supervision Agency","Agency Overall","2017","19","21.86","<1","92","69.5","69.5","36","103","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2017","6","7.6","2","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2017","3","7","<1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2017","11.5","13.6","3","37","50","103.6","11","448","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2017","970","337.75","2","1069","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2017","14","16.21","<1","123","68","133.51","<1","1051","49","116.13","<1","882"
"United States International Boundary and Water Commission","Agency Overall","2017","15","24","1","80","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2017","24","31.77","<1","763","89","162.88","<1","1625","107","167.99","2","1481"
"National Indian Gaming Commission","Agency Overall","2017","81","122.02","1","503","259","291.11","60","656","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2017","19","23","1","86","116","169","21","523","6","6","1","12"
"National Council on Disability","Agency Overall","2017","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2017","10","10","4","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2017","30.83","40.64","<1","1211","121.25","119.01","<1","1586","25.67","48.3","<1","396"
"Federal Housing Finance Agency","Agency Overall","2017","9","14.86","<1","154","69","150.73","32","984","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2017","6","26","1","404","39","60","1","543","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2017","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2017","6","6.4","4","9","26.5","34.2","8","77","10","10","10","10"
"National Railroad Passenger Corporation","Agency Overall","2017","9.5","21.08","1","154","55","120.5","1","922","52","203.67","49","510"
"Social Security Advisory Board","Agency Overall","2017","5","5","5","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2017","14","10.75","4","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2017","32","60.67","<1","752","73","202.7","1","2296","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2017","18.5","13.14","1","22","N/A","N/A","N/A","N/A","3","3","3","3"
"Postal Regulatory Commission","Agency Overall","2017","18","15","4","29","N/A","N/A","N/A","N/A","8","8","8","8"
"Office of Science and Technology Policy","Agency Overall","2017","7.5","27.13","1","138","262.5","268.67","5","541","168","126.67","33","179"
"Office of Government Ethics","Agency Overall","2017","19","21","1","128","N/A","N/A","N/A","N/A","14","17.6","1","67"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","1","1.66","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2017","74","199.87","1","676","518","537.5","2","1076","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2017","57","76","<1","767","250","300","45","973","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2017","6","8.06","<1","22","N/A","N/A","N/A","N/A","5","6","1","16"
