"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Securities and Exchange Commission","Agency Overall","2017","2016-06-15","325","2016-05-04","354","2015-09-08","509","2015-07-15","556","2015-03-30","631","2015-02-11","663","2015-02-06","666","2015-01-26","675","2014-02-04","918","2014-01-28","923"
"Institute of Museum and Library Services","Agency Overall","2017","N/A","0","N/A","0","2017-09-27","2","2017-09-21","6","2017-08-21","28","2017-08-05","87","2017-04-24","112","2016-11-14","223","2016-09-26","255","2016-02-19","411"
"Office of National Drug Control Policy","Agency Overall","2017","2017-09-12","14","2017-08-07","39","2017-07-21","50","2017-07-18","53","2017-07-17","54","2017-06-28","66","2017-01-26","173","2016-12-14","201","2016-10-17","241","2016-03-23","385"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2017-05-16","193","2017-04-21","210","2017-04-09","219","2017-04-06","221","2017-03-13","239","2017-02-28","248","2017-01-23","273","2017-01-13","278","2016-11-01","327","2016-10-14","339"
"Central Intelligence Agency","Agency Overall","2017","2009-01-28","2179","2009-01-28","2179","2009-01-07","2193","2008-12-23","2202","2008-07-09","2317","2008-05-19","2352","2008-04-01","2376","2007-12-27","2451","2007-11-15","2479","2007-02-16","2667"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","2017-08-04","40","2017-05-24","90","2017-05-04","104","2017-04-17","117","2016-11-01","230","2016-10-20","238"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2017","2017-07-31","43","2017-07-19","51","2017-07-17","53","2017-06-28","65","2017-06-21","70","2017-06-20","71","2017-03-24","132","2017-03-22","134","2017-02-16","157","2017-01-27","171"
"Legal Services Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2017","2017-02-07","164","2017-02-01","168","2017-01-26","172","2017-01-19","177","2017-01-13","180","2017-01-04","187","2016-12-24","192","2016-12-03","207","2016-12-03","207","2016-10-14","241"
"Inter-American Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-05-25","89"
"National Science Foundation","Agency Overall","2017","2013-09-13","1018","2013-09-12","1019","2013-09-11","1020","2013-09-09","1022","2013-08-20","1035","2013-08-12","1041","2013-06-10","1085","2013-05-06","1109","2013-04-30","1113","2013-04-26","1115"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-26","4","2017-09-26","4","2017-09-11","15","2017-09-05","18","2017-01-24","174"
