"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Securities and Exchange Commission","Agency Overall","2017","152","665573"
"Institute of Museum and Library Services","Agency Overall","2017","13","524"
"Office of National Drug Control Policy","Agency Overall","2017","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","11240"
"Central Intelligence Agency","Agency Overall","2017","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","7","70"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","2"
"National Aeronautics and Space Administration","Agency Overall","2017","3475","1500"
"Legal Services Corporation","Agency Overall","2017","1282","4930"
"Selective Service System","Agency Overall","2017","21","54"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","731"
"General Services Administration","Agency Overall","2017","111","3609"
"Inter-American Foundation","Agency Overall","2017","2","102"
"National Science Foundation","Agency Overall","2017","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","10","284"
"Department of Education","Agency Overall","2017","2","3963"
"Millennium Challenge Corporation","Agency Overall","2017","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0"
"U.S. Department of State","Agency Overall","2017","0","37656"
"Department of the Treasury","Agency Overall","2017","42","3359"
"Consumer Financial Protection Bureau","Agency Overall","2017","6","323"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","400"
"Office of Management and Budget","Agency Overall","2017","0","225"
"Department of Labor","Agency Overall","2017","28","58"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","582","0"
"National Mediation Board","Agency Overall","2017","6","4296"
"Federal Open Market Committee","Agency Overall","2017","74","28"
"Federal Deposit Insurance Corporation","Agency Overall","2017","4","725"
"National Archives and Records Administration","Agency Overall","2017","1383","26509836"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","2","0"
"Federal Trade Commission","Agency Overall","2017","23159","107"
"Office of Personnel Management","Agency Overall","2017","0","307"
"National Endowment for the Arts","Agency Overall","2017","39","208"
"United States Postal Service","Agency Overall","2017","148","6161"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0"
"United States African Development Foundation","Agency Overall","2017","0","30"
"U.S. Agency for International Development","Agency Overall","2017","14","331"
"National Credit Union Administration","Agency Overall","2017","7","167"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","2","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0"
"Small Business Administration","Agency Overall","2017","4","231"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","14","16"
"Equal Employment Opportunity Commission","Agency Overall","2017","11","4189"
"Department of Transportation","Agency Overall","2017","90654","13077"
"United States Trade and Development Agency","Agency Overall","2017","0","0"
"Federal Communications Commission","Agency Overall","2017","69520","11376066"
"Tennessee Valley Authority","Agency Overall","2017","0","0"
"U.S. Agency for Global Media","Agency Overall","2017","0","0"
"Environmental Protection Agency","Agency Overall","2017","0","1021"
"Nuclear Regulatory Commission","Agency Overall","2017","411","241"
"Administrative Conference of the United States","Agency Overall","2017","12","528"
"Department of the Interior","Agency Overall","2017","772","61117"
"U.S. Election Assistance Commission","Agency Overall","2017","0","8"
"Armed Forces Retirement Home","Agency Overall","2017","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","29"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","5","0"
"Office of Special Counsel","Agency Overall","2017","0","0"
"United States Copyright Office","Agency Overall","2017","0","0"
"National Labor Relations Board","Agency Overall","2017","55","988"
"Department of Health and Human Services","Agency Overall","2017","889","19346"
"United States Institute of Peace","Agency Overall","2017","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","0","0"
