"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Securities and Exchange Commission","Agency Overall","2017","11148","1315","283","131","76","41","25","2","16","4","10","3","1","13055"
"Institute of Museum and Library Services","Agency Overall","2017","19","7","2","0","0","0","0","0","0","0","0","0","0","28"
"Office of National Drug Control Policy","Agency Overall","2017","45","3","0","0","0","0","0","0","1","2","0","0","0","51"
"Federal Mediation and Conciliation Service","Agency Overall","2017","26","9","8","2","0","0","0","0","2","0","1","0","0","48"
"Central Intelligence Agency","Agency Overall","2017","672","247","32","16","5","3","7","2","0","1","14","9","10","1018"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","14","8","1","0","2","0","0","0","0","0","0","0","0","25"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"National Aeronautics and Space Administration","Agency Overall","2017","394","14","0","0","0","0","0","0","0","0","0","0","0","408"
"Legal Services Corporation","Agency Overall","2017","38","4","1","0","0","0","0","0","0","0","0","0","0","43"
"Selective Service System","Agency Overall","2017","46","0","0","0","0","0","0","0","0","0","0","0","0","46"
"U.S. Commission on Civil Rights","Agency Overall","2017","19","2","0","0","0","0","0","0","0","0","0","0","0","21"
"National Capital Planning Commission","Agency Overall","2017","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"General Services Administration","Agency Overall","2017","609","1","0","0","0","0","0","0","0","0","0","0","0","610"
"Inter-American Foundation","Agency Overall","2017","11","0","0","0","0","0","0","0","0","0","0","0","0","11"
"National Science Foundation","Agency Overall","2017","36","6","2","1","0","1","0","0","0","0","1","1","2","50"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","17","5","0","0","0","0","0","0","0","0","0","0","0","22"
"Department of Education","Agency Overall","2017","1139","55","4","3","1","3","3","3","2","2","5","1","2","1223"
"Millennium Challenge Corporation","Agency Overall","2017","32","5","0","0","0","0","0","0","0","0","0","0","0","37"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","176","174","150","128","124","124","116","119","120","129","513","231","990","3094"
"Department of the Treasury","Agency Overall","2017","2228","318","54","36","21","8","10","10","3","6","19","7","6","2726"
