"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Securities and Exchange Commission","Agency Overall","2017","12","0","1","0","1","0","0","1","0","2","4"
"Institute of Museum and Library Services","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2017","0","0","0","0","0","0","0","0","120","0","3"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","1","0","1","0","0","4","0","1","0","0","0"
"Legal Services Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","10","5","3","0","1","0","1","1","0","0","0"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2017","1","0","6","0","0","0","0","0","2","0","4"
"Millennium Challenge Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","23","1","8","0","0","3","0","1","2","0","8"
