"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Securities and Exchange Commission","Agency Overall","2017","15 U.S.C. § 80b-4","N/A","Reports by Investment Adviser","1"
"Securities and Exchange Commission","Agency Overall","2017","15 U.S.C. § 78x(d)","N/A","Foreign Securities Authorities","2"
"Securities and Exchange Commission","Agency Overall","2017","15 U.S.C. § 78u-6","N/A","Information that could identify a whistleblower","33"
"Securities and Exchange Commission","Agency Overall","2017","42 U.S.C. § 247d-6b(d)","N/A","Information identifying the location of materials in the stockpile under subsecion (a) of this section","11"
"Securities and Exchange Commission","Agency Overall","2017","5 U.S.C. app. 3 § 7(b)","N/A","Names of employees who provide information or complaints to the Inspector General","5"
"Securities and Exchange Commission","Agency Overall","2017","15 U.S.C. § 77f (e)(2)","N/A","Certain information contained in or filed with a securities registration statement","3"
"Institute of Museum and Library Services","Agency Overall","2017","N/A","N/A","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2017","N/A","N/A","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","N/A","0","0"
"Central Intelligence Agency","Agency Overall","2017","50 U.S.C. § 403g (currently at 50 U.S.C. § 3507) (Central Intelligence Agency Act of 1949)","ACLU v. DOJ, 681 F.3d 61, 72-75 (2d Cir. 2012); Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","1127"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","N/A","N/A","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","N/A","N/A","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2017","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09=4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","8"
"National Aeronautics and Space Administration","Agency Overall","2017","22 U.S.C. § 2778(e) (Arms Export Control Act)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998).","Certain information pertaining to export license applications","10"
