"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Securities and Exchange Commission","Agency Overall","2017","565","13063","13069","559"
"Institute of Museum and Library Services","Agency Overall","2017","3","40","36","7"
"Office of National Drug Control Policy","Agency Overall","2017","6","62","51","17"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","80","56","26"
"Central Intelligence Agency","Agency Overall","2017","1469","2572","1988","2053"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","8","38","40","6"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","1","6","7","0"
"National Aeronautics and Space Administration","Agency Overall","2017","45","1062","1016","91"
"Legal Services Corporation","Agency Overall","2017","3","44","47","0"
"Selective Service System","Agency Overall","2017","0","46","46","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","1","32","33","0"
"National Capital Planning Commission","Agency Overall","2017","0","12","12","0"
"General Services Administration","Agency Overall","2017","125","1352","1181","296"
"Inter-American Foundation","Agency Overall","2017","0","12","11","1"
"National Science Foundation","Agency Overall","2017","231","325","278","278"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","31","26","5"
"Department of Education","Agency Overall","2017","507","2915","2574","848"
"Millennium Challenge Corporation","Agency Overall","2017","1","39","38","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","15","38","25","28"
"U.S. Department of State","Agency Overall","2017","27852","7688","21736","13804"
"Department of the Treasury","Agency Overall","2017","1653","12434","12379","1708"
"Consumer Financial Protection Bureau","Agency Overall","2017","31","538","555","14"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","101","98","3"
"Office of Management and Budget","Agency Overall","2017","66","463","248","281"
"Department of Labor","Agency Overall","2017","1612","15813","15946","1479"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","81","1639","1651","69"
"National Mediation Board","Agency Overall","2017","0","20","20","0"
"Federal Open Market Committee","Agency Overall","2017","1","22","22","1"
"Federal Deposit Insurance Corporation","Agency Overall","2017","22","440","442","20"
"National Archives and Records Administration","Agency Overall","2017","4157","60337","61208","3286"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","10","10","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","3","53","54","2"
"Federal Trade Commission","Agency Overall","2017","30","1518","1492","56"
"Office of Personnel Management","Agency Overall","2017","150","10029","9966","213"
"National Endowment for the Arts","Agency Overall","2017","0","91","81","10"
"United States Postal Service","Agency Overall","2017","200","3102","3140","162"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","2","2","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","1","1","0"
"United States African Development Foundation","Agency Overall","2017","0","14","12","2"
"U.S. Agency for International Development","Agency Overall","2017","347","326","331","342"
"National Credit Union Administration","Agency Overall","2017","3","100","96","7"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","3","42","34","11"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","3","3","0"
"Small Business Administration","Agency Overall","2017","94","1430","1500","24"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","2","5","4","3"
"Equal Employment Opportunity Commission","Agency Overall","2017","2277","19002","17560","3719"
"Department of Transportation","Agency Overall","2017","4877","15164","14539","5502"
"United States Trade and Development Agency","Agency Overall","2017","16","30","20","26"
"Federal Communications Commission","Agency Overall","2017","50","902","867","85"
"Tennessee Valley Authority","Agency Overall","2017","18","199","201","16"
"U.S. Agency for Global Media","Agency Overall","2017","15","62","72","5"
"Environmental Protection Agency","Agency Overall","2017","2079","11518","10802","2795"
"Nuclear Regulatory Commission","Agency Overall","2017","67","701","687","81"
"Administrative Conference of the United States","Agency Overall","2017","0","16","16","0"
"Department of the Interior","Agency Overall","2017","1046","8005","6733","2318"
"U.S. Election Assistance Commission","Agency Overall","2017","3","34","22","15"
"Armed Forces Retirement Home","Agency Overall","2017","0","7","7","0"
"Appraisal Subcommittee","Agency Overall","2017","0","5","5","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","1","35","27","9"
"Office of Special Counsel","Agency Overall","2017","200","179","156","223"
"United States Copyright Office","Agency Overall","2017","1","43","35","9"
"National Labor Relations Board","Agency Overall","2017","294","2218","2105","407"
"Department of Health and Human Services","Agency Overall","2017","5766","34978","34547","6197"
"United States Institute of Peace","Agency Overall","2017","0","1","1","0"
"Department of Housing and Urban Development","Agency Overall","2017","505","2296","1890","911"
