"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Securities and Exchange Commission","Agency Overall","2017","4562","732","736","5939","119","398","71","71","81","59","120","181","13069"
"Institute of Museum and Library Services","Agency Overall","2017","21","7","0","6","0","1","0","0","0","0","0","1","36"
"Office of National Drug Control Policy","Agency Overall","2017","10","19","0","22","0","0","0","0","0","0","0","0","51"
"Federal Mediation and Conciliation Service","Agency Overall","2017","18","12","1","20","1","1","0","0","0","3","0","0","56"
"Central Intelligence Agency","Agency Overall","2017","156","273","859","73","44","9","12","73","258","9","115","107","1988"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","1","14","10","12","0","1","0","2","0","0","0","0","40"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","2","2","0","3","0","0","0","0","0","0","0","0","7"
"National Aeronautics and Space Administration","Agency Overall","2017","138","159","38","73","38","60","51","157","111","58","55","78","1016"
"Legal Services Corporation","Agency Overall","2017","19","16","0","6","1","0","0","0","0","0","0","5","47"
"Selective Service System","Agency Overall","2017","45","0","0","1","0","0","0","0","0","0","0","0","46"
"U.S. Commission on Civil Rights","Agency Overall","2017","17","1","1","1","0","3","0","1","0","9","0","0","33"
"National Capital Planning Commission","Agency Overall","2017","6","0","0","6","0","0","0","0","0","0","0","0","12"
"General Services Administration","Agency Overall","2017","217","511","45","232","3","87","26","28","6","10","16","0","1181"
"Inter-American Foundation","Agency Overall","2017","6","0","0","5","0","0","0","0","0","0","0","0","11"
"National Science Foundation","Agency Overall","2017","29","161","9","40","0","36","0","1","1","1","0","0","278"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","5","8","1","6","2","1","0","2","0","1","0","0","26"
"Department of Education","Agency Overall","2017","474","1359","150","251","3","149","13","18","0","109","44","4","2574"
"Millennium Challenge Corporation","Agency Overall","2017","12","11","4","8","0","2","0","1","0","0","0","0","38"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","4","0","0","21","0","0","0","0","0","0","0","0","25"
"U.S. Department of State","Agency Overall","2017","2745","5302","5714","2239","578","492","38","2598","1238","719","73","0","21736"
"Department of the Treasury","Agency Overall","2017","3809","2849","404","1192","192","613","172","159","2384","217","362","26","12379"
"Consumer Financial Protection Bureau","Agency Overall","2017","133","236","51","76","3","18","4","1","3","29","1","0","555"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","65","12","0","9","0","4","0","1","5","2","0","0","98"
"Office of Management and Budget","Agency Overall","2017","32","51","6","159","0","0","0","0","0","0","0","0","248"
"Department of Labor","Agency Overall","2017","1537","6728","1658","3717","400","545","151","66","177","385","582","0","15946"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","898","456","56","139","0","25","0","4","35","0","38","0","1651"
"National Mediation Board","Agency Overall","2017","7","0","0","13","0","0","0","0","0","0","0","0","20"
"Federal Open Market Committee","Agency Overall","2017","11","0","0","2","2","1","0","2","3","1","0","0","22"
"Federal Deposit Insurance Corporation","Agency Overall","2017","69","82","28","28","2","36","19","33","55","84","6","0","442"
"National Archives and Records Administration","Agency Overall","2017","1164","1648","17","57585","13","163","9","38","117","20","72","362","61208"
"Farm Credit System Insurance Corporation","Agency Overall","2017","4","1","2","3","0","0","0","0","0","0","0","0","10"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","15","24","0","7","0","6","0","0","0","2","0","0","54"
"Federal Trade Commission","Agency Overall","2017","373","578","85","262","3","38","26","48","14","4","37","24","1492"
"Office of Personnel Management","Agency Overall","2017","7166","2493","90","119","3","27","14","14","12","11","5","12","9966"
"National Endowment for the Arts","Agency Overall","2017","17","34","4","26","0","0","0","0","0","0","0","0","81"
"United States Postal Service","Agency Overall","2017","460","497","619","387","383","312","57","89","152","145","34","5","3140"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","2","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States African Development Foundation","Agency Overall","2017","5","2","0","5","0","0","0","0","0","0","0","0","12"
"U.S. Agency for International Development","Agency Overall","2017","51","109","5","55","3","75","1","8","2","13","2","7","331"
"National Credit Union Administration","Agency Overall","2017","46","27","6","13","0","4","0","0","0","0","0","0","96"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","5","12","3","9","0","4","0","0","0","0","1","0","34"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","2","0","0","0","0","0","0","0","0","1","0","0","3"
"Small Business Administration","Agency Overall","2017","888","181","13","192","1","85","10","19","9","30","70","2","1500"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","1","2","0","1","0","0","0","0","0","0","0","0","4"
"Equal Employment Opportunity Commission","Agency Overall","2017","509","12353","1596","1320","141","330","31","17","676","15","572","0","17560"
"Department of Transportation","Agency Overall","2017","7730","2808","173","2033","12","1458","65","34","71","36","82","37","14539"
"United States Trade and Development Agency","Agency Overall","2017","4","12","0","4","0","0","0","0","0","0","0","0","20"
"Federal Communications Commission","Agency Overall","2017","167","412","33","116","0","55","24","25","1","17","14","3","867"
"Tennessee Valley Authority","Agency Overall","2017","67","104","5","21","0","2","2","0","0","0","0","0","201"
"U.S. Agency for Global Media","Agency Overall","2017","18","27","3","15","0","1","1","5","1","0","0","1","72"
"Environmental Protection Agency","Agency Overall","2017","5083","781","77","2740","10","1038","42","507","131","19","353","21","10802"
"Nuclear Regulatory Commission","Agency Overall","2017","195","187","37","127","1","25","30","37","14","14","20","0","687"
"Administrative Conference of the United States","Agency Overall","2017","5","2","0","9","0","0","0","0","0","0","0","0","16"
"Department of the Interior","Agency Overall","2017","2482","1694","240","1091","57","262","143","117","85","22","112","428","6733"
"U.S. Election Assistance Commission","Agency Overall","2017","8","12","0","1","0","1","0","0","0","0","0","0","22"
