"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Securities and Exchange Commission","Agency Overall","2017","0","0","2","3","56","27","363","0","33","0","1","0","1","0"
"Institute of Museum and Library Services","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2017","84","2","84","0","3","7","0","0","0","1","1","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","0","0","0","4","3","4","3","0","3","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","0","0","2","7","10","10","0","0","1","0","0","2","0","0"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2017","0","0","2","3","5","8","7","0","6","0","1","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2017","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","41","7","177","2","30","54","4","0","18","2","6","0","0","0"
"Department of the Treasury","Agency Overall","2017","1","1","44","2","30","36","27","0","31","3","24","1","2","0"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","0","0","5","13","8","1","0","0","3","6","0","7","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2017","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2017","0","0","0","5","3","2","10","0","16","6","0","1","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","0","0","0","2","2","1","1","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2017","11","0","9","0","2","1","0","0","0","2","1","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
