"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Securities and Exchange Commission","Agency Overall","2017","2017-06-21","70","2017-05-23","90","2017-05-08","101","2017-05-08","101","2017-05-02","105","2017-03-07","145","2017-01-27","171","2017-01-13","180","2017-01-12","181","2016-12-15","199"
"Institute of Museum and Library Services","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-06-16","16","2017-04-10","19"
"Central Intelligence Agency","Agency Overall","2017","2011-06-07","1587","2010-08-02","1755","2010-04-23","1868","2010-04-06","1881","2010-01-26","1930","2009-09-22","2014","2009-07-28","2053","2008-11-14","2228","2008-10-16","2255","2007-04-16","2627"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-27","2","2017-09-25","4","2017-09-25","4","2017-09-12","13","2017-09-06","17","2017-09-01","19"
"Legal Services Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2017","N/A","0","N/A","0","2017-09-28","1","2017-09-26","3","2017-09-19","8","2017-08-09","36","2017-08-07","38","2017-07-26","46","2017-07-06","60","2017-05-09","100"
"Inter-American Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2017","2015-12-01","461","2015-10-27","484","2015-08-26","526","2015-03-13","642","2014-11-28","712","2014-06-13","827","2014-03-27","882","2014-03-07","896","2012-11-19","1220","2012-07-10","1311"
"Millennium Challenge Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2017","2011-12-20","1451","2011-12-20","1451","2011-12-19","1452","2011-12-11","1457","2011-11-11","1476","2011-11-08","1479","2011-11-08","1479","2011-11-01","1484","2011-10-03","1504","2011-08-16","1537"
"Department of the Treasury","Agency Overall","2017","2011-07-27","1553","2011-07-26","1554","2011-07-20","1558","2011-07-15","1561","2011-06-21","1578","2011-04-06","1631","2011-02-02","1675","2010-11-30","1719","2010-09-06","1780","2010-07-19","1815"
"Consumer Financial Protection Bureau","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-06","17","2017-09-05","18"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2017","N/A","0","N/A","0","N/A","0","2017-09-28","1","2017-09-28","1","2017-08-23","26","2017-07-28","44","2017-05-01","106","2017-04-07","122","2015-05-13","538"
"Department of Labor","Agency Overall","2017","2013-09-09","1019","2013-09-09","1019","2012-08-09","1290","2012-06-15","1328","2011-12-06","1461","2011-12-06","1461","2011-12-06","1461","2011-12-06","1461","2011-12-06","1461","2011-11-21","1471"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-27","2"
"National Mediation Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2017","2014-08-26","811","2014-08-24","812","2014-08-15","818","2014-08-15","818","2014-05-22","877","2014-04-24","897","2014-03-14","926","2013-09-11","1051","2013-07-12","1093","2012-12-26","1254"
"Farm Credit System Insurance Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-27","2","2017-09-22","5","2017-09-19","8","2017-09-11","14"
"Office of Personnel Management","Agency Overall","2017","2016-05-30","342","2016-04-19","365","2016-03-18","387","2016-03-18","387","2016-02-26","402","2016-02-19","407","2016-02-10","413","2016-02-01","420","2016-02-01","420","2016-02-01","420"
"National Endowment for the Arts","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2017","2017-09-06","17","2017-09-05","18","2017-09-01","19","2017-08-29","22","2017-08-28","23","2017-08-25","24","2017-08-24","25","2017-08-22","27","2017-08-18","29","2017-08-09","36"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States African Development Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-29","0","2017-07-21","49"
"National Credit Union Administration","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2017","N/A","0","N/A","0","2017-09-29","0","2017-09-28","1","2017-09-21","6","2017-09-12","13","2017-08-16","31","2017-08-04","39","2017-07-03","62","2017-06-22","69"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","2017-09-11","14","2017-09-06","17","2017-08-29","22","2017-08-25","24","2017-08-24","25","2017-08-21","28","2017-08-21","28","2017-08-18","29","2017-07-06","60","2017-05-30","86"
"Department of Transportation","Agency Overall","2017","2015-11-19","468","2015-10-13","494","2015-09-28","504","2015-09-21","509","2015-09-18","510","2015-09-18","510","2015-07-29","546","2015-07-17","554","2015-07-17","554","2014-08-11","788"
"United States Trade and Development Agency","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2017","2017-09-19","8","2017-08-23","26","2017-08-23","26","2017-07-26","46","2017-04-04","125","2017-01-24","174","2016-12-14","200","2016-06-23","319","2016-03-18","387","2015-07-08","561"
"Tennessee Valley Authority","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-15","11"
"U.S. Agency for Global Media","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-08-23","28"
"Environmental Protection Agency","Agency Overall","2017","2012-11-28","1214","2012-11-21","1218","2012-09-26","1256","2012-09-14","1264","2012-08-14","1286","2012-07-30","1297","2012-07-12","1309","2012-04-10","1374","2012-02-22","1408","2010-04-07","1878"
"Nuclear Regulatory Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-08","15","2017-09-08","15","2017-05-26","87","2017-04-19","114","2016-11-01","227"
"Administrative Conference of the United States","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2017","2012-06-07","1336","2012-06-04","1339","2012-05-07","1358","2012-04-30","1363","2012-01-19","1434","2011-11-14","1478","2011-11-07","1482","2011-11-01","1482","2011-10-26","1490","2011-08-05","1546"
"U.S. Election Assistance Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-08-22","27"
"United States Copyright Office","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-03-08","144"
"Department of Health and Human Services","Agency Overall","2017","2013-06-04","1073","2013-05-28","1078","2013-05-01","1096","2013-04-03","1116","2012-12-12","1192","2012-04-23","1353","2012-04-17","1370","2011-12-09","1445","2011-06-21","1576","2011-04-28","1613"
"United States Institute of Peace","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2017","2017-09-21","6","2017-09-18","9","2017-09-18","9","2017-09-11","14","2017-06-06","81","2017-05-30","86","2016-10-20","237","2016-07-13","306","2016-02-02","419","2013-08-15","1022"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2017","2007-11-30","2468","2007-10-19","2496","2007-09-25","2513","2007-08-29","2531","2007-08-08","2546","2007-08-08","2558","2007-07-23","2585","2007-06-13","2585","2007-05-23","2599","2007-05-16","2604"
"Federal Energy Regulatory Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-08-21","28"
"Department of Agriculture","Agency Overall","2017","2011-07-08","1561","2011-05-16","1598","2011-04-29","1609","2011-03-22","1637","2011-03-17","1640","2010-12-16","1701","2010-05-05","1856","2009-12-19","1949","2009-08-20","2032","2007-01-16","2686"
"Social Security Administration","Agency Overall","2017","2017-09-15","11","2017-09-05","19","2017-08-24","26","2017-08-08","38","2017-08-08","38","2017-04-17","117","2017-04-13","119","2017-01-27","172","2016-12-01","210","2016-01-27","424"
"Federal Reserve System","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-08","16"
"Commission of Fine Arts","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-21","9","2017-09-21","9"
"American Battle Monuments Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2017","2016-03-10","393","2016-03-09","399","2016-02-08","427","2015-11-03","486","2015-11-03","488","2015-10-27","505","2015-08-03","565","2015-06-03","610","2015-04-09","650","2014-12-15","805"
"Federal Financial Institutions Examination Council","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","2017-04-03","240","2017-04-03","240","2017-04-03","240","2017-04-03","240","2017-04-03","240","2017-04-03","240"
"Office of the Director of National Intelligence","Agency Overall","2017","2015-10-07","498","2015-05-13","600","2014-10-27","736","2014-10-15","744","2014-09-25","757","2014-01-29","924","2014-01-07","939","2013-11-26","966","2013-03-20","1140","2012-11-13","1226"
"Court Services and Offender Supervision Agency","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-12","13","2014-03-26","882","2014-02-20","906","2013-11-27","962","2012-02-28","1403"
"U.S. Railroad Retirement Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2017","2015-01-07","687","2014-11-26","713","2014-08-15","783","2014-02-12","912","2013-09-16","1013","2013-05-02","1107","2013-04-26","1111","2013-01-28","1174","2012-11-02","1230","2010-03-22","1890"
"United States International Boundary and Water Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2017","2017-07-10","58","2017-07-10","58","2017-07-10","58","2017-07-10","58","2017-07-10","58","2017-07-10","58","2017-07-07","59","2017-07-06","60","2017-07-06","60","2017-07-05","61"
"National Indian Gaming Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Council on Disability","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2017","2015-12-15","452","2015-12-03","460","2015-12-03","460","2015-11-16","472","2015-09-03","521","2015-01-23","677","2014-06-06","834","2014-06-05","835","2013-10-28","986","2013-09-09","1020"
"Federal Housing Finance Agency","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-20","7"
"Consumer Product Safety Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-09-29","0","2017-09-18","15","2017-08-18","30"
"Denali Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","2017-08-02","42","2017-03-28","131","2016-06-15","326","2015-09-25","506","2015-07-20","554","2013-11-12","976"
"Social Security Advisory Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Marine Mammal Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2017","2017-05-24","90","2016-06-20","322","2015-04-20","617","2015-04-15","620","2014-12-08","708","2014-10-07","743","2013-11-15","974","2013-10-16","995","2013-10-10","999","2012-07-03","1319"
"Farm Credit Administration","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2017","N/A","0","N/A","0","N/A","0","2017-06-29","64","2016-12-27","192","2016-12-22","194","2016-10-26","233","2016-09-19","259","2016-05-03","355","2014-11-05","728"
"Peace Corps","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2017","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
