"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Securities and Exchange Commission","Agency Overall","2017","4","387","2","3.7","376"
"Institute of Museum and Library Services","Agency Overall","2017","1","0","9","9","1"
"Office of National Drug Control Policy","Agency Overall","2017","3","3","12","12","1"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","0","7","7","2"
"Central Intelligence Agency","Agency Overall","2017","3","19","1","1","19"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","2","0","3","3","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","2","43","1","6.16","36"
"Legal Services Corporation","Agency Overall","2017","4","0","12.5","13.25","2"
"Selective Service System","Agency Overall","2017","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","75","165","1","2.03","236"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","0","2","16","16","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","2","0","1.5","1.5","2"
"Department of Education","Agency Overall","2017","2","26","16.5","25.54","9"
"Millennium Challenge Corporation","Agency Overall","2017","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","117","534","3","10.31","606"
"Department of the Treasury","Agency Overall","2017","42","371","1","3","395"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","13","1","1","13"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","3","1","1","2","4"
"Office of Management and Budget","Agency Overall","2017","0","0","0","0","0"
"Department of Labor","Agency Overall","2017","81","353","17","80.8","170"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","33","2","4.3","30"
"National Mediation Board","Agency Overall","2017","0","2","3","3","2"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","24","10","4.5","6.03","26"
"National Archives and Records Administration","Agency Overall","2017","32","274","10","7.5","303"
"Farm Credit System Insurance Corporation","Agency Overall","2017","1","0","3","3","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","2","1","1","1","3"
"Federal Trade Commission","Agency Overall","2017","5","35","7","5.5","37"
"Office of Personnel Management","Agency Overall","2017","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2017","0","1","6","6","1"
"United States Postal Service","Agency Overall","2017","6","71","1","1.55","74"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","1","27","1","3.32","27"
"National Credit Union Administration","Agency Overall","2017","2","0","5.5","5.5","2"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0","0"
"Small Business Administration","Agency Overall","2017","7","23","1","8.5","22"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","1","0","16","16","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","2","7","1","1","9"
"Department of Transportation","Agency Overall","2017","18","277","1","8.06","272"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","122","54","6","6.47","151"
"Tennessee Valley Authority","Agency Overall","2017","3","3","5","6","6"
"U.S. Agency for Global Media","Agency Overall","2017","1","1","10","10","1"
"Environmental Protection Agency","Agency Overall","2017","174","347","1","7.16","419"
"Nuclear Regulatory Commission","Agency Overall","2017","0","15","0","2.33","13"
"Administrative Conference of the United States","Agency Overall","2017","0","0","0","0","0"
"Department of the Interior","Agency Overall","2017","73","75","1","5","137"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","0","1","16","16","0"
"Office of Special Counsel","Agency Overall","2017","22","13","5","31.23","23"
"United States Copyright Office","Agency Overall","2017","1","2","0","0","0"
"National Labor Relations Board","Agency Overall","2017","46","45","1","2.46","85"
"Department of Health and Human Services","Agency Overall","2017","87","743","5","6.39","767"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","16","80","2","6.78","92"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","3","5","2","8","6"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","1","0","1","1","1"
"United States International Trade Commission","Agency Overall","2017","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","5","1","1.2","5"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","3","11","11","1"
"Merit Systems Protection Board","Agency Overall","2017","1","25","1","4.92","23"
"Department of Defense","Agency Overall","2017","368","1041","2.69","3.69","1270"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","11","9","8","11"
"Department of Agriculture","Agency Overall","2017","27","429","1","11.65","393"
"Social Security Administration","Agency Overall","2017","5","71","1","3.55","68"
"Federal Reserve System","Agency Overall","2017","2","8","6","7","7"
"Commission of Fine Arts","Agency Overall","2017","1","0","1","1","1"
"Export-Import Bank of the U.S.","Agency Overall","2017","2","11","1","0.15","13"
"Council on Environmental Quality","Agency Overall","2017","0","6","14","11","2"
"American Battle Monuments Commission","Agency Overall","2017","1","0","9","9","1"
"Surface Transportation Board","Agency Overall","2017","0","1","7","7","1"
"Department of Veterans Affairs","Agency Overall","2017","67","33","3","28","64"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","1","6","6","1"
"Office of the Director of National Intelligence","Agency Overall","2017","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2017","1","2","10","15","2"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","0","0","0"
"Department of Commerce","Agency Overall","2017","42","143","1","9.94","143"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0","0","0","0"
"Department of Justice","Agency Overall","2017","472","1948","2","8.33","2034"
