"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Securities and Exchange Commission","Agency Overall","2017","14475","13063","15199","13069"
"Institute of Museum and Library Services","Agency Overall","2017","40","40","40","36"
"Office of National Drug Control Policy","Agency Overall","2017","41","62","38","51"
"Federal Mediation and Conciliation Service","Agency Overall","2017","58","80","62","56"
"Central Intelligence Agency","Agency Overall","2017","2547","2572","2208","1988"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","28","38","22","40"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","1","6","1","7"
"National Aeronautics and Space Administration","Agency Overall","2017","836","1062","847","1016"
"Legal Services Corporation","Agency Overall","2017","48","44","51","47"
"Selective Service System","Agency Overall","2017","14","46","14","46"
"U.S. Commission on Civil Rights","Agency Overall","2017","40","32","39","33"
"National Capital Planning Commission","Agency Overall","2017","21","12","21","12"
"General Services Administration","Agency Overall","2017","957","1352","967","1181"
"Inter-American Foundation","Agency Overall","2017","10","12","10","11"
"National Science Foundation","Agency Overall","2017","348","325","304","278"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","18","31","21","26"
"Department of Education","Agency Overall","2017","2444","2915","2307","2574"
"Millennium Challenge Corporation","Agency Overall","2017","30","39","29","38"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","28","38","19","25"
"U.S. Department of State","Agency Overall","2017","27961","7688","15482","21736"
"Department of the Treasury","Agency Overall","2017","12373","12434","12171","12379"
"Consumer Financial Protection Bureau","Agency Overall","2017","442","538","427","555"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","132","101","133","98"
"Office of Management and Budget","Agency Overall","2017","154","463","151","248"
"Department of Labor","Agency Overall","2017","16470","15813","16620","15946"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","3713","1639","3779","1651"
"National Mediation Board","Agency Overall","2017","25","20","26","20"
"Federal Open Market Committee","Agency Overall","2017","43","22","43","22"
"Federal Deposit Insurance Corporation","Agency Overall","2017","465","440","481","442"
"National Archives and Records Administration","Agency Overall","2017","49966","60337","50205","61208"
"Farm Credit System Insurance Corporation","Agency Overall","2017","6","10","6","10"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","49","53","53","54"
"Federal Trade Commission","Agency Overall","2017","1260","1518","1258","1492"
"Office of Personnel Management","Agency Overall","2017","10189","10029","11104","9966"
"National Endowment for the Arts","Agency Overall","2017","57","91","58","81"
"United States Postal Service","Agency Overall","2017","2717","3102","2736","3140"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","1","2","1","2"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","9","1","9","1"
"United States African Development Foundation","Agency Overall","2017","4","14","4","12"
"U.S. Agency for International Development","Agency Overall","2017","376","326","354","331"
"National Credit Union Administration","Agency Overall","2017","66","100","68","96"
