"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Securities and Exchange Commission","Agency Overall","2017","653","624","667","605"
"Institute of Museum and Library Services","Agency Overall","2017","1","0","1","0"
"Office of National Drug Control Policy","Agency Overall","2017","1","0","1","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","2","0","2"
"Central Intelligence Agency","Agency Overall","2017","146","220","156","218"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","2","4","2","4"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","20","27","21","25"
"Legal Services Corporation","Agency Overall","2017","1","0","1","0"
"Selective Service System","Agency Overall","2017","0","1","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0"
"General Services Administration","Agency Overall","2017","25","37","24","31"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0"
"National Science Foundation","Agency Overall","2017","4","2","4","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","2","1","2","1"
"Department of Education","Agency Overall","2017","96","65","128","50"
"Millennium Challenge Corporation","Agency Overall","2017","0","1","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","148","270","42","376"
"Department of the Treasury","Agency Overall","2017","258","182","271","171"
"Consumer Financial Protection Bureau","Agency Overall","2017","56","61","58","59"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","2","0","2"
"Office of Management and Budget","Agency Overall","2017","3","7","4","4"
"Department of Labor","Agency Overall","2017","332","228","337","306"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","21","17","22","18"
"National Mediation Board","Agency Overall","2017","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","8","14","7","15"
"National Archives and Records Administration","Agency Overall","2017","98","75","45","60"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","3","1","3"
"Federal Trade Commission","Agency Overall","2017","26","28","27","25"
"Office of Personnel Management","Agency Overall","2017","74","38","37","31"
"National Endowment for the Arts","Agency Overall","2017","1","0","1","0"
"United States Postal Service","Agency Overall","2017","213","127","230","114"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","1","0","1","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","17","5","17","9"
"National Credit Union Administration","Agency Overall","2017","0","5","0","5"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","3","3","3","3"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0"
"Small Business Administration","Agency Overall","2017","47","28","51","21"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","1","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2017","272","328","266","321"
"Department of Transportation","Agency Overall","2017","146","141","107","100"
"United States Trade and Development Agency","Agency Overall","2017","0","0","0","0"
"Federal Communications Commission","Agency Overall","2017","31","21","29","26"
"Tennessee Valley Authority","Agency Overall","2017","9","11","9","10"
"U.S. Agency for Global Media","Agency Overall","2017","2","4","2","3"
"Environmental Protection Agency","Agency Overall","2017","193","224","250","204"
"Nuclear Regulatory Commission","Agency Overall","2017","176","194","166","205"
"Administrative Conference of the United States","Agency Overall","2017","0","0","0","0"
"Department of the Interior","Agency Overall","2017","195","204","94","121"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","1","0","1","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","2","5","2","5"
"Office of Special Counsel","Agency Overall","2017","9","12","12","15"
"United States Copyright Office","Agency Overall","2017","0","1","0","1"
"National Labor Relations Board","Agency Overall","2017","26","11","27","12"
"Department of Health and Human Services","Agency Overall","2017","262","216","332","241"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","81","56","77","61"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","6","5","6","5"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","4","1","4","1"
"United States International Trade Commission","Agency Overall","2017","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","2","0","2"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","4","0","3","0"
"Merit Systems Protection Board","Agency Overall","2017","11","16","7","20"
"Department of Defense","Agency Overall","2017","1043","1171","805","1267"
"Federal Energy Regulatory Commission","Agency Overall","2017","6","10","7","9"
"Department of Agriculture","Agency Overall","2017","325","349","192","283"
"Social Security Administration","Agency Overall","2017","325","211","323","238"
"Federal Reserve System","Agency Overall","2017","16","13","15","14"
"Commission of Fine Arts","Agency Overall","2017","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","18","2","18","2"
"Council on Environmental Quality","Agency Overall","2017","1","2","1","0"
"American Battle Monuments Commission","Agency Overall","2017","0","2","0","2"
"Surface Transportation Board","Agency Overall","2017","1","1","1","1"
"Department of Veterans Affairs","Agency Overall","2017","424","393","481","489"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","6","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","26","49","33","36"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","1","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0"
"United States Access Board","Agency Overall","2017","1","0","1","0"
"Federal Election Commission","Agency Overall","2017","5","8","3","9"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","1","0","1"
"Department of Commerce","Agency Overall","2017","111","98","122","105"
"United States International Boundary and Water Commission","Agency Overall","2017","0","1","0","1"
"Department of Justice","Agency Overall","2017","3342","3192","3460","3270"
"National Indian Gaming Commission","Agency Overall","2017","4","1","4","2"
"Office of the United States Trade Representative","Agency Overall","2017","5","3","6","3"
"National Council on Disability","Agency Overall","2017","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","5608","5386","5691","5346"
"Federal Housing Finance Agency","Agency Overall","2017","15","7","16","6"
