"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Securities and Exchange Commission","Agency Overall","2017","94","73"
"Institute of Museum and Library Services","Agency Overall","2017","3","5"
"Office of National Drug Control Policy","Agency Overall","2017","2","9"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","22"
"Central Intelligence Agency","Agency Overall","2017","1256","1757"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","8","6"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","1","0"
"National Aeronautics and Space Administration","Agency Overall","2017","6","11"
"Legal Services Corporation","Agency Overall","2017","0","0"
"Selective Service System","Agency Overall","2017","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","1","0"
"National Capital Planning Commission","Agency Overall","2017","0","0"
"General Services Administration","Agency Overall","2017","44","190"
"Inter-American Foundation","Agency Overall","2017","0","1"
"National Science Foundation","Agency Overall","2017","211","263"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","1"
"Department of Education","Agency Overall","2017","381","618"
"Millennium Challenge Corporation","Agency Overall","2017","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","15","27"
"U.S. Department of State","Agency Overall","2017","22664","13021"
"Department of the Treasury","Agency Overall","2017","893","1094"
"Consumer Financial Protection Bureau","Agency Overall","2017","2","3"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","2"
"Office of Management and Budget","Agency Overall","2017","60","231"
"Department of Labor","Agency Overall","2017","685","594"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0"
"National Mediation Board","Agency Overall","2017","0","0"
"Federal Open Market Committee","Agency Overall","2017","1","1"
"Federal Deposit Insurance Corporation","Agency Overall","2017","4","1"
"National Archives and Records Administration","Agency Overall","2017","2932","2061"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","0","1"
"Federal Trade Commission","Agency Overall","2017","12","8"
"Office of Personnel Management","Agency Overall","2017","129","181"
"National Endowment for the Arts","Agency Overall","2017","0","1"
"United States Postal Service","Agency Overall","2017","64","39"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0"
"U.S. Agency for International Development","Agency Overall","2017","321","326"
"National Credit Union Administration","Agency Overall","2017","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","2","5"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0"
"Small Business Administration","Agency Overall","2017","21","13"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","2","3"
"Equal Employment Opportunity Commission","Agency Overall","2017","792","2259"
"Department of Transportation","Agency Overall","2017","3593","3847"
"United States Trade and Development Agency","Agency Overall","2017","16","25"
"Federal Communications Commission","Agency Overall","2017","9","15"
"Tennessee Valley Authority","Agency Overall","2017","13","6"
"U.S. Agency for Global Media","Agency Overall","2017","12","2"
"Environmental Protection Agency","Agency Overall","2017","1284","1891"
"Nuclear Regulatory Commission","Agency Overall","2017","20","60"
"Administrative Conference of the United States","Agency Overall","2017","0","0"
"Department of the Interior","Agency Overall","2017","665","1626"
"U.S. Election Assistance Commission","Agency Overall","2017","3","15"
"Armed Forces Retirement Home","Agency Overall","2017","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","0","9"
"Office of Special Counsel","Agency Overall","2017","175","205"
"United States Copyright Office","Agency Overall","2017","1","5"
"National Labor Relations Board","Agency Overall","2017","121","295"
"Department of Health and Human Services","Agency Overall","2017","4519","4545"
"United States Institute of Peace","Agency Overall","2017","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","326","527"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0"
