"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Securities and Exchange Commission","Agency Overall","2017","92","373","1","1.53"
"Institute of Museum and Library Services","Agency Overall","2017","0","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2017","0","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2017","5","2","1","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2017","0","13","5","6.38"
"Legal Services Corporation","Agency Overall","2017","3","0","20","27.33"
"Selective Service System","Agency Overall","2017","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2017","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2017","33","111","1","1.57"
"Inter-American Foundation","Agency Overall","2017","0","0","N/A","N/A"
"National Science Foundation","Agency Overall","2017","3","4","2","172"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","2","0","1.5","1.5"
"Department of Education","Agency Overall","2017","317","81","19","25.93"
"Millennium Challenge Corporation","Agency Overall","2017","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2017","790","276","2","3.53"
"Department of the Treasury","Agency Overall","2017","232","522","1","4"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","1","1","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","1","4","4"
"Office of Management and Budget","Agency Overall","2017","0","0","N/A","N/A"
"Department of Labor","Agency Overall","2017","467","673","15","63.3"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","3","27","2","4.57"
"National Mediation Board","Agency Overall","2017","2","0","3","3"
"Federal Open Market Committee","Agency Overall","2017","2","0","4.5","4.5"
"Federal Deposit Insurance Corporation","Agency Overall","2017","5","3","3.5","5.5"
"National Archives and Records Administration","Agency Overall","2017","43","586","10","9.33"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","1","11","11"
"Federal Trade Commission","Agency Overall","2017","1","4","18","13"
"Office of Personnel Management","Agency Overall","2017","12","1","1","1"
"National Endowment for the Arts","Agency Overall","2017","0","0","N/A","N/A"
"United States Postal Service","Agency Overall","2017","7","37","1","2.98"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2017","1","0","15","15"
"U.S. Agency for International Development","Agency Overall","2017","39","8","2","3.4"
"National Credit Union Administration","Agency Overall","2017","2","0","3","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","N/A","N/A"
"Small Business Administration","Agency Overall","2017","36","32","8","12.94"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","5","0","5","5"
"Equal Employment Opportunity Commission","Agency Overall","2017","153","90","1","1.36"
"Department of Transportation","Agency Overall","2017","54","95","1","20.8"
"United States Trade and Development Agency","Agency Overall","2017","20","0","60","173"
"Federal Communications Commission","Agency Overall","2017","5","10","9","11.73"
"Tennessee Valley Authority","Agency Overall","2017","0","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2017","0","2","16.5","16.5"
"Environmental Protection Agency","Agency Overall","2017","600","447","6","9.85"
"Nuclear Regulatory Commission","Agency Overall","2017","11","125","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2017","0","0","N/A","N/A"
"Department of the Interior","Agency Overall","2017","548","58","N/A","45"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2017","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","0","0","N/A","N/A"
