"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Securities and Exchange Commission","Agency Overall","2017","0","12","12","0"
"Institute of Museum and Library Services","Agency Overall","2017","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2017","0","5","4","1"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","1","1","0"
"Central Intelligence Agency","Agency Overall","2017","652","764","819","597"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","0","3","3","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","0","13","12","1"
"Legal Services Corporation","Agency Overall","2017","0","0","0","0"
"Selective Service System","Agency Overall","2017","0","15","15","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0"
"General Services Administration","Agency Overall","2017","0","9","9","0"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0"
"National Science Foundation","Agency Overall","2017","0","2","2","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","1","1","0"
"Department of Education","Agency Overall","2017","0","4","3","1"
"Millennium Challenge Corporation","Agency Overall","2017","0","2","2","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0","0","0"
"U.S. Department of State","Agency Overall","2017","286","200","175","311"
"Department of the Treasury","Agency Overall","2017","25","198","206","17"
"Consumer Financial Protection Bureau","Agency Overall","2017","0","2","2","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","0","0","0"
"Office of Management and Budget","Agency Overall","2017","5","85","63","27"
"Department of Labor","Agency Overall","2017","9","60","67","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0","0","0"
"National Mediation Board","Agency Overall","2017","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2017","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","0","3","0","3"
"National Archives and Records Administration","Agency Overall","2017","1","21","22","0"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","0","2","2","0"
"Federal Trade Commission","Agency Overall","2017","0","3","3","0"
"Office of Personnel Management","Agency Overall","2017","2","6","8","0"
"National Endowment for the Arts","Agency Overall","2017","0","0","0","0"
"United States Postal Service","Agency Overall","2017","0","27","25","2"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","1","1","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2017","5","40","42","3"
"National Credit Union Administration","Agency Overall","2017","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0","0","0"
"Small Business Administration","Agency Overall","2017","0","4","4","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","0","1","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","0","0","0","0"
"Department of Transportation","Agency Overall","2017","4","21","20","5"
"United States Trade and Development Agency","Agency Overall","2017","0","2","2","0"
"Federal Communications Commission","Agency Overall","2017","0","4","4","0"
"Tennessee Valley Authority","Agency Overall","2017","0","3","3","0"
"U.S. Agency for Global Media","Agency Overall","2017","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2017","3","19","19","3"
"Nuclear Regulatory Commission","Agency Overall","2017","0","5","5","0"
"Administrative Conference of the United States","Agency Overall","2017","0","1","1","0"
"Department of the Interior","Agency Overall","2017","3","99","102","0"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","0","0","0","0"
"Office of Special Counsel","Agency Overall","2017","5","5","7","3"
"United States Copyright Office","Agency Overall","2017","0","0","0","0"
"National Labor Relations Board","Agency Overall","2017","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2017","16","97","83","30"
"United States Institute of Peace","Agency Overall","2017","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","0","4","4","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","0","2","2","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","0","3","3","0"
"United States International Trade Commission","Agency Overall","2017","0","1","1","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","1","1","0"
"Merit Systems Protection Board","Agency Overall","2017","0","0","0","0"
"Department of Defense","Agency Overall","2017","1551","2102","2268","1385"
"Federal Energy Regulatory Commission","Agency Overall","2017","0","4","3","1"
"Department of Agriculture","Agency Overall","2017","17","102","108","11"
"Social Security Administration","Agency Overall","2017","3","6","9","0"
"Federal Reserve System","Agency Overall","2017","0","2","2","0"
"Commission of Fine Arts","Agency Overall","2017","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2017","2","5","6","1"
"American Battle Monuments Commission","Agency Overall","2017","0","0","0","0"
"Surface Transportation Board","Agency Overall","2017","0","1","1","0"
"Department of Veterans Affairs","Agency Overall","2017","1","15","13","3"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2017","17","89","89","17"
"Court Services and Offender Supervision Agency","Agency Overall","2017","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0","0","0"
"United States Access Board","Agency Overall","2017","0","1","1","0"
"Federal Election Commission","Agency Overall","2017","0","2","2","0"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","0","0","0"
"Department of Commerce","Agency Overall","2017","22","48","46","24"
"United States International Boundary and Water Commission","Agency Overall","2017","0","1","1","0"
"Department of Justice","Agency Overall","2017","144","946","868","222"
"National Indian Gaming Commission","Agency Overall","2017","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2017","1","3","4","0"
"National Council on Disability","Agency Overall","2017","0","0","0","0"
"Presidio Trust","Agency Overall","2017","0","0","0","0"
"Department of Homeland Security","Agency Overall","2017","173","502","404","271"
"Federal Housing Finance Agency","Agency Overall","2017","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2017","0","0","0","0"
"Denali Commission","Agency Overall","2017","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2017","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2017","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2017","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2017","0","2","2","0"
"Department of Energy","Agency Overall","2017","145","172","180","137"
"Farm Credit Administration","Agency Overall","2017","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2017","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2017","0","3","3","0"
"Office of Government Ethics","Agency Overall","2017","0","2","2","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2017","0","0","0","0"
"Peace Corps","Agency Overall","2017","1","0","1","0"
"Federal Labor Relations Authority","Agency Overall","2017","0","0","0","0"
"All agencies","Agency Overall","2017","3093","5759","5774","3078"
