"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Securities and Exchange Commission","Agency Overall","2017","73","13"
"Institute of Museum and Library Services","Agency Overall","2017","5","0"
"Office of National Drug Control Policy","Agency Overall","2017","9","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","22","0"
"Central Intelligence Agency","Agency Overall","2017","1757","113"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","6","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","11","0"
"Legal Services Corporation","Agency Overall","2017","0","0"
"Selective Service System","Agency Overall","2017","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0"
"General Services Administration","Agency Overall","2017","190","5"
"Inter-American Foundation","Agency Overall","2017","1","0"
"National Science Foundation","Agency Overall","2017","263","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","1","0"
"Department of Education","Agency Overall","2017","618","49"
"Millennium Challenge Corporation","Agency Overall","2017","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","27","0"
"U.S. Department of State","Agency Overall","2017","13021","422"
"Department of the Treasury","Agency Overall","2017","1094","89"
"Consumer Financial Protection Bureau","Agency Overall","2017","3","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","2","0"
"Office of Management and Budget","Agency Overall","2017","231","5"
"Department of Labor","Agency Overall","2017","594","346"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0"
"National Mediation Board","Agency Overall","2017","0","0"
"Federal Open Market Committee","Agency Overall","2017","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","1","0"
"National Archives and Records Administration","Agency Overall","2017","2061","173"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","0"
"Federal Trade Commission","Agency Overall","2017","8","0"
"Office of Personnel Management","Agency Overall","2017","181","60"
"National Endowment for the Arts","Agency Overall","2017","1","0"
"United States Postal Service","Agency Overall","2017","39","7"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0"
"United States African Development Foundation","Agency Overall","2017","0","0"
"U.S. Agency for International Development","Agency Overall","2017","326","1"
"National Credit Union Administration","Agency Overall","2017","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","5","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0"
"Small Business Administration","Agency Overall","2017","13","2"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","3","0"
"Equal Employment Opportunity Commission","Agency Overall","2017","2259","2"
"Department of Transportation","Agency Overall","2017","3847","107"
"United States Trade and Development Agency","Agency Overall","2017","25","0"
"Federal Communications Commission","Agency Overall","2017","15","8"
"Tennessee Valley Authority","Agency Overall","2017","6","0"
"U.S. Agency for Global Media","Agency Overall","2017","2","1"
"Environmental Protection Agency","Agency Overall","2017","1891","125"
"Nuclear Regulatory Commission","Agency Overall","2017","60","3"
"Administrative Conference of the United States","Agency Overall","2017","0","0"
"Department of the Interior","Agency Overall","2017","1626","409"
"U.S. Election Assistance Commission","Agency Overall","2017","15","0"
"Armed Forces Retirement Home","Agency Overall","2017","0","0"
"Appraisal Subcommittee","Agency Overall","2017","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","9","0"
"Office of Special Counsel","Agency Overall","2017","205","1"
"United States Copyright Office","Agency Overall","2017","5","0"
"National Labor Relations Board","Agency Overall","2017","295","1"
"Department of Health and Human Services","Agency Overall","2017","4545","351"
"United States Institute of Peace","Agency Overall","2017","0","0"
"Department of Housing and Urban Development","Agency Overall","2017","527","5"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0"
"Commodity Futures Trading Commission","Agency Overall","2017","15","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0"
"Overseas Private Investment Corporation","Agency Overall","2017","4","0"
"United States International Trade Commission","Agency Overall","2017","0","0"
"National Endowment for the Humanities","Agency Overall","2017","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","24","0"
"Merit Systems Protection Board","Agency Overall","2017","70","0"
"Department of Defense","Agency Overall","2017","10383","890"
"Federal Energy Regulatory Commission","Agency Overall","2017","17","0"
"Department of Agriculture","Agency Overall","2017","2371","583"
"Social Security Administration","Agency Overall","2017","169","8"
"Federal Reserve System","Agency Overall","2017","34","0"
"Commission of Fine Arts","Agency Overall","2017","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2017","43","0"
"Council on Environmental Quality","Agency Overall","2017","39","0"
"American Battle Monuments Commission","Agency Overall","2017","2","0"
"Surface Transportation Board","Agency Overall","2017","0","0"
"Department of Veterans Affairs","Agency Overall","2017","2916","82"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","6"
"Office of the Director of National Intelligence","Agency Overall","2017","359","31"
"Court Services and Offender Supervision Agency","Agency Overall","2017","52","0"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0"
"United States Access Board","Agency Overall","2017","0","0"
"Federal Election Commission","Agency Overall","2017","60","4"
"U.S. Railroad Retirement Board","Agency Overall","2017","8","0"
"Department of Commerce","Agency Overall","2017","304","34"
"United States International Boundary and Water Commission","Agency Overall","2017","3","0"
"Department of Justice","Agency Overall","2017","12863","172"
"National Indian Gaming Commission","Agency Overall","2017","15","0"
"Office of the United States Trade Representative","Agency Overall","2017","5","0"
"National Council on Disability","Agency Overall","2017","0","0"
"Presidio Trust","Agency Overall","2017","0","0"
"Department of Homeland Security","Agency Overall","2017","44117","172"
"Federal Housing Finance Agency","Agency Overall","2017","16","0"
"Consumer Product Safety Commission","Agency Overall","2017","185","0"
"Denali Commission","Agency Overall","2017","0","0"
"Federal Maritime Commission","Agency Overall","2017","2","0"
"National Railroad Passenger Corporation","Agency Overall","2017","68","4"
"Social Security Advisory Board","Agency Overall","2017","0","0"
"Marine Mammal Commission","Agency Overall","2017","1","0"
"Department of Energy","Agency Overall","2017","287","10"
"Farm Credit Administration","Agency Overall","2017","0","0"
"Postal Regulatory Commission","Agency Overall","2017","1","0"
"Office of Science and Technology Policy","Agency Overall","2017","22","0"
"Office of Government Ethics","Agency Overall","2017","128","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0"
"National Transportation Safety Board","Agency Overall","2017","819","7"
"Peace Corps","Agency Overall","2017","42","0"
"Federal Labor Relations Authority","Agency Overall","2017","0","0"
"All agencies","Agency Overall","2017","111344","4301"
