"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Securities and Exchange Commission","Agency Overall","2017","0","4","55","236","273","598","655","6","417","30","29","1","60","0"
"Institute of Museum and Library Services","Agency Overall","2017","0","0","0","1","1","5","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2017","1","0","0","0","1","14","3","0","0","1","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2017","0","0","0","1","1","10","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2017","1045","0","1127","4","29","97","0","0","6","8","10","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","1","0","0","0","9","13","5","0","6","0","6","1","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2017","0","3","21","89","35","87","6","1","36","3","13","7","0","0"
"Legal Services Corporation","Agency Overall","2017","0","0","0","1","4","5","0","0","9","1","1","0","0","0"
"Selective Service System","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2017","0","7","31","311","184","442","8","2","29","5","15","120","0","0"
"Inter-American Foundation","Agency Overall","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2017","0","0","2","144","9","169","1","0","16","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","0","0","0","3","4","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2017","0","2","23","184","231","688","298","4","367","3","53","5","0","0"
"Millennium Challenge Corporation","Agency Overall","2017","1","2","1","0","6","5","0","0","0","0","0","0","0","0"
