"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Health and Human Services","Agency Overall","2011","15","35","<1","1305","174","112","<1","1760","60","70","1","556"
"U.S. Agency for Global Media","Agency Overall","2011","N/A","N/A","N/A","N/A","28","31","1","117","52","52","52","52"
"United States Postal Service","Agency Overall","2011","5","11.44","N/A","888","21","43.13","3","573","9.5","14.33","1","34"
"Department of the Treasury","Agency Overall","2011","5","10.9","1","519","13","27","2","3205","21","91.5","1","1126"
"Tennessee Valley Authority","Agency Overall","2011","5","6.5","1","20","43","50","22","103","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2011","9","17","1","46","374","305","3","805","7","10","1","40"
"Council on Environmental Quality","Agency Overall","2011","24","27.7","4","60","220.5","484.8","188","1310","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","7","8","1","20","9","10","5","15","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2011","N/A","28","1","728","N/A","69","1","674","N/A","33","1","83"
"Federal Maritime Commission","Agency Overall","2011","N/A","N/A","N/A","N/A","231.5","242.3","10","508","19","27.6","11","59"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","9","10","1","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","12","12","4","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2011","18","22.06","1","215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2011","1","5","1","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2011","22","32.26","1","173","69","104.42","5","360","12","12","12","12"
"U.S. Department of State","Agency Overall","2011","150","155","1","1603","279","342","6","2460","49","926","49","1802"
"Central Intelligence Agency","Agency Overall","2011","10","23.95","N/A","1242","32","113.76","N/A","3104","11","33.17","2","209"
"Federal Communications Commission","Agency Overall","2011","18","23.32","<1","495","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2011","22","17.81","<1","71","37","75.05","<1","297","N/A","N/A","N/A","N/A"
