"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Department of Health and Human Services","Agency Overall","2011","9552","6529"
"U.S. Agency for Global Media","Agency Overall","2011","0","0"
"United States Postal Service","Agency Overall","2011","31","79"
"Department of the Treasury","Agency Overall","2011","419","333"
"Tennessee Valley Authority","Agency Overall","2011","0","0"
"Office of the United States Trade Representative","Agency Overall","2011","12","13"
"Council on Environmental Quality","Agency Overall","2011","3","14"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","182","128"
"Federal Maritime Commission","Agency Overall","2011","15","33"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","1"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","1","1"
"Selective Service System","Agency Overall","2011","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","22","24"
"U.S. Department of State","Agency Overall","2011","20519","8078"
"Central Intelligence Agency","Agency Overall","2011","715","721"
"Federal Communications Commission","Agency Overall","2011","23","19"
"National Transportation Safety Board","Agency Overall","2011","92","81"
"United States Trade and Development Agency","Agency Overall","2011","19","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","4"
"Department of Transportation","Agency Overall","2011","787","724"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0"
"Department of Homeland Security","Agency Overall","2011","11217","42417"
"Office of National Drug Control Policy","Agency Overall","2011","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","8","4"
"United States International Trade Commission","Agency Overall","2011","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","87","176"
"Federal Housing Finance Agency","Agency Overall","2011","12","4"
"National Aeronautics and Space Administration","Agency Overall","2011","110","34"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","4","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0"
"Department of Education","Agency Overall","2011","341","255"
"Department of Veterans Affairs","Agency Overall","2011","794","794"
"National Railroad Passenger Corporation","Agency Overall","2011","37","15"
"Institute of Museum and Library Services","Agency Overall","2011","0","0"
"Surface Transportation Board","Agency Overall","2011","1","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0"
"Securities and Exchange Commission","Agency Overall","2011","159","81"
"Department of Justice","Agency Overall","2011","5160","3816"
"U.S. Commission on Civil Rights","Agency Overall","2011","11","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0"
"Office of Management and Budget","Agency Overall","2011","2","1"
"U.S. Agency for International Development","Agency Overall","2011","275","215"
"Federal Energy Regulatory Commission","Agency Overall","2011","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2011","62","81"
"National Capital Planning Commission","Agency Overall","2011","0","0"
"Legal Services Corporation","Agency Overall","2011","32","0"
"Office of Special Counsel","Agency Overall","2011","6","39"
"Merit Systems Protection Board","Agency Overall","2011","4","4"
"National Endowment for the Arts","Agency Overall","2011","10","4"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","0"
"Department of Defense","Agency Overall","2011","7657","7260"
"Inter-American Foundation","Agency Overall","2011","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","1"
"National Credit Union Administration","Agency Overall","2011","5","11"
"Federal Labor Relations Authority","Agency Overall","2011","0","0"
"National Archives and Records Administration","Agency Overall","2011","7064","8011"
"Department of Energy","Agency Overall","2011","334","390"
"Office of Personnel Management","Agency Overall","2011","8","166"
"Department of Commerce","Agency Overall","2011","195","203"
"Department of Agriculture","Agency Overall","2011","681","650"
"Federal Reserve System","Agency Overall","2011","55","20"
"Office of Government Ethics","Agency Overall","2011","0","0"
"Small Business Administration","Agency Overall","2011","3","1"
"General Services Administration","Agency Overall","2011","26","21"
"National Mediation Board","Agency Overall","2011","1","5"
"Federal Election Commission","Agency Overall","2011","10","13"
"Peace Corps","Agency Overall","2011","10","24"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0"
"National Indian Gaming Commission","Agency Overall","2011","4","14"
"Administrative Conference of the United States","Agency Overall","2011","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0"
