"Agency","Component","Fiscal Year","Total"
"Department of Health and Human Services","Agency Overall","2011","77"
"U.S. Agency for Global Media","Agency Overall","2011","1"
"United States Postal Service","Agency Overall","2011","2"
"Department of the Treasury","Agency Overall","2011","29"
"Tennessee Valley Authority","Agency Overall","2011","2"
"Office of the United States Trade Representative","Agency Overall","2011","0"
"Council on Environmental Quality","Agency Overall","2011","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0"
"Department of Housing and Urban Development","Agency Overall","2011","0"
"Federal Maritime Commission","Agency Overall","2011","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0"
"Selective Service System","Agency Overall","2011","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","0"
"U.S. Department of State","Agency Overall","2011","12"
"Central Intelligence Agency","Agency Overall","2011","29"
"Federal Communications Commission","Agency Overall","2011","1"
"National Transportation Safety Board","Agency Overall","2011","0"
"United States Trade and Development Agency","Agency Overall","2011","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0"
"Department of Transportation","Agency Overall","2011","37"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0"
"Department of Homeland Security","Agency Overall","2011","54"
"Office of National Drug Control Policy","Agency Overall","2011","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0"
"Office of Science and Technology Policy","Agency Overall","2011","1"
"United States International Trade Commission","Agency Overall","2011","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","0"
"Federal Housing Finance Agency","Agency Overall","2011","0"
"National Aeronautics and Space Administration","Agency Overall","2011",""
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0"
"Department of Education","Agency Overall","2011","0"
"Department of Veterans Affairs","Agency Overall","2011","66"
"National Railroad Passenger Corporation","Agency Overall","2011","2"
"Institute of Museum and Library Services","Agency Overall","2011","0"
"Surface Transportation Board","Agency Overall","2011","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0"
"Securities and Exchange Commission","Agency Overall","2011","13"
"Department of Justice","Agency Overall","2011","610"
"U.S. Commission on Civil Rights","Agency Overall","2011","0"
"Armed Forces Retirement Home","Agency Overall","2011","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0"
"Office of Management and Budget","Agency Overall","2011","0"
"U.S. Agency for International Development","Agency Overall","2011","0"
"Federal Energy Regulatory Commission","Agency Overall","2011","0"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0"
"National Capital Planning Commission","Agency Overall","2011","0"
"Legal Services Corporation","Agency Overall","2011","0"
"Office of Special Counsel","Agency Overall","2011","1"
"Merit Systems Protection Board","Agency Overall","2011","0"
"National Endowment for the Arts","Agency Overall","2011","0"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0"
"Millennium Challenge Corporation","Agency Overall","2011","0"
"Department of Defense","Agency Overall","2011","173"
"Inter-American Foundation","Agency Overall","2011","0"
"Farm Credit Administration","Agency Overall","2011","0"
"American Battle Monuments Commission","Agency Overall","2011","0"
"National Credit Union Administration","Agency Overall","2011","0"
"Federal Labor Relations Authority","Agency Overall","2011","1"
"National Archives and Records Administration","Agency Overall","2011","3"
"Department of Energy","Agency Overall","2011","14"
"Office of Personnel Management","Agency Overall","2011",""
"Department of Commerce","Agency Overall","2011","6"
"Department of Agriculture","Agency Overall","2011","7"
"Federal Reserve System","Agency Overall","2011","3"
"Office of Government Ethics","Agency Overall","2011","0"
"Small Business Administration","Agency Overall","2011","1"
"General Services Administration","Agency Overall","2011","0"
"National Mediation Board","Agency Overall","2011","0"
"Federal Election Commission","Agency Overall","2011","0"
"Peace Corps","Agency Overall","2011","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0"
"National Indian Gaming Commission","Agency Overall","2011","0"
"Administrative Conference of the United States","Agency Overall","2011","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0"
"National Labor Relations Board","Agency Overall","2011",""
"Federal Deposit Insurance Corporation","Agency Overall","2011","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0"
"National Endowment for the Humanities","Agency Overall","2011","1"
"Federal Trade Commission","Agency Overall","2011","1"
"United States African Development Foundation","Agency Overall","2011","0"
"Nuclear Regulatory Commission","Agency Overall","2011","1"
"Postal Regulatory Commission","Agency Overall","2011","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0"
"Office of the Director of National Intelligence","Agency Overall","2011","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0"
"Environmental Protection Agency","Agency Overall","2011","0"
"Social Security Administration","Agency Overall","2011","0"
"Department of Labor","Agency Overall","2011","166"
"Federal Open Market Committee","Agency Overall","2011","0"
"Department of the Interior","Agency Overall","2011","111"
"National Science Foundation","Agency Overall","2011","3"
"United States Copyright Office","Agency Overall","2011","2"
"Consumer Product Safety Commission","Agency Overall","2011","0"
"United States International Boundary and Water Commission","Agency Overall","2011","0"
"All agencies","Agency Overall","2011","1430"
