"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Health and Human Services","Agency Overall","2011","0","95","103","772","375","5858","181","2","415","15","65","9","0","0"
"U.S. Agency for Global Media","Agency Overall","2011","0","2","3","3","4","14","0","0","0","0","0","1","0","0"
"United States Postal Service","Agency Overall","2011","0","62","411","87","117","576","23","1","289","103","50","7","0","0"
"Department of the Treasury","Agency Overall","2011","9","187","2121","206","575","831","316","3","993","69","873","8","192","0"
"Tennessee Valley Authority","Agency Overall","2011","0","1","3","9","12","62","2","1","1","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2011","1","3","0","0","2","5","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2011","0","4","0","0","4","10","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","1","0","2","0","1","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","0","50","34","82","104","297","35","0","50","2","9","0","1","0"
"Federal Maritime Commission","Agency Overall","2011","0","0","0","5","2","5","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","4","2","24","16","273","0","0","1","0","1","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","1","1","2","0","3","0","1","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","0","12","0","1","8","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","0","1","0","36","8","4","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2011","531","134","15129","105","361","3282","43","1","94","19","77","13","2","0"
"Central Intelligence Agency","Agency Overall","2011","1546","26","1746","6","57","175","2","0","5","12","3","0","0","0"
"Federal Communications Commission","Agency Overall","2011","0","78","3","24","39","110","11","0","18","1","12","2","0","0"
"National Transportation Safety Board","Agency Overall","2011","0","52","8","36","165","63","96","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2011","0","0","5","5","3","4","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","1","2","2","2","17","2","1","1","0","0","0","0","0"
"Department of Transportation","Agency Overall","2011","7","155","247","341","683","1855","146","8","549","77","13","4","1","0"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","19","17807","1941","510","31601","58710","241","4","68467","86","52174","74","0","0"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","2","0","1","2","3","0","0","1","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","1","5","1","2","16","21","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2011","0","0","2","3","0","4","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","0","3","4037","32","11818","2714","1884","34","6309","103","4","0","0","0"
