"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Health and Human Services","Agency Overall","2011","4875","933","593","425","410","365","257","203","196","202","532","683","3028","12702"
"U.S. Agency for Global Media","Agency Overall","2011","30","32","8","2","2","4","0","0","0","0","0","0","0","78"
"United States Postal Service","Agency Overall","2011","75","37","17","13","4","3","0","1","1","4","2","0","2","159"
"Department of the Treasury","Agency Overall","2011","9977","2200","726","246","99","41","31","16","15","7","32","32","103","13525"
"Tennessee Valley Authority","Agency Overall","2011","0","18","10","7","3","1","0","0","0","0","0","0","0","39"
"Office of the United States Trade Representative","Agency Overall","2011","1","0","4","2","0","1","0","0","1","0","0","2","7","18"
"Council on Environmental Quality","Agency Overall","2011","0","0","0","0","0","0","0","0","0","2","1","0","1","4"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Department of Housing and Urban Development","Agency Overall","2011","233","201","96","35","25","27","23","13","11","6","18","10","13","711"
"Federal Maritime Commission","Agency Overall","2011","1","3","0","0","0","0","1","1","0","2","4","2","4","18"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","4","4","4","2","1","2","1","1","2","1","3","1","0","26"
"U.S. Department of State","Agency Overall","2011","29","49","57","90","103","214","133","143","142","119","2283","1094","1035","5491"
"Central Intelligence Agency","Agency Overall","2011","563","348","163","91","75","43","28","22","14","24","88","39","98","1596"
"Federal Communications Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2011","106","42","9","13","11","13","16","20","14","19","20","0","0","283"
"United States Trade and Development Agency","Agency Overall","2011","16","1","6","0","2","0","1","0","1","1","5","4","7","44"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","5","9","1","0","0","0","1","0","0","0","0","0","0","16"
"Department of Transportation","Agency Overall","2011","705","828","440","104","62","31","30","21","10","17","48","38","67","2401"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","12366","3731","8375","12223","4322","6623","10232","2049","293","179","612","242","3545","64792"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Office of Science and Technology Policy","Agency Overall","2011","2","1","2","0","0","0","1","0","0","0","1","1","0","8"
"United States International Trade Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2011","2","5","6","3","1","0","2","2","0","2","1","0","0","24"
"National Aeronautics and Space Administration","Agency Overall","2011","365","135","45","27","15","13","13","9","11","8","21","11","19","692"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","5","26","10","1","2","0","1","0","0","0","0","0","0","45"
"Federal Financial Institutions Examination Council","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Education","Agency Overall","2011","60","97","77","108","126","73","58","25","24","10","28","15","26","727"
"Department of Veterans Affairs","Agency Overall","2011","22223","2971","972","469","274","182","107","72","82","78","199","49","13","27691"
"National Railroad Passenger Corporation","Agency Overall","2011","55","17","11","9","0","4","3","3","3","2","7","5","6","125"
"Institute of Museum and Library Services","Agency Overall","2011","0","1","0","1","0","0","0","0","0","0","0","0","0","2"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","9","2","1","0","0","0","0","0","0","0","0","0","3","15"
"Department of Justice","Agency Overall","2011","3432","1626","947","630","528","388","307","281","224","198","706","342","560","10169"
"U.S. Commission on Civil Rights","Agency Overall","2011","46","6","4","2","2","0","0","0","1","0","0","0","2","63"
