"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Health and Human Services","Agency Overall","2011","63839","67431","69860","70179"
"U.S. Agency for Global Media","Agency Overall","2011","40","75","37","78"
"United States Postal Service","Agency Overall","2011","2004","2504","2018","2415"
"Department of the Treasury","Agency Overall","2011","16911","16776","18564","16683"
"Tennessee Valley Authority","Agency Overall","2011","165","175","171","173"
"Office of the United States Trade Representative","Agency Overall","2011","41","59","53","58"
"Council on Environmental Quality","Agency Overall","2011","25","41","24","23"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","12","20","12","19"
"Department of Housing and Urban Development","Agency Overall","2011","3053","2828","3277","2882"
"Federal Maritime Commission","Agency Overall","2011","37","39","33","23"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","5834","7291","5611","7364"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","16","14","16","14"
"U.S. Railroad Retirement Board","Agency Overall","2011","120","105","119","105"
"Selective Service System","Agency Overall","2011","37","18","37","18"
"Export-Import Bank of the U.S.","Agency Overall","2011","96","100","95","100"
"U.S. Department of State","Agency Overall","2011","30206","14298","18386","26836"
"Central Intelligence Agency","Agency Overall","2011","3094","3269","2989","3164"
"Federal Communications Commission","Agency Overall","2011","593","590","598","594"
"National Transportation Safety Board","Agency Overall","2011","314","293","270","304"
"United States Trade and Development Agency","Agency Overall","2011","21","28","11","46"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","69","69","72","69"
"Department of Transportation","Agency Overall","2011","10363","12064","10121","12092"
"Farm Credit System Insurance Corporation","Agency Overall","2011","8","11","8","10"
"Department of Homeland Security","Agency Overall","2011","130098","175656","138651","145631"
"Office of National Drug Control Policy","Agency Overall","2011","19","32","19","32"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","19","24","19","22"
"Office of Science and Technology Policy","Agency Overall","2011","44","52","37","56"
"United States International Trade Commission","Agency Overall","2011","46","34","47","33"
"Equal Employment Opportunity Commission","Agency Overall","2011","16652","18424","16343","18297"
"Federal Housing Finance Agency","Agency Overall","2011","116","125","109","123"
"National Aeronautics and Space Administration","Agency Overall","2011","1056","1026","1307","1131"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","22","24","22","26"
"Overseas Private Investment Corporation","Agency Overall","2011","44","45","43","47"
"Federal Financial Institutions Examination Council","Agency Overall","2011","24","24","24","24"
"Department of Education","Agency Overall","2011","2114","2401","2077","2486"
"Department of Veterans Affairs","Agency Overall","2011","29724","27655","29066","27891"
"National Railroad Passenger Corporation","Agency Overall","2011","203","172","176","171"
"Institute of Museum and Library Services","Agency Overall","2011","49","40","51","36"
"Surface Transportation Board","Agency Overall","2011","7","38","7","39"
"Occupational Safety and Health Review Commission","Agency Overall","2011","61","76","66","76"
"Securities and Exchange Commission","Agency Overall","2011","10461","11555","10554","11562"
"Department of Justice","Agency Overall","2011","63682","63103","63368","63992"
"U.S. Commission on Civil Rights","Agency Overall","2011","40","50","30","63"
"Armed Forces Retirement Home","Agency Overall","2011","0","4","0","4"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","2","23","2","19"
"Office of Management and Budget","Agency Overall","2011","147","188","141","173"
"U.S. Agency for International Development","Agency Overall","2011","268","296","232","342"
"Federal Energy Regulatory Commission","Agency Overall","2011","103","81","114","92"
"Court Services and Offender Supervision Agency","Agency Overall","2011","719","756","723","766"
"National Capital Planning Commission","Agency Overall","2011","19","17","19","17"
"Legal Services Corporation","Agency Overall","2011","35","34","10","66"
"Office of Special Counsel","Agency Overall","2011","120","132","138","87"
"Merit Systems Protection Board","Agency Overall","2011","400","121","401","113"
