"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Department of Health and Human Services","Agency Overall","2011","24","120","13","22","86"
"U.S. Agency for Global Media","Agency Overall","2011","1","4","6","5","5"
"United States Postal Service","Agency Overall","2011","6","51","0","1.68","53"
"Department of the Treasury","Agency Overall","2011","223","105","3","4","294"
"Tennessee Valley Authority","Agency Overall","2011","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2011","12","4","9","11","8"
"Council on Environmental Quality","Agency Overall","2011","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","14","142","0","34","8"
"Federal Maritime Commission","Agency Overall","2011","4","1","24.5","29.75","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","1","1","2.5","2.5","2"
"U.S. Department of State","Agency Overall","2011","3","204","13","24","27"
"Central Intelligence Agency","Agency Overall","2011","27","34","0","0","0"
"Federal Communications Commission","Agency Overall","2011","0","4","16","15.5","2"
"National Transportation Safety Board","Agency Overall","2011","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2011","2","0","3.5","3.5","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","3","2","14","9","2"
"Department of Transportation","Agency Overall","2011","56","237","1","3.027","274"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","36","1529","1","6.88","1387"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2011","5","0","1","1","5"
"United States International Trade Commission","Agency Overall","2011","1","1","4","3","2"
"Equal Employment Opportunity Commission","Agency Overall","2011","2","2","1","1","4"
"Federal Housing Finance Agency","Agency Overall","2011","0","3","6","4.67","3"
"National Aeronautics and Space Administration","Agency Overall","2011","0","5","0","0","5"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","2","0","8","8","2"
"Federal Financial Institutions Examination Council","Agency Overall","2011","1","0","1","1","1"
"Department of Education","Agency Overall","2011","6","11","3","5","12"
"Department of Veterans Affairs","Agency Overall","2011","29","49","0","3.59","72"
"National Railroad Passenger Corporation","Agency Overall","2011","2","2","1","1","4"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","11","63","6","7","61"
"Department of Justice","Agency Overall","2011","203","1046","1","6.96","1113"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2011","9","3","8","4.8","7"
"Federal Energy Regulatory Commission","Agency Overall","2011","1","10","9","8","10"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","1","0","0","0","1"
"Office of Special Counsel","Agency Overall","2011","9","2","7","9","7"
"Merit Systems Protection Board","Agency Overall","2011","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2011","11","2","0","0.8","13"
"Federal Mediation and Conciliation Service","Agency Overall","2011","17","0","1","1","17"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","0","0"
"Department of Defense","Agency Overall","2011","757","700","0","2","1339"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","4","0","1.5","5.25","3"
