"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of Health and Human Services","Agency Overall","2011","15","0","90","4","0","3","3","1","1","3","77"
"U.S. Agency for Global Media","Agency Overall","2011","0","0","0","1","1","0","1","0","0","0","1"
"United States Postal Service","Agency Overall","2011","13","4","0","1","1","9","0","0","0","0","2"
"Department of the Treasury","Agency Overall","2011","47","6","5","7","3","32","1","1","0","0","29"
"Tennessee Valley Authority","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","2"
"Office of the United States Trade Representative","Agency Overall","2011","0","0","0","0","0","0","2","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","5","0","1","0","0","0","0","1","0","0","0"
"Federal Maritime Commission","Agency Overall","2011","0","0","0","0","0","0","1","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","3","0","0","0","0","0","1","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2011","5","0","4","0","0","0","10","2","0","13","12"
"Central Intelligence Agency","Agency Overall","2011","1","0","0","0","0","0","0","0","36","0","29"
"Federal Communications Commission","Agency Overall","2011","0","0","3","4","0","0","1","0","0","1","1"
"National Transportation Safety Board","Agency Overall","2011","1","0","5","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2011","20","0","27","1","0","13","0","0","0","0","37"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","47","10","40","6","7","134","1","6","13","1","54"
"Office of National Drug Control Policy","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","5","0","0","0","0","0","0","0","0","0","1"
"United States International Trade Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","1","2","0","0","0","0","0","0","1","0","0"
"Federal Housing Finance Agency","Agency Overall","2011","1","0","0","0","0","1","3","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2011","0","0","2","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2011","3","0","2","0","0","0","0","0","0","2","0"
"Department of Veterans Affairs","Agency Overall","2011","43","3","9","7","0","3","0","0","1","0","66"
"National Railroad Passenger Corporation","Agency Overall","2011","0","0","2","0","0","0","0","0","0","0","2"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","6","0","3","0","0","0","1","0","0","0","13"
"Department of Justice","Agency Overall","2011","704","47","19","142","18","64","4","112","52","26","610"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","4","0","0","0","0","0","0","1","0","0","0"
"U.S. Agency for International Development","Agency Overall","2011","0","0","2","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2011","0","0","4","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2011","2","0","0","1","0","0","0","0","0","0","1"
"Merit Systems Protection Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2011","144","21","53","18","4","21","1","27","8","10","173"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","1"
"National Archives and Records Administration","Agency Overall","2011","12","0","1","8","1","10","0","0","0","0","3"
"Department of Energy","Agency Overall","2011","6","0","10","1","0","9","5","0","0","0","14"
"Office of Personnel Management","Agency Overall","2011","4","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2011","3","0","6","0","0","3","2","4","3","2","6"
"Department of Agriculture","Agency Overall","2011","14","0","24","6","0","2","0","3","8","0","7"
