"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Department of Health and Human Services","Agency Overall","2011","11612","67431","70179","8864"
"U.S. Agency for Global Media","Agency Overall","2011","5","75","78","2"
"United States Postal Service","Agency Overall","2011","96","2504","2415","185"
"Department of the Treasury","Agency Overall","2011","1144","16776","16683","1237"
"Tennessee Valley Authority","Agency Overall","2011","13","175","173","15"
"Office of the United States Trade Representative","Agency Overall","2011","12","59","58","13"
"Council on Environmental Quality","Agency Overall","2011","6","41","23","24"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","20","19","1"
"Department of Housing and Urban Development","Agency Overall","2011","182","2828","2882","128"
"Federal Maritime Commission","Agency Overall","2011","20","39","23","36"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","380","7291","7364","307"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","14","14","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","1","105","105","1"
"Selective Service System","Agency Overall","2011","0","18","18","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","29","100","100","29"
"U.S. Department of State","Agency Overall","2011","21253","14298","26836","8715"
"Central Intelligence Agency","Agency Overall","2011","880","3269","3164","985"
"Federal Communications Commission","Agency Overall","2011","52","590","594","48"
"National Transportation Safety Board","Agency Overall","2011","92","293","304","81"
"United States Trade and Development Agency","Agency Overall","2011","19","28","46","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","4","69","69","4"
"Department of Transportation","Agency Overall","2011","1640","12064","12092","1612"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","11","10","1"
"Department of Homeland Security","Agency Overall","2011","18468","175656","145631","48493"
"Office of National Drug Control Policy","Agency Overall","2011","0","32","32","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","24","22","2"
"Office of Science and Technology Policy","Agency Overall","2011","8","52","56","4"
"United States International Trade Commission","Agency Overall","2011","2","34","33","3"
"Equal Employment Opportunity Commission","Agency Overall","2011","1286","18424","18297","1413"
"Federal Housing Finance Agency","Agency Overall","2011","16","125","123","18"
"National Aeronautics and Space Administration","Agency Overall","2011","178","1026","1131","73"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","2","24","26","0"
"Overseas Private Investment Corporation","Agency Overall","2011","2","45","47","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","24","24","0"
"Department of Education","Agency Overall","2011","456","2401","2486","371"
"Department of Veterans Affairs","Agency Overall","2011","1773","27655","27891","1537"
"National Railroad Passenger Corporation","Agency Overall","2011","54","172","171","55"
"Institute of Museum and Library Services","Agency Overall","2011","3","40","36","7"
"Surface Transportation Board","Agency Overall","2011","1","38","39","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","1","76","76","1"
"Securities and Exchange Commission","Agency Overall","2011","399","11555","11562","392"
"Department of Justice","Agency Overall","2011","7786","63103","63992","6897"
"U.S. Commission on Civil Rights","Agency Overall","2011","14","50","63","1"
"Armed Forces Retirement Home","Agency Overall","2011","0","4","4","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","23","19","4"
"Office of Management and Budget","Agency Overall","2011","21","188","173","36"
"U.S. Agency for International Development","Agency Overall","2011","302","296","342","256"
"Federal Energy Regulatory Commission","Agency Overall","2011","16","81","92","5"
"Court Services and Offender Supervision Agency","Agency Overall","2011","169","756","766","159"
"National Capital Planning Commission","Agency Overall","2011","0","17","17","0"
"Legal Services Corporation","Agency Overall","2011","32","34","66","0"
"Office of Special Counsel","Agency Overall","2011","6","132","87","51"
"Merit Systems Protection Board","Agency Overall","2011","4","121","113","12"
"National Endowment for the Arts","Agency Overall","2011","11","139","140","10"
"Federal Mediation and Conciliation Service","Agency Overall","2011","1","110","111","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","26","26","0"
"Department of Defense","Agency Overall","2011","11755","74117","75648","10224"
"Inter-American Foundation","Agency Overall","2011","1","16","16","1"
"Farm Credit Administration","Agency Overall","2011","1","36","35","2"
"American Battle Monuments Commission","Agency Overall","2011","0","26","25","1"
"National Credit Union Administration","Agency Overall","2011","10","165","160","15"
"Federal Labor Relations Authority","Agency Overall","2011","1","86","86","1"
"National Archives and Records Administration","Agency Overall","2011","7064","18129","17182","8011"
"Department of Energy","Agency Overall","2011","465","2315","2222","558"
"Office of Personnel Management","Agency Overall","2011","372","7844","7643","573"
"Department of Commerce","Agency Overall","2011","303","2202","2209","296"
"Department of Agriculture","Agency Overall","2011","1221","23065","22939","1347"
"Federal Reserve System","Agency Overall","2011","70","823","848","45"
"Office of Government Ethics","Agency Overall","2011","6","69","72","3"
"Small Business Administration","Agency Overall","2011","18","3135","3132","21"
"General Services Administration","Agency Overall","2011","222","1564","1677","109"
"National Mediation Board","Agency Overall","2011","1","29","25","5"
"Federal Election Commission","Agency Overall","2011","13","83","82","14"
"Peace Corps","Agency Overall","2011","10","182","168","24"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","3","117","120","0"
"National Indian Gaming Commission","Agency Overall","2011","4","76","66","14"
"Administrative Conference of the United States","Agency Overall","2011","0","7","7","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","1","185","182","4"
"Commodity Futures Trading Commission","Agency Overall","2011","19","168","145","42"
"National Labor Relations Board","Agency Overall","2011","80","5875","5860","95"
"Federal Deposit Insurance Corporation","Agency Overall","2011","207","1250","1409","48"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","44","48","49","43"
"National Endowment for the Humanities","Agency Overall","2011","4","48","49","3"
"Federal Trade Commission","Agency Overall","2011","32","1523","1527","28"
"United States African Development Foundation","Agency Overall","2011","0","9","9","0"
"Nuclear Regulatory Commission","Agency Overall","2011","22","365","320","67"
"Postal Regulatory Commission","Agency Overall","2011","1","29","30","0"
