"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Health and Human Services","Agency Overall","2011","275","98","<1","1465","171","198","<1","1760","50","63","1","460"
"U.S. Agency for Global Media","Agency Overall","2011","N/A","N/A","N/A","N/A","30","40","1","117","52","52","52","52"
"United States Postal Service","Agency Overall","2011","12","17.26","N/A","888","22.5","50.25","20","573","4","4","1","7"
"Department of the Treasury","Agency Overall","2011","7","14.5","1","351","16","52","1","3205","126","129","1","1126"
"Tennessee Valley Authority","Agency Overall","2011","5","6","1","19","49","53.5","25","100","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2011","16","21","2","48","174","388","43","805","4","16","1","40"
"Council on Environmental Quality","Agency Overall","2011","22","24.1","4","54","220.5","484.8","188","1310","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","8","7","6","12","9","10","5","15","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2011","N/A","N/A","1","728","N/A","N/A","1","570","N/A","N/A","1","83"
"Federal Maritime Commission","Agency Overall","2011","N/A","N/A","N/A","N/A","319","279.87","25","508","24.5","29.75","11","59"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","9","10","1","176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","14","13","4","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2011","18","22.06","1","215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2011","1","5","1","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2011","23.5","33.92","1","173","60.5","104.06","5","360","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2011","173","174","1","1603","283","341","10","2460","1802","1802","1802","1802"
"Central Intelligence Agency","Agency Overall","2011","11","32.72","1","1242","47","143.39","1","2919","23.5","43.2","2","129"
"Federal Communications Commission","Agency Overall","2011","20","28.13","1","495","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2011","25","31.14","<1","71","129","120.77","<1","297","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2011","N/A","N/A","N/A","N/A","45","118.9","3","424","62.5","62.5","16","109"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","14","18","3","77","22","29","8","125","8","16","8","6"
"Department of Transportation","Agency Overall","2011","16","22.89","<1","1022","34","62.29","<1","1121","30","70.42","<1","193"
"Farm Credit System Insurance Corporation","Agency Overall","2011","16","15.75","11","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2011","12","38.98","1","1182","79","91.59","1","1529","16","89.52","1","450"
"Office of National Drug Control Policy","Agency Overall","2011","10","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","19","13","3","20","62","62","62","62","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2011","11.5","20.6","1","173","52","107.5","7","303","10.5","13.25","3","29"
"United States International Trade Commission","Agency Overall","2011","15","16","1","34","N/A","N/A","N/A","N/A","6","6","6","6"
"Equal Employment Opportunity Commission","Agency Overall","2011","16","16.2902144249513","1","269","N/A","N/A","N/A","N/A","2","2","2","2"
"Federal Housing Finance Agency","Agency Overall","2011","10","16.17","1","63","46.5","68.92","16","228","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2011","14","23.9","<1","328","24","61.11","<1","846","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","20","16","3","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2011","N/A","N/A","N/A","N/A","20","23.65","<1","114","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2011","6","7.3","N/A","17","17","17","17","17","1","1","1","1"
"Department of Education","Agency Overall","2011","19","32.32","1","496","84","100.74","3","613","2.5","2.75","1","6"
"Department of Veterans Affairs","Agency Overall","2011","<1","1.36","<1","8","4","16.74","<1","1748","1","1.5","<1","7"
"National Railroad Passenger Corporation","Agency Overall","2011","6","32","1","270","27","75","1","688","217","217","217","217"
"Institute of Museum and Library Services","Agency Overall","2011","11","11.1","1","22","58.5","58.5","40","77","3.5","3.5","3","4"
"Surface Transportation Board","Agency Overall","2011","8","9","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2011","18","14.5","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2011","18","28","<1","427","518","485","33","1242","68","68","6","131"
"Department of Justice","Agency Overall","2011","18","27.64","<1","694","60","123.77","<1","1635","59.5","144.13","1","697"
"U.S. Commission on Civil Rights","Agency Overall","2011","N/A","N/A","N/A","N/A","12","39","N/A","511","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2011","32","32","25","39","49","49","47","51","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","17","18","1","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2011","49","74","8","268","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2011","96","170.24","6","731","216","290.46","6","1327","157","157","12","302"
"Federal Energy Regulatory Commission","Agency Overall","2011","25","23","4","35","29","39","12","289","20","20","20","20"
"Court Services and Offender Supervision Agency","Agency Overall","2011","27","27.57","2","163","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2011","7","6","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2011","136","166","1","656","87","240","1","881","N/A","31","31","31"
"Office of Special Counsel","Agency Overall","2011","3","7","1","27","83","85","N/A","288","5","5","N/A","9"
"Merit Systems Protection Board","Agency Overall","2011","17","9","N/A","35","37","37","11","81","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2011","6","14","<1","424","36","130.4","3","368","8.5","21.2","6","79"
"Federal Mediation and Conciliation Service","Agency Overall","2011","7","7.9","1","21","13","15.5","4","42","2","2","1","2"
"Millennium Challenge Corporation","Agency Overall","2011","16.5","15.3","4","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2011","N/A","19","<1","3760","N/A","111","<1","4475","N/A","16","<1","1023"
"Inter-American Foundation","Agency Overall","2011","16","14.5","4","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2011","15","12.95","1","20","N/A","N/A","N/A","N/A","17","17","17","17"
"American Battle Monuments Commission","Agency Overall","2011","8","10","2","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2011","11","14.31","N/A","88","38","46.88","2","127","70.5","70.5","50","91"
"Federal Labor Relations Authority","Agency Overall","2011","16","12","2","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2011","12","120.8","N/A","1494","23.5","475","N/A","4327","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2011","17","42.94","<1","2674","70","141.22","<1","1092","143","143","18","268"
"Office of Personnel Management","Agency Overall","2011","N/A","N/A","N/A","N/A","4","22","N/A","N/A","1","1","N/A","N/A"
"Department of Commerce","Agency Overall","2011","20","23","1","1142","39","58","14","399","20","13","1","61"
"Department of Agriculture","Agency Overall","2011","9.75","18.703","<1","729","20","53.76","1","1027","N/A","4.1222","1","94"
"Federal Reserve System","Agency Overall","2011","1","3","<1","32","19","31","1","319","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2011","11","13.23","1","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2011","1","4.94","<1","266","47","47","47","47","12.5","10.83","<1","15"
"General Services Administration","Agency Overall","2011","29","35","N/A","396","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2011","27","33.09","6","85","N/A","N/A","N/A","N/A","78","78","78","78"
"Federal Election Commission","Agency Overall","2011","29","48.9","N/A","330","155","344.2","115","931","12.5","12.5","8","17"
"Peace Corps","Agency Overall","2011","23","32","1","161","92","100","46","150","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","3","4.43","1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2011","156","30.15","1","210","128","64","120","245","25","25","25","25"
"Administrative Conference of the United States","Agency Overall","2011","1","2","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","1","3","<1","26","11","12.5","8","20","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2011","22.5","37.71","<1","145","57","111.65","1","473","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2011","3","5","N/A","N/A","N/A","N/A","N/A","N/A","3","5","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2011","15","15.59","<1","123","<1","22.78","<1","142","27.5","30.38","<1","72"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","14","16","13","20","279","454","35","1530","296","296","296","296"
"National Endowment for the Humanities","Agency Overall","2011","19","17.8","1","36","27","40.7","18","99","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2011","3","5.35","1","129","36.5","60.63","1","463","18","18","18","18"
"United States African Development Foundation","Agency Overall","2011","3","4","1","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2011","12","13","<1","63","36","51","3","290","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2011","5","17","1","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2011","1","1","1","1","19","19","19","19","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2011","2","17.93","N/A","1029","19","87.32","N/A","823","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","5","5","5","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2011","20","42.05","<1","1412","50.5","91.39","3","1326","21","31.77","6","116"
"Social Security Administration","Agency Overall","2011","17","20","3","159","46","54","3","222","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2011","1","7.7","1","316","32.5","174.4","1","976","0.8","46.1","1","345"
"Federal Open Market Committee","Agency Overall","2011","8","10","2","19","19","21.4","19","27","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2011","2","3","<1","55","17","41","<1","1921","173","142","<1","265"
"National Science Foundation","Agency Overall","2011","20","25","1","254","N/A","N/A","N/A","N/A","25","25","25","25"
"United States Copyright Office","Agency Overall","2011","21","23.5","1","50","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2011","4","29","1","498","66","89","1","575","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2011","N/A","N/A","N/A","N/A","28","32.1","14","71","4","4","4","4"
