"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Health and Human Services","Agency Overall","2011","194","316","389","319"
"U.S. Agency for Global Media","Agency Overall","2011","2","6","2","6"
"United States Postal Service","Agency Overall","2011","158","128","153","120"
"Department of the Treasury","Agency Overall","2011","372","347","400","354"
"Tennessee Valley Authority","Agency Overall","2011","4","4","4","4"
"Office of the United States Trade Representative","Agency Overall","2011","2","5","2","5"
"Council on Environmental Quality","Agency Overall","2011","1","0","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","29","26","18","37"
"Federal Maritime Commission","Agency Overall","2011","1","0","1","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","4","7","3","5"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","1","0","1","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","3","4","3","4"
"Selective Service System","Agency Overall","2011","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","2","1","2","0"
"U.S. Department of State","Agency Overall","2011","174","342","320","381"
"Central Intelligence Agency","Agency Overall","2011","224","212","181","255"
"Federal Communications Commission","Agency Overall","2011","21","17","16","17"
"National Transportation Safety Board","Agency Overall","2011","5","9","7","10"
"United States Trade and Development Agency","Agency Overall","2011","0","2","0","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","5","1","5","1"
"Department of Transportation","Agency Overall","2011","159","153","180","169"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","2740","1917","5325","1933"
"Office of National Drug Control Policy","Agency Overall","2011","0","1","0","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","1","0","1","0"
"Office of Science and Technology Policy","Agency Overall","2011","1","6","1","6"
"United States International Trade Commission","Agency Overall","2011","1","1","1","1"
"Equal Employment Opportunity Commission","Agency Overall","2011","313","598","302","602"
"Federal Housing Finance Agency","Agency Overall","2011","5","11","4","12"
"National Aeronautics and Space Administration","Agency Overall","2011","33","21","32","23"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","4","2","4","2"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0"
"Department of Education","Agency Overall","2011","23","32","29","15"
"Department of Veterans Affairs","Agency Overall","2011","231","345","185","229"
"National Railroad Passenger Corporation","Agency Overall","2011","5","7","4","7"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","0","0"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","189","169","199","162"
"Department of Justice","Agency Overall","2011","3351","3258","3413","3362"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","1","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","7","10","7","10"
"U.S. Agency for International Development","Agency Overall","2011","12","13","7","3"
"Federal Energy Regulatory Commission","Agency Overall","2011","7","15","9","14"
