"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Health and Human Services","Agency Overall","2011","4","3","1","4","1","0","2","0","0","0","4","5","3","27"
"U.S. Agency for Global Media","Agency Overall","2011","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"United States Postal Service","Agency Overall","2011","4","2","0","0","0","0","0","0","0","0","0","0","0","6"
"Department of the Treasury","Agency Overall","2011","128","20","5","0","2","1","1","0","0","0","1","1","1","160"
"Tennessee Valley Authority","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2011","18","4","0","0","0","0","0","0","0","0","0","0","0","22"
"Council on Environmental Quality","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","6","4","4","0","0","0","0","0","0","0","0","0","0","14"
"Federal Maritime Commission","Agency Overall","2011","3","1","1","0","0","0","0","0","0","0","0","0","0","5"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Department of State","Agency Overall","2011","0","0","1","0","0","0","0","0","0","0","0","0","1","2"
"Central Intelligence Agency","Agency Overall","2011","15","5","1","0","0","0","2","0","0","0","1","0","0","24"
"Federal Communications Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2011","1","0","0","0","0","1","0","0","0","0","0","0","0","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"Department of Transportation","Agency Overall","2011","28","25","2","1","3","1","0","0","0","1","0","0","0","61"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","18","2","2","2","0","0","1","0","0","1","1","2","7","36"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","4","1","0","0","0","0","0","0","0","0","0","0","0","5"
"United States International Trade Commission","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2011","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Federal Housing Finance Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0","1","1","0","0","0","0","0","0","0","0","0","0","2"
"Federal Financial Institutions Examination Council","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Education","Agency Overall","2011","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Department of Veterans Affairs","Agency Overall","2011","28","0","1","0","0","0","0","0","0","0","0","0","0","29"
