"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Department of Health and Human Services","Agency Overall","2011","272","35","26","25"
"U.S. Agency for Global Media","Agency Overall","2011","6","1","4","7"
"United States Postal Service","Agency Overall","2011","5","13","N/A","2.17"
"Department of the Treasury","Agency Overall","2011","214","68","6","9"
"Tennessee Valley Authority","Agency Overall","2011","4","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2011","22","9","6","7"
"Council on Environmental Quality","Agency Overall","2011","5","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","12","0","6","4"
"Department of Housing and Urban Development","Agency Overall","2011","34","150","N/A","50"
"Federal Maritime Commission","Agency Overall","2011","7","0","36","34.28"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","1","4","4"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2011","4","0","7","7"
"Selective Service System","Agency Overall","2011","0","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2011","5","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2011","0","5","N/A","3"
"Central Intelligence Agency","Agency Overall","2011","0","5","N/A","N/A"
"Federal Communications Commission","Agency Overall","2011","2","4","10","10"
"National Transportation Safety Board","Agency Overall","2011","0","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2011","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","1","0","11","11"
"Department of Transportation","Agency Overall","2011","106","102","1","4.919"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2011","93","160","1","6.12"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","8","0","13","18"
"Office of Science and Technology Policy","Agency Overall","2011","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2011","1","1","1","1"
"Equal Employment Opportunity Commission","Agency Overall","2011","27","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2011","4","6","5","5.7"
"National Aeronautics and Space Administration","Agency Overall","2011","9","5","N/A","10.64"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2011","5","1","6.67","6"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","N/A","N/A"
"Department of Education","Agency Overall","2011","31","35","2","4"
"Department of Veterans Affairs","Agency Overall","2011","296","69","N/A","4.99"
"National Railroad Passenger Corporation","Agency Overall","2011","7","0","1","4"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2011","0","2","1","1"
"Occupational Safety and Health Review Commission","Agency Overall","2011","1","0","1","1"
"Securities and Exchange Commission","Agency Overall","2011","13","8","N/A","3"
"Department of Justice","Agency Overall","2011","147","1113","1","23.36"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2011","5","8","20","20"
"U.S. Agency for International Development","Agency Overall","2011","6","1","N/A","18"
"Federal Energy Regulatory Commission","Agency Overall","2011","2","5","11","12"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2011","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2011","9","4","10","10"
"Office of Special Counsel","Agency Overall","2011","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2011","0","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2011","1","2","N/A","1"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2011","2214","564","N/A","12"
"Inter-American Foundation","Agency Overall","2011","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2011","35","0","11","11.023"
"American Battle Monuments Commission","Agency Overall","2011","9","1","14.5","11.9"
"National Credit Union Administration","Agency Overall","2011","4","4","1.5","3.5"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2011","7","92","5","5"
"Department of Energy","Agency Overall","2011","196","26","N/A","4.73"
"Office of Personnel Management","Agency Overall","2011","3","5","7","7"
"Department of Commerce","Agency Overall","2011","12","21","25","29"
"Department of Agriculture","Agency Overall","2011","1242","56","N/A","14.245"
"Federal Reserve System","Agency Overall","2011","0","2","26","24"
"Office of Government Ethics","Agency Overall","2011","0","0","N/A","N/A"
"Small Business Administration","Agency Overall","2011","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2011","32","15","N/A","N/A"
"National Mediation Board","Agency Overall","2011","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2011","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2011","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2011","2","0","21","21"
"Administrative Conference of the United States","Agency Overall","2011","1","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2011","3","1","1","1.25"
"National Labor Relations Board","Agency Overall","2011","3","5","22","17"
"Federal Deposit Insurance Corporation","Agency Overall","2011","6","63","1","1.64"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","3","0","17","24"
"National Endowment for the Humanities","Agency Overall","2011","1","1","1","1"
"Federal Trade Commission","Agency Overall","2011","13","23","15","22.64"
"United States African Development Foundation","Agency Overall","2011","1","0","1","1"
"Nuclear Regulatory Commission","Agency Overall","2011","48","15","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2011","6","0","14","14"
"Recovery Accountability and Transparency Board","Agency Overall","2011","1","0","1","1"
"Office of the Director of National Intelligence","Agency Overall","2011","0","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","10","1","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2011","371","238","1","3.1"
"Social Security Administration","Agency Overall","2011","2","18","8","8"
"Department of Labor","Agency Overall","2011","375","603","16.8","40.9"
"Federal Open Market Committee","Agency Overall","2011","12","0","N/A","N/A"
"Department of the Interior","Agency Overall","2011","442","44","1","10"
"National Science Foundation","Agency Overall","2011","1","2","1","10"
"United States Copyright Office","Agency Overall","2011","10","0","13.5","13.7"
"Consumer Product Safety Commission","Agency Overall","2011","20","9","2","2"
"United States International Boundary and Water Commission","Agency Overall","2011","10","0","1","1"
"All agencies","Agency Overall","2011","6459","3622","N/A","N/A"
