"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Health and Human Services","Agency Overall","2011","0","3","5","24","20","34","5","0","7","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2011","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2011","0","0","26","8","11","28","3","0","17","9","3","0","0","0"
"Department of the Treasury","Agency Overall","2011","0","9","99","15","55","47","33","1","54","4","42","0","4","0"
"Tennessee Valley Authority","Agency Overall","2011","0","0","0","1","2","1","0","0","1","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2011","1","1","0","0","1","1","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","0","0","2","4","2","9","3","0","0","0","1","0","0","0"
"Federal Maritime Commission","Agency Overall","2011","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","0","0","1","0","2","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","0","0","0","0","4","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2011","196","10","112","8","61","124","8","0","10","5","11","2","0","0"
"Central Intelligence Agency","Agency Overall","2011","140","2","143","0","8","2","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2011","0","0","0","1","5","1","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2011","0","0","1","1","2","1","1","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2011","0","4","4","9","18","26","2","0","9","3","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","2","398","56","21","560","674","41","0","816","6","719","2","0","0"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2011","0","0","1","1","0","1","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","0","0","12","0","86","27","14","0","59","2","2","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2011","0","0","0","5","6","1","0","0","0","0","0","0","4","0"
"National Aeronautics and Space Administration","Agency Overall","2011","0","2","0","0","3","6","0","0","1","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2011","0","0","0","0","0","0","0","0","4","0","1","0","0","0"
"Department of Veterans Affairs","Agency Overall","2011","0","3","22","3","22","54","1","0","10","1","3","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2011","0","0","1","1","2","4","1","0","2","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","0","0","0","3","4","4","57","0","9","1","0","0","3","0"
"Department of Justice","Agency Overall","2011","67","147","128","14","130","477","82","2","791","216","329","118","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","0","1","0","0","6","3","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2011","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2011","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2011","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2011","0","0","1","1","2","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2011","58","51","54","34","62","142","16","4","54","5","3","1","0","0"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","0","3","0","4","6","8","1","0","3","0","0","0","4","0"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","0","2","3","3","0","0","1","1","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2011","0","0","5","1","5","6","0","0","5","2","2","1","0","0"
"Department of Energy","Agency Overall","2011","1","0","1","8","4","6","0","0","3","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2011","0","0","0","0","5","5","0","0","3","3","1","0","0","0"
"Department of Commerce","Agency Overall","2011","2","3","15","5","19","14","3","0","2","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2011","0","6","23","10","29","39","6","2","27","0","15","0","0","0"
"Federal Reserve System","Agency Overall","2011","0","0","3","4","1","2","0","0","0","0","0","0","3","0"
"Office of Government Ethics","Agency Overall","2011","0","1","0","0","1","2","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2011","0","0","2","9","2","7","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2011","0","1","4","7","5","1","1","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
