"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Health and Human Services","Agency Overall","2011","2004-08-31","2586","2004-08-24","2593","2004-07-29","2619","2004-06-22","2656","2004-06-22","2656","2004-06-03","2675","2004-06-01","2677","2004-04-10","2723","2004-02-24","2775","2004-02-11","2788"
"U.S. Agency for Global Media","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2011","2011-09-27","3","2011-09-22","6","2011-09-21","7","2011-09-19","9","2011-09-19","9","2011-09-14","12","2011-09-07","17","2011-09-06","18","2011-09-06","18","2011-04-20","114"
"Department of the Treasury","Agency Overall","2011","2010-05-04","356","2009-11-17","473","2009-11-09","479","2009-11-05","481","2009-10-06","503","2008-06-08","849","2008-04-29","878","2008-03-04","918","2007-09-20","1036","2007-04-06","1155"
"Tennessee Valley Authority","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-05-13","97","2010-01-08","415"
"Federal Maritime Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-21","7","2010-12-06","207","2010-09-17","260"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-11-15","221"
"U.S. Department of State","Agency Overall","2011","2006-09-12","1274","2006-09-12","1274","2006-08-07","1299","2006-06-06","1342","2006-04-12","1380","2006-02-22","1415","2005-09-26","1515","2005-09-26","1515","2005-09-26","1515","2005-08-16","1543"
"Central Intelligence Agency","Agency Overall","2011","2001-01-22","3903","2000-12-28","3928","1999-11-24","4328","1999-11-10","4342","1998-10-27","4721","1998-09-08","4770","1995-12-01","5783","1995-11-29","5785","1995-07-10","5927","1995-04-26","6002"
"Federal Communications Commission","Agency Overall","2011","2011-09-07","17","2011-08-12","34","2011-05-06","102","2011-04-27","109","2011-03-09","145","2011-02-04","166","2011-01-28","171","2010-11-23","215","2010-08-19","281","2009-06-18","588"
"National Transportation Safety Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
