"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Department of Health and Human Services","Agency Overall","2011","6529","104"
"U.S. Agency for Global Media","Agency Overall","2011","0","0"
"United States Postal Service","Agency Overall","2011","79","1"
"Department of the Treasury","Agency Overall","2011","333","51"
"Tennessee Valley Authority","Agency Overall","2011","0","0"
"Office of the United States Trade Representative","Agency Overall","2011","13","0"
"Council on Environmental Quality","Agency Overall","2011","14","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","128","2"
"Federal Maritime Commission","Agency Overall","2011","33","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","1","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","1","0"
"Selective Service System","Agency Overall","2011","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","24","1"
"U.S. Department of State","Agency Overall","2011","8078","294"
"Central Intelligence Agency","Agency Overall","2011","721","199"
"Federal Communications Commission","Agency Overall","2011","19","9"
"National Transportation Safety Board","Agency Overall","2011","81","0"
"United States Trade and Development Agency","Agency Overall","2011","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","4","0"
"Department of Transportation","Agency Overall","2011","724","65"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0"
"Department of Homeland Security","Agency Overall","2011","42417","327"
"Office of National Drug Control Policy","Agency Overall","2011","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","4","0"
"United States International Trade Commission","Agency Overall","2011","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","176","2"
"Federal Housing Finance Agency","Agency Overall","2011","4","0"
"National Aeronautics and Space Administration","Agency Overall","2011","34","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0"
"Department of Education","Agency Overall","2011","255","39"
"Department of Veterans Affairs","Agency Overall","2011","794","294"
"National Railroad Passenger Corporation","Agency Overall","2011","15","2"
"Institute of Museum and Library Services","Agency Overall","2011","0","0"
"Surface Transportation Board","Agency Overall","2011","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0"
"Securities and Exchange Commission","Agency Overall","2011","81","19"
"Department of Justice","Agency Overall","2011","3816","208"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0"
"Office of Management and Budget","Agency Overall","2011","1","0"
"U.S. Agency for International Development","Agency Overall","2011","215","22"
"Federal Energy Regulatory Commission","Agency Overall","2011","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2011","81","0"
"National Capital Planning Commission","Agency Overall","2011","0","0"
"Legal Services Corporation","Agency Overall","2011","0","0"
"Office of Special Counsel","Agency Overall","2011","39","8"
"Merit Systems Protection Board","Agency Overall","2011","4","0"
"National Endowment for the Arts","Agency Overall","2011","4","0"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","0"
"Department of Defense","Agency Overall","2011","7260","737"
"Inter-American Foundation","Agency Overall","2011","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0"
"American Battle Monuments Commission","Agency Overall","2011","1","0"
"National Credit Union Administration","Agency Overall","2011","11","0"
"Federal Labor Relations Authority","Agency Overall","2011","0","0"
"National Archives and Records Administration","Agency Overall","2011","8011","8"
"Department of Energy","Agency Overall","2011","390","8"
"Office of Personnel Management","Agency Overall","2011","166","8"
"Department of Commerce","Agency Overall","2011","203","47"
"Department of Agriculture","Agency Overall","2011","650","147"
"Federal Reserve System","Agency Overall","2011","20","1"
"Office of Government Ethics","Agency Overall","2011","0","0"
"Small Business Administration","Agency Overall","2011","1","0"
"General Services Administration","Agency Overall","2011","21","3"
"National Mediation Board","Agency Overall","2011","5","0"
"Federal Election Commission","Agency Overall","2011","13","1"
"Peace Corps","Agency Overall","2011","24","2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0"
"National Indian Gaming Commission","Agency Overall","2011","14","0"
"Administrative Conference of the United States","Agency Overall","2011","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","29","1"
"National Labor Relations Board","Agency Overall","2011","0","1"
"Federal Deposit Insurance Corporation","Agency Overall","2011","2","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","41","0"
"National Endowment for the Humanities","Agency Overall","2011","3","1"
"Federal Trade Commission","Agency Overall","2011","7","3"
"United States African Development Foundation","Agency Overall","2011","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","44","0"
"Postal Regulatory Commission","Agency Overall","2011","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","102","14"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","2","0"
"Environmental Protection Agency","Agency Overall","2011","326","64"
"Social Security Administration","Agency Overall","2011","38","7"
"Department of Labor","Agency Overall","2011","596","87"
"Federal Open Market Committee","Agency Overall","2011","1","0"
"Department of the Interior","Agency Overall","2011","505","222"
"National Science Foundation","Agency Overall","2011","42","0"
"United States Copyright Office","Agency Overall","2011","2","0"
"Consumer Product Safety Commission","Agency Overall","2011","237","0"
"United States International Boundary and Water Commission","Agency Overall","2011","0","0"
"All agencies","Agency Overall","2011","83490","NaN"
