"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Department of Health and Human Services","Agency Overall","2011","2453","275","215","6471","123","198","14","166","225"
"U.S. Agency for Global Media","Agency Overall","2011","0","N/A","N/A","2","10","10","0","N/A","N/A"
"United States Postal Service","Agency Overall","2011","156","16","50.89","27","34","96.89","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2011","154","86","51","1109","22","80.6","8","193","256"
"Tennessee Valley Authority","Agency Overall","2011","7","9","9","7","127","166","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2011","7","98","127","5","491","469","1","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2011","6","71","63.75","15","90.5","117.7","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","1","11","11","0","N/A","N/A","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2011","28","N/A","62","100","N/A","124","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2011","0","N/A","N/A","36","114.5","136.61","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","255","3","9","0","N/A","N/A","0","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2011","1","215","215","0","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2011","4","72.5","84","25","164","168.16","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2011","1212","82","192","7086","285","414","16","616","583"
"Central Intelligence Agency","Agency Overall","2011","214","185","407.44","678","219.5","419.24","12","610","557.5"
"Federal Communications Commission","Agency Overall","2011","48","20","123","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2011","0","N/A","N/A","81","72","96","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","1","332","332"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","1","22","22","3","25","21","0","N/A","N/A"
"Department of Transportation","Agency Overall","2011","1092","43","69.6","364","48","119.21","12","22","30.54"
"Farm Credit System Insurance Corporation","Agency Overall","2011","1","10","10","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2011","12055","68","66.19","35454","79","90.53","8","141","214.2"
"Office of National Drug Control Policy","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2011","0","N/A","N/A","4","17","16","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2011","3","19","19","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2011","1267","19","28.9486977111287","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2011","2","13","13","9","8","49.78","3","15","11.34"
"National Aeronautics and Space Administration","Agency Overall","2011","23","14","45.74","50","27","87.96","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2011","103","40","149","267","51","87","1","93","93"
"Department of Veterans Affairs","Agency Overall","2011","154","3","6","1349","36","75","2","178","178"
"National Railroad Passenger Corporation","Agency Overall","2011","2","8","8","52","102","173","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2011","7","4","4.5","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2011","373","11","21","12","492","412","1","25","25"
"Department of Justice","Agency Overall","2011","3152","13","35.63","3364","99","159.73","124","112","161.29"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","N/A","N/A","1","14","14","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","4","9","9","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2011","36","10","22","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2011","46","127.5","166.91","188","249","324.18","5","135","192.8"
"Federal Energy Regulatory Commission","Agency Overall","2011","1","28","28","4","218","528","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2011","159","22","61","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2011","4","12","21","40","102","125","4","15","46"
"Merit Systems Protection Board","Agency Overall","2011","6","13","14","3","123","118","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2011","4","7.5","8.5","3","134","137.3","3","7","23.3"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2011","2103","N/A","96","7094","N/A","471","39","N/A","121"
"Inter-American Foundation","Agency Overall","2011","1","12","12","0","N/A","N/A","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2011","2","7.5","7.5","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2011","1","42","42","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2011","5","16","49","10","102","98","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2011","1","17","17","0","N/A","N/A","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2011","2162","451","805.23","4898","1015","1269.3","0","N/A","N/A"
"Department of Energy","Agency Overall","2011","263","116","153.23","292","154.5","255.26","3","324","325.33"
"Office of Personnel Management","Agency Overall","2011","0","N/A","N/A","8","79","132","0","N/A","N/A"
"Department of Commerce","Agency Overall","2011","263","15","20","33","222","300","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2011","425","5.25","40.6865","332","32","71.3245","1","N/A","3.8"
"Federal Reserve System","Agency Overall","2011","1","28","28","44","23","87","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2011","3","11","15","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2011","17","6","6.88","0","N/A","N/A","0","N/A","N/A"
"General Services Administration","Agency Overall","2011","129","19","27","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2011","5","85","115","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2011","7","84","86.8","7","119","119","0","N/A","N/A"
"Peace Corps","Agency Overall","2011","15","63","72","9","195","192","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2011","3","173","97","10","161","140.6","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","4","8.5","8","0","N/A","N/A","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2011","21","74","94","21","100","119","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2011","95","11","18","0","N/A","N/A","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2011","47","12","15","1","42","42","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","1","9","9","36","318","352","6","338","387"
"National Endowment for the Humanities","Agency Overall","2011","2","15","15","1","25","25","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2011","15","1","1.53","15","17","67.07","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2011","33","18","42","23","131","103","11","126","117"
"Postal Regulatory Commission","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2011","101","338","335.68","17","110","263.59","2","277.5","277.5"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2011","1678","45.5","124.14","72","103.5","173.26","16","256","269.62"
"Social Security Administration","Agency Overall","2011","828","6","11","17","20","32","0","N/A","N/A"
