"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Federal Financial Institutions Examination Council","Agency Overall","2019","6","0","6","0"
"Surface Transportation Board","Agency Overall","2019","0","1","1","0"
"Commodity Futures Trading Commission","Agency Overall","2019","0","2","2","0"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","1","1","0"
"Office of Management and Budget","Agency Overall","2019","11","6","12","5"
"Environmental Protection Agency","Agency Overall","2019","132","124","187","69"
"Federal Housing Finance Agency","Agency Overall","2019","0","5","5","0"
"Consumer Product Safety Commission","Agency Overall","2019","1","9","9","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","3","3","0"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","7","13","17","3"
"U.S. Election Assistance Commission","Agency Overall","2019","0","1","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","1","1","0"
"United States International Trade Commission","Agency Overall","2019","0","0","0","0"
"Social Security Administration","Agency Overall","2019","45","539","569","15"
"Department of Labor","Agency Overall","2019","331","253","318","266"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0"
"Department of Defense","Agency Overall","2019","905","1005","950","960"
"Department of Justice","Agency Overall","2019","418","3496","3209","705"
"Office of the Director of National Intelligence","Agency Overall","2019","38","17","31","24"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","2","1","1"
"Department of the Treasury","Agency Overall","2019","113","148","137","124"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0"
"United States Postal Service","Agency Overall","2019","15","117","119","13"
"Department of the Interior","Agency Overall","2019","380","168","116","432"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","0","27","16","11"
"Office of Special Counsel","Agency Overall","2019","0","8","8","0"
"Federal Maritime Commission","Agency Overall","2019","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","0","3","3","0"
"Department of Agriculture","Agency Overall","2019","875","499","334","1040"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","387","235","380","242"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","1","9","9","1"
"Council on Environmental Quality","Agency Overall","2019","1","5","4","2"
"Peace Corps","Agency Overall","2019","0","6","6","0"
"General Services Administration","Agency Overall","2019","17","22","24","15"
"Merit Systems Protection Board","Agency Overall","2019","5","8","10","3"
"Federal Communications Commission","Agency Overall","2019","9","9","15","3"
"Tennessee Valley Authority","Agency Overall","2019","0","7","7","0"
"Nuclear Regulatory Commission","Agency Overall","2019","41","56","93","4"
"Federal Energy Regulatory Commission","Agency Overall","2019","3","10","9","4"
"National Archives and Records Administration","Agency Overall","2019","165","68","127","106"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0"
"Department of Education","Agency Overall","2019","74","80","62","92"
"Department of Energy","Agency Overall","2019","9","47","44","12"
"National Commission on Military, National, and Public Service","Agency Overall","2019","1","1","2","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0"
"United States Access Board","Agency Overall","2019","0","3","3","0"
"United States Trade and Development Agency","Agency Overall","2019","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","0","0"
"Department of Homeland Security","Agency Overall","2019","588","6240","6241","587"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","0","0","0"
"Department of Commerce","Agency Overall","2019","91","65","68","88"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","2","31","31","2"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","1","1","0"
"Federal Reserve System","Agency Overall","2019","0","14","9","5"
"Securities and Exchange Commission","Agency Overall","2019","6","596","587","15"
"Appraisal Subcommittee","Agency Overall","2019","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","2","8","10","0"
"United States International Boundary and Water Commission","Agency Overall","2019","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","4","40","43","1"
"National Science Foundation","Agency Overall","2019","0","3","3","0"
